index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,41.55,41.8,41.45,41.76,8374.14033
2019-12-31 16:30:00,41.76,41.83,41.64,41.66,6002.87531
2019-12-31 17:00:00,41.66,41.66,41.48,41.49,9226.56175
2019-12-31 17:30:00,41.5,41.5,41.04,41.25,13629.756
2019-12-31 18:00:00,41.25,41.35,41.0,41.32,7530.19063
2019-12-31 18:30:00,41.33,41.33,41.12,41.15,2115.29914
2019-12-31 19:00:00,41.15,41.23,41.02,41.15,5161.71764
2019-12-31 19:30:00,41.15,41.29,41.14,41.18,1425.66361
2019-12-31 20:00:00,41.2,41.28,41.12,41.2,3807.42082
2019-12-31 20:30:00,41.19,41.26,41.12,41.18,1077.82404
2019-12-31 21:00:00,41.18,41.39,41.14,41.32,1959.69957
2019-12-31 21:30:00,41.32,41.39,41.23,41.32,1636.58637
2019-12-31 22:00:00,41.32,41.5,41.28,41.38,2067.86935
2019-12-31 22:30:00,41.39,41.46,41.33,41.35,2062.88683
2019-12-31 23:00:00,41.35,41.36,41.29,41.3,871.20293
2019-12-31 23:30:00,41.3,41.4,41.21,41.3,4740.89543
2020-01-01 00:00:00,41.29,41.29,41.16,41.2,2004.68554
2020-01-01 00:30:00,41.22,41.29,41.22,41.28,823.37484
2020-01-01 01:00:00,41.28,41.64,41.27,41.61,2883.29834
2020-01-01 01:30:00,41.61,41.7,41.54,41.62,3931.38774
2020-01-01 02:00:00,41.63,41.75,41.62,41.68,2791.0518
2020-01-01 02:30:00,41.7,41.88,41.7,41.85,2966.14304
2020-01-01 03:00:00,41.84,41.85,41.59,41.64,3114.38583
2020-01-01 03:30:00,41.65,41.66,41.49,41.53,758.63787
2020-01-01 04:00:00,41.53,41.54,41.45,41.49,1057.16284
2020-01-01 04:30:00,41.49,41.85,41.49,41.59,4260.6568
2020-01-01 05:00:00,41.61,41.69,41.59,41.65,605.33968
2020-01-01 05:30:00,41.65,41.84,41.6,41.78,1915.82036
2020-01-01 06:00:00,41.79,41.82,41.73,41.78,1905.16864
2020-01-01 06:30:00,41.79,41.8,41.5,41.62,5420.60923
2020-01-01 07:00:00,41.61,41.63,41.54,41.63,546.15819
2020-01-01 07:30:00,41.63,41.64,41.47,41.58,1833.65328
2020-01-01 08:00:00,41.58,41.61,41.41,41.47,3071.0722
