index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.2256,0.2256,0.2247,0.2247,14777.48
2019-12-31 16:15:00,0.226,0.227,0.226,0.227,5460.55
2019-12-31 16:30:00,0.2274,0.2274,0.2274,0.2274,16.08
2019-12-31 16:45:00,0.2256,0.2256,0.2253,0.2253,3146.88
2019-12-31 17:00:00,0.2259,0.2259,0.2245,0.2245,1159.52
2019-12-31 17:15:00,0.2257,0.2269,0.2257,0.2269,1791.26
2019-12-31 17:30:00,0.2269,0.2269,0.2269,0.2269,1032.63
2019-12-31 17:45:00,0.224,0.224,0.224,0.224,49.95
2019-12-31 18:00:00,0.2251,0.2251,0.2251,0.2251,982.18
2019-12-31 18:15:00,0.2251,0.2251,0.2251,0.2251,1035.05
2019-12-31 18:30:00,0.2251,0.2251,0.2251,0.2251,0.0
2019-12-31 18:45:00,0.2251,0.2251,0.2251,0.2251,0.0
2019-12-31 19:00:00,0.2237,0.224,0.2237,0.224,470.72
2019-12-31 19:15:00,0.2251,0.2251,0.225,0.225,27.45
2019-12-31 19:30:00,0.225,0.225,0.225,0.225,0.0
2019-12-31 19:45:00,0.2241,0.2241,0.2241,0.2241,127.6
2019-12-31 20:00:00,0.224,0.2245,0.224,0.2245,4050.26
2019-12-31 20:15:00,0.2245,0.2245,0.2245,0.2245,0.0
2019-12-31 20:30:00,0.2245,0.2245,0.2245,0.2245,0.0
2019-12-31 20:45:00,0.2249,0.2252,0.2249,0.2252,12943.45
2019-12-31 21:00:00,0.2252,0.2252,0.2252,0.2252,0.0
2019-12-31 21:15:00,0.2243,0.2243,0.2216,0.2229,28136.82
2019-12-31 21:30:00,0.2229,0.2229,0.2229,0.2229,0.0
2019-12-31 21:45:00,0.2224,0.2224,0.2224,0.2224,693.68
2019-12-31 22:00:00,0.2235,0.2242,0.2234,0.2242,466.55
2019-12-31 22:15:00,0.224,0.224,0.2234,0.2234,28.31
2019-12-31 22:30:00,0.223,0.2233,0.223,0.2233,125.23
2019-12-31 22:45:00,0.2226,0.2228,0.2226,0.2228,516.01
2019-12-31 23:00:00,0.2231,0.2232,0.2231,0.2232,41.77
2019-12-31 23:15:00,0.2235,0.2235,0.2235,0.2235,70.13
2019-12-31 23:30:00,0.2235,0.2235,0.2235,0.2235,0.0
2019-12-31 23:45:00,0.2227,0.2227,0.2225,0.2225,98.82
2020-01-01 00:00:00,0.2211,0.2211,0.22,0.22,1320.33
2020-01-01 00:15:00,0.2207,0.2212,0.2185,0.2212,10896.1
2020-01-01 00:30:00,0.2208,0.2208,0.2208,0.2208,452.89
2020-01-01 00:45:00,0.2213,0.2214,0.2213,0.2214,394.28
2020-01-01 01:00:00,0.2199,0.2211,0.2186,0.2211,8316.82
2020-01-01 01:15:00,0.2212,0.2212,0.2212,0.2212,626.79
2020-01-01 01:30:00,0.2215,0.2215,0.2203,0.2203,16986.98
2020-01-01 01:45:00,0.2212,0.2216,0.2212,0.2216,1206.06
2020-01-01 02:00:00,0.2217,0.2217,0.2217,0.2217,13.91
2020-01-01 02:15:00,0.2217,0.2217,0.2217,0.2217,0.0
2020-01-01 02:30:00,0.2224,0.2224,0.2186,0.2209,16306.64
2020-01-01 02:45:00,0.2212,0.2214,0.2212,0.2214,632.08
2020-01-01 03:00:00,0.2219,0.2219,0.2216,0.2216,41.01
2020-01-01 03:15:00,0.2219,0.222,0.2219,0.222,4830.4
2020-01-01 03:30:00,0.2218,0.2218,0.2218,0.2218,481.4
2020-01-01 03:45:00,0.2217,0.222,0.2209,0.222,11860.25
2020-01-01 04:00:00,0.2224,0.2224,0.2224,0.2224,16.11
2020-01-01 04:15:00,0.2225,0.2225,0.2217,0.2225,4878.55
2020-01-01 04:30:00,0.2226,0.2231,0.2226,0.2231,735.35
2020-01-01 04:45:00,0.2231,0.2231,0.2219,0.2229,298.41
2020-01-01 05:00:00,0.223,0.223,0.2229,0.2229,29.56
2020-01-01 05:15:00,0.2229,0.2229,0.2223,0.2223,334.93
2020-01-01 05:30:00,0.2231,0.2231,0.2231,0.2231,13.47
2020-01-01 05:45:00,0.223,0.2236,0.223,0.2236,1219.66
2020-01-01 06:00:00,0.2236,0.224,0.2236,0.224,1825.32
2020-01-01 06:15:00,0.2241,0.2241,0.2241,0.2241,2283.92
2020-01-01 06:30:00,0.2245,0.2245,0.2231,0.2231,255.87
2020-01-01 06:45:00,0.2243,0.2243,0.2243,0.2243,16.2
2020-01-01 07:00:00,0.2243,0.2243,0.2243,0.2243,0.0
2020-01-01 07:15:00,0.2251,0.2251,0.2251,0.2251,7173.99
2020-01-01 07:30:00,0.2254,0.2254,0.2254,0.2254,15.87
2020-01-01 07:45:00,0.2249,0.2249,0.2249,0.2249,500.0
2020-01-01 08:00:00,0.225,0.2261,0.224,0.2261,18153.27
2020-01-01 08:15:00,0.2258,0.2261,0.2258,0.226,282.24
2020-01-01 08:30:00,0.2261,0.2261,0.2261,0.2261,13.7
2020-01-01 08:45:00,0.2261,0.2261,0.2261,0.2261,14.96
2020-01-01 09:00:00,0.226,0.2271,0.226,0.2271,151.56
2020-01-01 09:15:00,0.2273,0.2276,0.2273,0.2276,31.0
2020-01-01 09:30:00,0.2276,0.2294,0.2276,0.2294,2643.8
2020-01-01 09:45:00,0.2296,0.2296,0.2279,0.2281,179.79
2020-01-01 10:00:00,0.2291,0.2291,0.2291,0.2291,310.49
2020-01-01 10:15:00,0.2289,0.2289,0.2275,0.2275,1675.99
2020-01-01 10:30:00,0.227,0.227,0.2269,0.227,3769.14
2020-01-01 10:45:00,0.2279,0.2308,0.2259,0.2286,17419.63
2020-01-01 11:00:00,0.2288,0.2288,0.2288,0.2288,13.45
2020-01-01 11:15:00,0.2289,0.2314,0.2281,0.2281,9212.03
2020-01-01 11:30:00,0.2294,0.2297,0.2281,0.2289,5279.13
2020-01-01 11:45:00,0.2287,0.2287,0.228,0.228,774.95
2020-01-01 12:00:00,0.2291,0.2291,0.2291,0.2291,83.0
2020-01-01 12:15:00,0.2291,0.231,0.2291,0.2307,253.03
2020-01-01 12:30:00,0.2306,0.2306,0.2306,0.2306,400.0
2020-01-01 12:45:00,0.2295,0.2295,0.2295,0.2295,210.4
2020-01-01 13:00:00,0.2302,0.2313,0.2302,0.2313,167.57
2020-01-01 13:15:00,0.2313,0.2313,0.2313,0.2313,0.0
2020-01-01 13:30:00,0.2305,0.2308,0.2295,0.2295,1516.31
2020-01-01 13:45:00,0.2295,0.2295,0.2288,0.2288,72.0
2020-01-01 14:00:00,0.2286,0.2286,0.2285,0.2285,499.5
2020-01-01 14:15:00,0.2285,0.2285,0.2285,0.2285,0.0
2020-01-01 14:30:00,0.2285,0.2285,0.2285,0.2285,0.0
2020-01-01 14:45:00,0.2304,0.2304,0.2304,0.2304,15.68
2020-01-01 15:00:00,0.2304,0.2304,0.2304,0.2304,0.0
2020-01-01 15:15:00,0.2303,0.2303,0.2303,0.2303,151.77
2020-01-01 15:30:00,0.2302,0.2309,0.2288,0.2289,15035.79
2020-01-01 15:45:00,0.2315,0.2315,0.2315,0.2315,15.14
2020-01-01 16:00:00,0.2315,0.2315,0.2297,0.2297,2570.67
2020-01-01 16:15:00,0.2297,0.2302,0.2297,0.2297,2507.13
2020-01-01 16:30:00,0.2302,0.2302,0.2302,0.2302,60.06
2020-01-01 16:45:00,0.2302,0.2302,0.2302,0.2302,0.0
2020-01-01 17:00:00,0.2302,0.2302,0.2302,0.2302,0.0
2020-01-01 17:15:00,0.2315,0.2315,0.2293,0.2293,186.07
2020-01-01 17:30:00,0.2293,0.2293,0.2293,0.2293,0.0
2020-01-01 17:45:00,0.2311,0.2323,0.2311,0.2323,2717.32
2020-01-01 18:00:00,0.2324,0.2326,0.231,0.231,4964.01
2020-01-01 18:15:00,0.2315,0.2315,0.2315,0.2315,253.73
2020-01-01 18:30:00,0.2304,0.2304,0.2304,0.2304,177.0
2020-01-01 18:45:00,0.231,0.2313,0.231,0.2313,408.07
2020-01-01 19:00:00,0.2313,0.2313,0.2313,0.2313,0.0
2020-01-01 19:15:00,0.2312,0.238,0.2312,0.238,29851.66
2020-01-01 19:30:00,0.237,0.2383,0.2364,0.2382,1109.9
2020-01-01 19:45:00,0.2383,0.2383,0.237,0.2379,2126.66
2020-01-01 20:00:00,0.2379,0.238,0.2356,0.2379,1603.18
2020-01-01 20:15:00,0.2379,0.2379,0.2373,0.2378,438.23
2020-01-01 20:30:00,0.2378,0.238,0.2357,0.2362,4909.19
2020-01-01 20:45:00,0.237,0.237,0.237,0.237,29.19
2020-01-01 21:00:00,0.237,0.237,0.2364,0.2364,472.02
