index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.16,0.1607,0.1595,0.1599,37429.23
2019-12-31 16:15:00,0.1606,0.1613,0.1604,0.1605,32166.83
2019-12-31 16:30:00,0.1606,0.1609,0.1606,0.1609,2174.13
2019-12-31 16:45:00,0.1609,0.1613,0.1605,0.1613,7407.08
2019-12-31 17:00:00,0.1613,0.1613,0.1607,0.1609,9588.04
2019-12-31 17:15:00,0.1612,0.1613,0.1606,0.161,45351.32
2019-12-31 17:30:00,0.161,0.161,0.1599,0.1599,13202.78
2019-12-31 17:45:00,0.1599,0.1603,0.1596,0.16,72337.63
2019-12-31 18:00:00,0.1597,0.16,0.1589,0.1589,154848.11
2019-12-31 18:15:00,0.1591,0.16,0.1583,0.1596,240078.24
2019-12-31 18:30:00,0.1597,0.1597,0.1585,0.1587,60492.65
2019-12-31 18:45:00,0.1587,0.1599,0.1585,0.1598,49144.24
2019-12-31 19:00:00,0.159,0.1596,0.1587,0.1595,16597.39
2019-12-31 19:15:00,0.1588,0.1603,0.1588,0.1592,44877.61
2019-12-31 19:30:00,0.1588,0.1593,0.158,0.1581,12268.86
2019-12-31 19:45:00,0.1581,0.1588,0.1575,0.1588,30848.18
2019-12-31 20:00:00,0.1586,0.1589,0.1582,0.1585,8533.52
2019-12-31 20:15:00,0.1589,0.159,0.1581,0.1586,9983.06
2019-12-31 20:30:00,0.1586,0.1587,0.1576,0.158,17955.32
2019-12-31 20:45:00,0.158,0.158,0.1575,0.1579,8605.21
2019-12-31 21:00:00,0.1575,0.1592,0.1575,0.1589,77476.24
2019-12-31 21:15:00,0.1588,0.1591,0.1584,0.1591,65235.62
2019-12-31 21:30:00,0.159,0.1593,0.1589,0.1593,15342.45
2019-12-31 21:45:00,0.1592,0.1595,0.1591,0.1593,4511.23
2019-12-31 22:00:00,0.1592,0.1598,0.1592,0.1595,11422.01
2019-12-31 22:15:00,0.1594,0.1597,0.1591,0.1594,12492.01
2019-12-31 22:30:00,0.1594,0.1599,0.1594,0.1599,9374.23
2019-12-31 22:45:00,0.1595,0.1596,0.1585,0.1585,31761.42
2019-12-31 23:00:00,0.1586,0.1591,0.1581,0.1587,42668.23
2019-12-31 23:15:00,0.1587,0.1594,0.1585,0.1592,68692.42
2019-12-31 23:30:00,0.1595,0.1597,0.1593,0.1593,17388.2
2019-12-31 23:45:00,0.1596,0.1602,0.1593,0.1596,60756.45
2020-01-01 00:00:00,0.1596,0.1605,0.1592,0.1593,52574.77
2020-01-01 00:15:00,0.1593,0.1598,0.1587,0.159,50870.51
2020-01-01 00:30:00,0.1589,0.1595,0.1585,0.1585,25353.48
2020-01-01 00:45:00,0.159,0.1591,0.1586,0.1586,13691.35
2020-01-01 01:00:00,0.1586,0.1605,0.1586,0.1605,95221.14
2020-01-01 01:15:00,0.1604,0.1607,0.1593,0.1601,49583.82
2020-01-01 01:30:00,0.1607,0.1607,0.1594,0.1594,21972.9
2020-01-01 01:45:00,0.1595,0.1599,0.1593,0.1599,7312.65
2020-01-01 02:00:00,0.1601,0.1603,0.1592,0.1598,35331.76
2020-01-01 02:15:00,0.1595,0.1607,0.1593,0.1603,25654.03
2020-01-01 02:30:00,0.1603,0.1607,0.1603,0.1607,8261.72
2020-01-01 02:45:00,0.1607,0.1609,0.16,0.1602,12679.87
2020-01-01 03:00:00,0.1601,0.1607,0.1595,0.1595,20566.5
2020-01-01 03:15:00,0.1598,0.1604,0.1595,0.16,11669.5
2020-01-01 03:30:00,0.1602,0.1606,0.1595,0.1595,31999.18
2020-01-01 03:45:00,0.16,0.16,0.1589,0.1589,57309.54
2020-01-01 04:00:00,0.1589,0.1594,0.1589,0.1593,18960.84
2020-01-01 04:15:00,0.1594,0.1596,0.1589,0.1589,29835.57
2020-01-01 04:30:00,0.1589,0.1595,0.1588,0.1588,35181.74
2020-01-01 04:45:00,0.1588,0.1593,0.1588,0.1591,32722.63
2020-01-01 05:00:00,0.1588,0.1592,0.1586,0.159,25551.67
2020-01-01 05:15:00,0.159,0.1591,0.1589,0.1591,8306.71
2020-01-01 05:30:00,0.1591,0.1591,0.1591,0.1591,2400.79
2020-01-01 05:45:00,0.159,0.1595,0.159,0.1595,3636.97
2020-01-01 06:00:00,0.1597,0.1597,0.1591,0.1591,3730.86
2020-01-01 06:15:00,0.1593,0.1593,0.1592,0.1592,5860.77
2020-01-01 06:30:00,0.1592,0.1598,0.1592,0.1598,12889.76
2020-01-01 06:45:00,0.1598,0.1598,0.1597,0.1598,18863.24
2020-01-01 07:00:00,0.1599,0.16,0.1595,0.1599,17802.29
2020-01-01 07:15:00,0.1597,0.1602,0.1597,0.1602,10495.16
2020-01-01 07:30:00,0.1601,0.1601,0.1595,0.1595,8704.01
2020-01-01 07:45:00,0.1595,0.1601,0.1595,0.1601,8872.53
2020-01-01 08:00:00,0.16,0.1601,0.1595,0.1596,14813.42
2020-01-01 08:15:00,0.1596,0.1598,0.1595,0.1598,7578.21
2020-01-01 08:30:00,0.16,0.16,0.1597,0.1597,869.57
2020-01-01 08:45:00,0.1595,0.1601,0.1595,0.1598,6695.04
2020-01-01 09:00:00,0.1602,0.1605,0.1595,0.1595,11448.69
2020-01-01 09:15:00,0.1595,0.16,0.1592,0.1592,55143.8
2020-01-01 09:30:00,0.1592,0.1599,0.1592,0.1595,103389.75
2020-01-01 09:45:00,0.1597,0.1601,0.1596,0.1598,19946.65
2020-01-01 10:00:00,0.1597,0.1603,0.1597,0.1603,9625.01
2020-01-01 10:15:00,0.1604,0.1604,0.1602,0.1603,9059.02
2020-01-01 10:30:00,0.1602,0.1605,0.1602,0.1603,12176.94
2020-01-01 10:45:00,0.161,0.1612,0.1602,0.1602,23148.15
2020-01-01 11:00:00,0.1602,0.1616,0.1602,0.1612,31449.08
2020-01-01 11:15:00,0.1611,0.1619,0.1607,0.1616,8828.39
2020-01-01 11:30:00,0.1617,0.1619,0.1611,0.1613,31500.98
2020-01-01 11:45:00,0.1613,0.1614,0.1607,0.1609,23911.53
2020-01-01 12:00:00,0.1608,0.1615,0.1607,0.1611,23620.28
2020-01-01 12:15:00,0.1611,0.1614,0.161,0.1614,5929.33
2020-01-01 12:30:00,0.161,0.1617,0.161,0.1614,4916.93
2020-01-01 12:45:00,0.1616,0.162,0.1616,0.1618,9687.65
2020-01-01 13:00:00,0.1618,0.162,0.1615,0.162,2487.56
2020-01-01 13:15:00,0.1619,0.1619,0.1614,0.1619,5939.1
2020-01-01 13:30:00,0.162,0.162,0.1618,0.1618,1831.32
2020-01-01 13:45:00,0.1618,0.1619,0.1617,0.1617,4508.56
2020-01-01 14:00:00,0.1619,0.1622,0.1617,0.1618,27968.22
2020-01-01 14:15:00,0.1619,0.1622,0.1618,0.162,34909.04
2020-01-01 14:30:00,0.162,0.162,0.1614,0.1617,37624.7
2020-01-01 14:45:00,0.1617,0.1619,0.1615,0.1615,12249.33
2020-01-01 15:00:00,0.1616,0.1616,0.1611,0.1611,7261.51
2020-01-01 15:15:00,0.1612,0.1617,0.1611,0.1614,6312.83
2020-01-01 15:30:00,0.1614,0.1618,0.1611,0.1614,15060.84
2020-01-01 15:45:00,0.1613,0.1613,0.1607,0.1608,2706.33
2020-01-01 16:00:00,0.1613,0.1613,0.1607,0.1612,21334.28
2020-01-01 16:15:00,0.1613,0.1613,0.1605,0.161,17832.01
2020-01-01 16:30:00,0.1609,0.1617,0.1609,0.1616,2548.0
2020-01-01 16:45:00,0.1617,0.1619,0.1613,0.1619,23215.17
2020-01-01 17:00:00,0.1619,0.162,0.1616,0.162,33967.08
2020-01-01 17:15:00,0.162,0.1627,0.162,0.1627,23305.18
2020-01-01 17:30:00,0.1626,0.1627,0.1624,0.1626,35304.42
2020-01-01 17:45:00,0.1627,0.163,0.1621,0.1623,62538.56
2020-01-01 18:00:00,0.1625,0.1631,0.1624,0.1627,20099.28
2020-01-01 18:15:00,0.1627,0.1642,0.1625,0.1636,151180.58
2020-01-01 18:30:00,0.1639,0.1639,0.1623,0.1628,71783.78
2020-01-01 18:45:00,0.1628,0.1637,0.1628,0.1637,16438.89
2020-01-01 19:00:00,0.1632,0.1638,0.1629,0.163,53224.38
2020-01-01 19:15:00,0.163,0.1634,0.1626,0.1629,19108.29
2020-01-01 19:30:00,0.1629,0.1637,0.1628,0.1637,112370.51
2020-01-01 19:45:00,0.1635,0.1636,0.163,0.163,4836.2
2020-01-01 20:00:00,0.1637,0.164,0.1631,0.1636,24593.55
2020-01-01 20:15:00,0.1637,0.1642,0.1635,0.1639,4511.15
2020-01-01 20:30:00,0.164,0.1643,0.1635,0.1638,48617.85
2020-01-01 20:45:00,0.1641,0.1643,0.1639,0.1643,22818.04
2020-01-01 21:00:00,0.1643,0.1643,0.1633,0.1633,75091.13
2020-01-01 21:15:00,0.1637,0.1637,0.1633,0.1635,9626.17
2020-01-01 21:30:00,0.1635,0.1641,0.1634,0.1634,15276.47
2020-01-01 21:45:00,0.1636,0.1636,0.1636,0.1636,519.86
2020-01-01 22:00:00,0.1634,0.1634,0.1607,0.1617,427837.25
2020-01-01 22:15:00,0.1618,0.1622,0.1617,0.1617,18971.58
2020-01-01 22:30:00,0.1617,0.1617,0.1609,0.161,48291.32
2020-01-01 22:45:00,0.1608,0.1614,0.1608,0.1614,28713.1
2020-01-01 23:00:00,0.1616,0.1616,0.1606,0.1606,26592.45
2020-01-01 23:15:00,0.161,0.1612,0.1605,0.1606,9136.75
2020-01-01 23:30:00,0.1605,0.1607,0.1601,0.1607,38913.37
2020-01-01 23:45:00,0.1607,0.1608,0.1605,0.1606,12836.99
2020-01-02 00:00:00,0.1607,0.1609,0.1606,0.1607,2184.98
2020-01-02 00:15:00,0.1607,0.1617,0.1607,0.1615,20224.12
2020-01-02 00:30:00,0.1613,0.1614,0.1611,0.1614,3395.36
2020-01-02 00:45:00,0.1612,0.1618,0.1612,0.1614,2769.51
2020-01-02 01:00:00,0.1614,0.1617,0.1613,0.1617,1709.51
2020-01-02 01:15:00,0.1615,0.1615,0.161,0.161,2015.56
2020-01-02 01:30:00,0.161,0.1612,0.1607,0.1607,1629.45
2020-01-02 01:45:00,0.1609,0.1609,0.1607,0.1607,3112.39
2020-01-02 02:00:00,0.1607,0.1609,0.1605,0.1605,47722.8
2020-01-02 02:15:00,0.1607,0.1609,0.16,0.1604,72202.33
2020-01-02 02:30:00,0.16,0.1604,0.16,0.16,7696.35
2020-01-02 02:45:00,0.1603,0.1604,0.16,0.1601,13065.68
2020-01-02 03:00:00,0.16,0.1601,0.1596,0.1599,19047.98
2020-01-02 03:15:00,0.1599,0.1601,0.1598,0.1601,5510.68
2020-01-02 03:30:00,0.16,0.16,0.16,0.16,4843.98
2020-01-02 03:45:00,0.1598,0.1599,0.1592,0.1592,26700.11
2020-01-02 04:00:00,0.1599,0.16,0.1597,0.16,15084.95
2020-01-02 04:15:00,0.1599,0.16,0.1596,0.1598,3087.24
2020-01-02 04:30:00,0.1599,0.1601,0.1594,0.1599,12629.48
2020-01-02 04:45:00,0.1595,0.1601,0.159,0.159,85547.83
2020-01-02 05:00:00,0.1595,0.1595,0.1589,0.1594,5455.9
2020-01-02 05:15:00,0.1591,0.1595,0.1589,0.159,5099.72
2020-01-02 05:30:00,0.1591,0.1591,0.1588,0.1589,19620.67
2020-01-02 05:45:00,0.1588,0.1592,0.1588,0.159,8014.61
2020-01-02 06:00:00,0.159,0.159,0.1588,0.1588,1242.58
2020-01-02 06:15:00,0.159,0.1592,0.1588,0.1589,5440.18
2020-01-02 06:30:00,0.1591,0.1591,0.1587,0.1591,16203.4
2020-01-02 06:45:00,0.1591,0.1591,0.1584,0.1584,55837.14
2020-01-02 07:00:00,0.1585,0.1588,0.1579,0.158,118248.18
2020-01-02 07:15:00,0.1581,0.1584,0.1576,0.1578,19755.29
2020-01-02 07:30:00,0.1578,0.1588,0.1576,0.1585,24041.64
2020-01-02 07:45:00,0.1584,0.1588,0.1582,0.1583,11616.62
