index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,1.1397,1.1432,1.1397,1.1424,556.09
2019-12-31 16:15:00,1.1418,1.1418,1.1375,1.1375,1322.16
2019-12-31 16:30:00,1.1375,1.1375,1.1353,1.1354,2199.71
2019-12-31 16:45:00,1.1353,1.1396,1.134,1.134,2113.07
2019-12-31 17:00:00,1.134,1.138,1.1317,1.1317,3493.89
2019-12-31 17:15:00,1.1317,1.1362,1.1313,1.1362,1287.2
2019-12-31 17:30:00,1.1313,1.1313,1.1308,1.1312,291.88
2019-12-31 17:45:00,1.1309,1.1309,1.125,1.125,1878.19
2019-12-31 18:00:00,1.125,1.1287,1.1243,1.1243,3543.53
2019-12-31 18:15:00,1.1265,1.1288,1.1265,1.1288,227.93
2019-12-31 18:30:00,1.1238,1.1271,1.1214,1.127,950.38
2019-12-31 18:45:00,1.1269,1.1271,1.1231,1.1231,3706.07
2019-12-31 19:00:00,1.1259,1.1259,1.1226,1.1226,1551.65
2019-12-31 19:15:00,1.125,1.125,1.1214,1.1214,1031.41
2019-12-31 19:30:00,1.1214,1.1214,1.1205,1.1205,1642.32
2019-12-31 19:45:00,1.1205,1.122,1.1205,1.122,3958.13
2019-12-31 20:00:00,1.1202,1.1219,1.1163,1.1219,3034.24
2019-12-31 20:15:00,1.122,1.1288,1.118,1.118,14410.75
2019-12-31 20:30:00,1.1225,1.1244,1.1225,1.1231,379.53
2019-12-31 20:45:00,1.1237,1.1247,1.1203,1.1211,4094.25
2019-12-31 21:00:00,1.1211,1.1248,1.12,1.1209,5632.12
2019-12-31 21:15:00,1.119,1.119,1.1172,1.1175,364.02
2019-12-31 21:30:00,1.1212,1.1212,1.1174,1.1174,186.12
2019-12-31 21:45:00,1.1204,1.121,1.119,1.121,516.44
2019-12-31 22:00:00,1.1213,1.1235,1.1213,1.1235,265.51
2019-12-31 22:15:00,1.1212,1.1212,1.1212,1.1212,909.44
2019-12-31 22:30:00,1.1229,1.123,1.1229,1.123,203.59
2019-12-31 22:45:00,1.1221,1.1236,1.1221,1.1236,93.84
2019-12-31 23:00:00,1.1231,1.1233,1.1231,1.1232,889.23
2019-12-31 23:15:00,1.1192,1.1226,1.1192,1.12,573.01
2019-12-31 23:30:00,1.1191,1.1191,1.1183,1.1183,1325.77
2019-12-31 23:45:00,1.1185,1.1185,1.1185,1.1185,561.3
2020-01-01 00:00:00,1.1185,1.1185,1.1167,1.1167,3359.18
2020-01-01 00:15:00,1.1168,1.1193,1.1167,1.1167,1443.78
2020-01-01 00:30:00,1.1169,1.1169,1.1167,1.1167,1158.01
2020-01-01 00:45:00,1.118,1.1213,1.1173,1.1176,301.88
2020-01-01 01:00:00,1.1176,1.1234,1.1168,1.1234,1153.13
2020-01-01 01:15:00,1.1234,1.1245,1.1232,1.1239,8340.6
2020-01-01 01:30:00,1.1248,1.1271,1.1248,1.1269,802.22
2020-01-01 01:45:00,1.1261,1.1298,1.1261,1.1298,7377.73
2020-01-01 02:00:00,1.13,1.1354,1.13,1.1351,8219.4
2020-01-01 02:15:00,1.1364,1.1395,1.1343,1.1388,4551.74
2020-01-01 02:30:00,1.1345,1.1345,1.1321,1.1321,739.24
2020-01-01 02:45:00,1.1323,1.1323,1.1323,1.1323,277.0
2020-01-01 03:00:00,1.135,1.135,1.135,1.135,3.27
2020-01-01 03:15:00,1.135,1.135,1.135,1.135,157.0
2020-01-01 03:30:00,1.1349,1.135,1.1295,1.1295,512.47
2020-01-01 03:45:00,1.1286,1.133,1.1253,1.133,5598.9
2020-01-01 04:00:00,1.133,1.133,1.133,1.133,0.0
2020-01-01 04:15:00,1.1295,1.1305,1.1262,1.1303,1298.56
2020-01-01 04:30:00,1.13,1.13,1.13,1.13,769.46
2020-01-01 04:45:00,1.1305,1.1325,1.13,1.13,1571.0
2020-01-01 05:00:00,1.13,1.1348,1.1284,1.1348,1983.05
2020-01-01 05:15:00,1.1298,1.1305,1.1261,1.1305,174.65
2020-01-01 05:30:00,1.1271,1.1271,1.1269,1.1269,463.05
2020-01-01 05:45:00,1.1269,1.1269,1.1269,1.1269,0.0
2020-01-01 06:00:00,1.1305,1.1328,1.126,1.1328,242.25
2020-01-01 06:15:00,1.1275,1.1338,1.1275,1.1338,812.62
2020-01-01 06:30:00,1.1314,1.1314,1.1277,1.1277,1426.07
2020-01-01 06:45:00,1.129,1.1313,1.1262,1.1313,1569.05
2020-01-01 07:00:00,1.1262,1.1262,1.119,1.1198,5514.03
2020-01-01 07:15:00,1.1178,1.1178,1.1039,1.1043,20854.89
2020-01-01 07:30:00,1.1042,1.1044,1.0933,1.0944,31788.17
2020-01-01 07:45:00,1.0955,1.1,1.0955,1.0962,6092.26
2020-01-01 08:00:00,1.1,1.1043,1.0999,1.1043,2613.27
2020-01-01 08:15:00,1.1034,1.1041,1.0944,1.0985,4042.96
2020-01-01 08:30:00,1.095,1.0996,1.0935,1.0993,4607.55
2020-01-01 08:45:00,1.0995,1.0995,1.0867,1.0867,9752.42
2020-01-01 09:00:00,1.0847,1.0899,1.08,1.0841,12503.39
