index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,1.7854,1.7952,1.7842,1.793,32807.5
2019-12-31 16:15:00,1.793,1.7984,1.7928,1.795,9270.96
2019-12-31 16:30:00,1.795,1.798,1.7933,1.7939,10610.79
2019-12-31 16:45:00,1.7938,1.7938,1.7869,1.79,13303.63
2019-12-31 17:00:00,1.7904,1.791,1.7811,1.7884,54163.74
2019-12-31 17:15:00,1.7853,1.7872,1.7826,1.7828,23487.36
2019-12-31 17:30:00,1.7857,1.7862,1.7631,1.7654,133338.25
2019-12-31 17:45:00,1.7635,1.768,1.7548,1.7619,69842.22
2019-12-31 18:00:00,1.7619,1.7619,1.7549,1.7592,29413.18
2019-12-31 18:15:00,1.7593,1.7697,1.754,1.7697,39731.31
2019-12-31 18:30:00,1.7656,1.7661,1.7554,1.7571,17265.18
2019-12-31 18:45:00,1.7586,1.762,1.756,1.7584,16545.82
2019-12-31 19:00:00,1.7578,1.7582,1.7553,1.7562,9518.5
2019-12-31 19:15:00,1.7549,1.763,1.7542,1.7594,20621.94
2019-12-31 19:30:00,1.7585,1.7676,1.7583,1.7663,9180.94
2019-12-31 19:45:00,1.7679,1.7723,1.7664,1.7676,10436.6
2019-12-31 20:00:00,1.7675,1.7675,1.7621,1.7633,5370.56
2019-12-31 20:15:00,1.7622,1.765,1.7611,1.7647,6172.28
2019-12-31 20:30:00,1.7648,1.7716,1.763,1.7642,13135.05
2019-12-31 20:45:00,1.7642,1.7654,1.7598,1.7629,8268.42
2019-12-31 21:00:00,1.7625,1.7655,1.7597,1.7655,4034.5
2019-12-31 21:15:00,1.7625,1.7654,1.76,1.7641,11526.63
2019-12-31 21:30:00,1.7642,1.7661,1.763,1.7658,7137.55
2019-12-31 21:45:00,1.7657,1.7689,1.7649,1.7689,3115.9
2019-12-31 22:00:00,1.7668,1.7687,1.7639,1.7674,5735.68
2019-12-31 22:15:00,1.7655,1.774,1.7653,1.7722,46498.36
2019-12-31 22:30:00,1.7705,1.7708,1.7692,1.7692,9166.04
2019-12-31 22:45:00,1.7684,1.7701,1.7673,1.7693,2769.0
2019-12-31 23:00:00,1.7693,1.7729,1.7693,1.7713,8078.92
2019-12-31 23:15:00,1.7711,1.7711,1.7653,1.7656,17794.09
2019-12-31 23:30:00,1.7657,1.7677,1.7641,1.7676,8457.79
2019-12-31 23:45:00,1.7684,1.7704,1.7673,1.7673,1768.71
2020-01-01 00:00:00,1.7678,1.772,1.7664,1.7685,7688.27
2020-01-01 00:15:00,1.7669,1.767,1.7606,1.7651,5284.6
2020-01-01 00:30:00,1.7677,1.7677,1.7648,1.7648,241.25
2020-01-01 00:45:00,1.7649,1.765,1.7638,1.7638,530.87
2020-01-01 01:00:00,1.7639,1.7717,1.7639,1.7684,774.92
2020-01-01 01:15:00,1.7687,1.7796,1.7686,1.7789,11707.07
2020-01-01 01:30:00,1.7809,1.7856,1.78,1.7815,14688.38
2020-01-01 01:45:00,1.781,1.785,1.7789,1.7831,1581.29
2020-01-01 02:00:00,1.7853,1.7864,1.7839,1.786,2759.99
2020-01-01 02:15:00,1.7862,1.7939,1.786,1.7908,4759.73
2020-01-01 02:30:00,1.7907,1.795,1.7887,1.795,2666.14
2020-01-01 02:45:00,1.7947,1.8019,1.7937,1.8004,5832.97
2020-01-01 03:00:00,1.8007,1.8033,1.7931,1.7932,6023.49
2020-01-01 03:15:00,1.7959,1.8021,1.7933,1.8014,8151.46
2020-01-01 03:30:00,1.799,1.8005,1.7989,1.8005,273.1
2020-01-01 03:45:00,1.797,1.797,1.7927,1.7932,2024.05
2020-01-01 04:00:00,1.794,1.7942,1.7897,1.7897,8322.76
2020-01-01 04:15:00,1.7894,1.7934,1.7865,1.7934,2374.63
2020-01-01 04:30:00,1.7933,1.8021,1.7933,1.7997,8562.19
2020-01-01 04:45:00,1.8001,1.8044,1.7968,1.7968,11087.7
2020-01-01 05:00:00,1.8004,1.8051,1.8004,1.8011,4795.41
2020-01-01 05:15:00,1.8007,1.8007,1.7953,1.8003,11571.48
2020-01-01 05:30:00,1.8003,1.8032,1.7989,1.8014,8713.08
2020-01-01 05:45:00,1.8033,1.8037,1.8018,1.8031,3053.98
2020-01-01 06:00:00,1.8011,1.8026,1.8001,1.8021,1492.51
2020-01-01 06:15:00,1.8001,1.8001,1.7981,1.7981,1510.5
2020-01-01 06:30:00,1.7976,1.7976,1.7895,1.7931,13609.09
2020-01-01 06:45:00,1.7931,1.794,1.7909,1.792,755.55
2020-01-01 07:00:00,1.7894,1.7904,1.786,1.7903,5234.22
2020-01-01 07:15:00,1.7919,1.7941,1.7887,1.7941,2709.16
2020-01-01 07:30:00,1.7939,1.794,1.7843,1.7885,6888.59
2020-01-01 07:45:00,1.7882,1.7891,1.7857,1.7857,2729.07
2020-01-01 08:00:00,1.7865,1.7866,1.7845,1.7857,7015.04
2020-01-01 08:15:00,1.7856,1.7858,1.7817,1.7858,8170.96
2020-01-01 08:30:00,1.7824,1.7849,1.7823,1.7826,200.26
2020-01-01 08:45:00,1.7831,1.7866,1.7826,1.7866,1952.78
2020-01-01 09:00:00,1.7881,1.7881,1.7822,1.7848,1252.42
2020-01-01 09:15:00,1.7835,1.7969,1.7834,1.7969,67419.9
2020-01-01 09:30:00,1.7973,1.8108,1.7909,1.8107,38807.33
2020-01-01 09:45:00,1.8108,1.8161,1.805,1.8054,27881.14
2020-01-01 10:00:00,1.8053,1.8099,1.804,1.8075,8915.61
2020-01-01 10:15:00,1.8057,1.8065,1.7984,1.7993,16007.86
2020-01-01 10:30:00,1.8012,1.8022,1.7971,1.7989,17508.65
2020-01-01 10:45:00,1.7989,1.7989,1.7939,1.798,6733.87
2020-01-01 11:00:00,1.7967,1.798,1.7903,1.798,9175.78
2020-01-01 11:15:00,1.7976,1.8112,1.7969,1.8112,7506.02
2020-01-01 11:30:00,1.812,1.8221,1.8115,1.821,37066.17
