index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,41.55,41.8,41.45,41.63,6427.38136
2019-12-31 16:15:00,41.61,41.77,41.6,41.76,1946.75897
2019-12-31 16:30:00,41.76,41.83,41.64,41.72,5157.34725
2019-12-31 16:45:00,41.73,41.77,41.66,41.66,845.52806
2019-12-31 17:00:00,41.66,41.66,41.48,41.54,8342.01414
2019-12-31 17:15:00,41.52,41.62,41.49,41.49,884.54761
2019-12-31 17:30:00,41.5,41.5,41.09,41.19,7444.71065
2019-12-31 17:45:00,41.2,41.35,41.04,41.25,6185.04535
2019-12-31 18:00:00,41.25,41.29,41.0,41.29,5463.3488
2019-12-31 18:15:00,41.27,41.35,41.13,41.32,2066.84183
2019-12-31 18:30:00,41.33,41.33,41.23,41.3,684.47564
2019-12-31 18:45:00,41.3,41.31,41.12,41.15,1430.8235
2019-12-31 19:00:00,41.15,41.15,41.02,41.04,2655.54754
2019-12-31 19:15:00,41.05,41.23,41.02,41.15,2506.1701
2019-12-31 19:30:00,41.15,41.28,41.14,41.27,1155.91773
2019-12-31 19:45:00,41.26,41.29,41.16,41.18,269.74588
2019-12-31 20:00:00,41.2,41.25,41.12,41.18,2463.58169
2019-12-31 20:15:00,41.14,41.28,41.14,41.2,1343.83913
2019-12-31 20:30:00,41.19,41.26,41.14,41.16,683.21043
2019-12-31 20:45:00,41.17,41.19,41.12,41.18,394.61361
2019-12-31 21:00:00,41.18,41.29,41.14,41.28,909.8344
2019-12-31 21:15:00,41.27,41.39,41.22,41.32,1049.86517
2019-12-31 21:30:00,41.32,41.34,41.26,41.3,358.67293
2019-12-31 21:45:00,41.29,41.39,41.23,41.32,1277.91344
2019-12-31 22:00:00,41.32,41.35,41.28,41.3,538.86603
2019-12-31 22:15:00,41.3,41.5,41.29,41.38,1529.00332
2019-12-31 22:30:00,41.39,41.45,41.37,41.4,530.95686
2019-12-31 22:45:00,41.4,41.46,41.33,41.35,1531.92997
2019-12-31 23:00:00,41.35,41.36,41.29,41.33,516.59062
2019-12-31 23:15:00,41.34,41.36,41.3,41.3,354.61231
2019-12-31 23:30:00,41.3,41.3,41.21,41.24,1371.28337
