index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,8.774,8.83,8.77,8.814,2671.789
2019-12-31 16:15:00,8.814,8.837,8.801,8.836,411.124
2019-12-31 16:30:00,8.836,8.837,8.808,8.817,272.659
2019-12-31 16:45:00,8.816,8.83,8.788,8.792,1027.413
2019-12-31 17:00:00,8.797,8.799,8.778,8.793,784.937
2019-12-31 17:15:00,8.791,8.806,8.791,8.794,113.418
2019-12-31 17:30:00,8.794,8.794,8.675,8.721,10748.493
2019-12-31 17:45:00,8.711,8.733,8.693,8.733,2405.436
2019-12-31 18:00:00,8.72,8.72,8.662,8.687,7807.856
2019-12-31 18:15:00,8.687,8.695,8.663,8.695,937.578
2019-12-31 18:30:00,8.696,8.697,8.676,8.694,1110.316
2019-12-31 18:45:00,8.695,8.695,8.672,8.687,615.957
2019-12-31 19:00:00,8.686,8.686,8.61,8.648,5295.701
2019-12-31 19:15:00,8.647,8.705,8.647,8.676,5428.695
2019-12-31 19:30:00,8.684,8.684,8.667,8.679,1429.103
2019-12-31 19:45:00,8.674,8.676,8.661,8.662,582.478
2019-12-31 20:00:00,8.655,8.672,8.65,8.672,2271.7
2019-12-31 20:15:00,8.672,8.672,8.65,8.65,2063.388
2019-12-31 20:30:00,8.656,8.664,8.637,8.652,611.668
2019-12-31 20:45:00,8.65,8.657,8.634,8.634,176.113
2019-12-31 21:00:00,8.632,8.69,8.628,8.656,682.035
2019-12-31 21:15:00,8.656,8.683,8.656,8.671,385.197
2019-12-31 21:30:00,8.679,8.686,8.664,8.684,110.462
2019-12-31 21:45:00,8.69,8.691,8.676,8.685,767.902
2019-12-31 22:00:00,8.676,8.681,8.658,8.676,328.275
2019-12-31 22:15:00,8.676,8.704,8.676,8.698,662.184
2019-12-31 22:30:00,8.689,8.7,8.673,8.673,717.344
2019-12-31 22:45:00,8.673,8.705,8.662,8.69,320.769
2019-12-31 23:00:00,8.692,8.692,8.678,8.68,769.246
2019-12-31 23:15:00,8.679,8.679,8.673,8.673,29.235
2019-12-31 23:30:00,8.671,8.716,8.671,8.688,4579.099
2019-12-31 23:45:00,8.68,8.7,8.676,8.678,640.87
2020-01-01 00:00:00,8.674,8.677,8.65,8.664,572.002
2020-01-01 00:15:00,8.669,8.701,8.645,8.675,5943.761
2020-01-01 00:30:00,8.661,8.663,8.642,8.642,489.665
2020-01-01 00:45:00,8.636,8.649,8.632,8.637,303.855
2020-01-01 01:00:00,8.669,8.675,8.669,8.675,258.739
2020-01-01 01:15:00,8.696,8.714,8.658,8.714,506.317
2020-01-01 01:30:00,8.7,8.754,8.7,8.71,1794.773
2020-01-01 01:45:00,8.71,8.713,8.699,8.71,181.466
2020-01-01 02:00:00,8.733,8.747,8.718,8.746,1340.96
2020-01-01 02:15:00,8.755,8.755,8.725,8.729,570.996
2020-01-01 02:30:00,8.722,8.737,8.722,8.737,284.578
2020-01-01 02:45:00,8.737,8.754,8.737,8.75,195.03
2020-01-01 03:00:00,8.749,8.749,8.709,8.71,414.484
2020-01-01 03:15:00,8.704,8.726,8.701,8.726,407.267
2020-01-01 03:30:00,8.73,8.743,8.729,8.73,61.905
2020-01-01 03:45:00,8.73,8.73,8.716,8.716,290.68
2020-01-01 04:00:00,8.713,8.719,8.705,8.705,356.301
2020-01-01 04:15:00,8.704,8.713,8.704,8.713,393.035
2020-01-01 04:30:00,8.712,8.745,8.712,8.731,401.963
2020-01-01 04:45:00,8.731,8.736,8.692,8.692,838.999
2020-01-01 05:00:00,8.695,8.741,8.695,8.714,131.812
2020-01-01 05:15:00,8.724,8.77,8.714,8.755,1842.538
2020-01-01 05:30:00,8.74,8.764,8.718,8.718,471.471
2020-01-01 05:45:00,8.72,8.737,8.719,8.722,472.701
2020-01-01 06:00:00,8.731,8.777,8.731,8.754,1808.088
2020-01-01 06:15:00,8.743,8.775,8.743,8.772,116.206
2020-01-01 06:30:00,8.765,8.78,8.765,8.767,1202.157
2020-01-01 06:45:00,8.745,8.745,8.721,8.721,760.884
2020-01-01 07:00:00,8.736,8.736,8.722,8.722,30.028
2020-01-01 07:15:00,8.736,8.738,8.723,8.738,281.301
2020-01-01 07:30:00,8.725,8.757,8.7,8.722,2383.959
2020-01-01 07:45:00,8.725,8.725,8.714,8.714,33.826
2020-01-01 08:00:00,8.719,8.719,8.697,8.697,91.02
2020-01-01 08:15:00,8.684,8.703,8.684,8.697,164.109
2020-01-01 08:30:00,8.69,8.697,8.664,8.672,1073.308
2020-01-01 08:45:00,8.665,8.726,8.664,8.726,2136.56
2020-01-01 09:00:00,8.712,8.714,8.693,8.693,115.644
2020-01-01 09:15:00,8.691,8.707,8.691,8.691,199.806
2020-01-01 09:30:00,8.695,8.727,8.695,8.725,197.856
2020-01-01 09:45:00,8.718,8.725,8.715,8.715,1135.422
2020-01-01 10:00:00,8.712,8.723,8.69,8.723,594.272
2020-01-01 10:15:00,8.722,8.761,8.711,8.761,1025.405
2020-01-01 10:30:00,8.76,8.76,8.731,8.731,374.377
2020-01-01 10:45:00,8.735,8.748,8.735,8.748,72.751
2020-01-01 11:00:00,8.74,8.74,8.729,8.73,160.619
2020-01-01 11:15:00,8.74,8.849,8.732,8.838,5515.396
2020-01-01 11:30:00,8.849,8.883,8.834,8.852,3255.664
2020-01-01 11:45:00,8.854,8.867,8.78,8.796,2675.068
2020-01-01 12:00:00,8.789,8.829,8.788,8.819,551.939
2020-01-01 12:15:00,8.805,8.812,8.795,8.795,1059.312
2020-01-01 12:30:00,8.79,8.837,8.781,8.824,833.158
2020-01-01 12:45:00,8.833,8.854,8.831,8.85,1387.244
2020-01-01 13:00:00,8.856,8.859,8.84,8.846,755.655
2020-01-01 13:15:00,8.839,8.839,8.826,8.83,267.946
2020-01-01 13:30:00,8.824,8.834,8.812,8.812,564.271
2020-01-01 13:45:00,8.81,8.834,8.81,8.834,671.443
2020-01-01 14:00:00,8.848,8.848,8.835,8.835,341.527
2020-01-01 14:15:00,8.836,8.85,8.829,8.845,233.884
2020-01-01 14:30:00,8.844,8.844,8.83,8.831,208.724
2020-01-01 14:45:00,8.827,8.831,8.818,8.818,99.12
2020-01-01 15:00:00,8.833,8.837,8.826,8.826,495.164
2020-01-01 15:15:00,8.836,8.837,8.832,8.837,677.99
2020-01-01 15:30:00,8.837,8.874,8.837,8.871,4119.708
2020-01-01 15:45:00,8.86,8.966,8.86,8.964,6255.669
2020-01-01 16:00:00,8.966,8.966,8.903,8.933,3787.155
2020-01-01 16:15:00,8.92,8.94,8.88,8.936,3875.748
2020-01-01 16:30:00,8.946,8.971,8.911,8.934,2096.9
2020-01-01 16:45:00,8.934,8.964,8.914,8.964,519.368
2020-01-01 17:00:00,8.954,8.972,8.917,8.946,383.112
2020-01-01 17:15:00,8.969,9.0,8.957,9.0,4078.515
2020-01-01 17:30:00,9.0,9.0,8.96,8.96,427.816
2020-01-01 17:45:00,8.955,8.959,8.916,8.931,1093.176
2020-01-01 18:00:00,8.94,8.98,8.939,8.964,2340.665
2020-01-01 18:15:00,8.97,8.97,8.94,8.94,2729.202
2020-01-01 18:30:00,8.94,8.94,8.898,8.921,3621.441
2020-01-01 18:45:00,8.921,8.964,8.908,8.932,420.164
2020-01-01 19:00:00,8.93,8.97,8.904,8.953,3975.886
2020-01-01 19:15:00,8.968,8.968,8.902,8.91,567.989
2020-01-01 19:30:00,8.913,8.951,8.913,8.923,1399.003
2020-01-01 19:45:00,8.929,8.942,8.917,8.917,72.167
2020-01-01 20:00:00,8.941,8.941,8.922,8.922,121.679
2020-01-01 20:15:00,8.922,8.966,8.922,8.966,296.206
2020-01-01 20:30:00,8.967,8.967,8.944,8.944,57.126
2020-01-01 20:45:00,8.948,8.962,8.948,8.952,107.497
2020-01-01 21:00:00,8.962,8.962,8.923,8.945,95.125
2020-01-01 21:15:00,8.94,8.94,8.93,8.937,588.185
2020-01-01 21:30:00,8.932,8.954,8.924,8.934,755.341
2020-01-01 21:45:00,8.962,8.962,8.962,8.962,19.395
2020-01-01 22:00:00,8.927,8.937,8.917,8.922,431.362
2020-01-01 22:15:00,8.914,8.918,8.905,8.907,130.292
2020-01-01 22:30:00,8.9,8.9,8.861,8.861,1385.701
2020-01-01 22:45:00,8.861,8.879,8.839,8.87,795.015
2020-01-01 23:00:00,8.86,8.862,8.832,8.84,585.073
2020-01-01 23:15:00,8.843,8.849,8.822,8.847,985.017
2020-01-01 23:30:00,8.845,8.854,8.816,8.846,5092.628
2020-01-01 23:45:00,8.846,8.862,8.842,8.85,675.745
2020-01-02 00:00:00,8.846,8.846,8.83,8.83,365.169
2020-01-02 00:15:00,8.836,8.847,8.831,8.846,83.391
2020-01-02 00:30:00,8.846,8.849,8.83,8.849,3397.28
2020-01-02 00:45:00,8.849,8.849,8.824,8.824,1047.772
2020-01-02 01:00:00,8.826,8.829,8.81,8.826,237.945
2020-01-02 01:15:00,8.826,8.826,8.826,8.826,0.0
2020-01-02 01:30:00,8.826,8.826,8.731,8.771,9866.274
2020-01-02 01:45:00,8.767,8.786,8.756,8.775,652.994
2020-01-02 02:00:00,8.776,8.779,8.724,8.726,980.434
2020-01-02 02:15:00,8.731,8.731,8.702,8.716,729.664
2020-01-02 02:30:00,8.711,8.738,8.685,8.738,1456.502
2020-01-02 02:45:00,8.735,8.735,8.687,8.695,1083.601
2020-01-02 03:00:00,8.685,8.742,8.666,8.713,8870.555
2020-01-02 03:15:00,8.709,8.725,8.695,8.71,986.131
2020-01-02 03:30:00,8.712,8.713,8.685,8.685,1268.9
2020-01-02 03:45:00,8.687,8.695,8.667,8.674,2757.279
2020-01-02 04:00:00,8.673,8.69,8.609,8.677,4691.984
2020-01-02 04:15:00,8.68,8.714,8.68,8.71,489.782
2020-01-02 04:30:00,8.693,8.698,8.671,8.694,301.552
2020-01-02 04:45:00,8.703,8.721,8.693,8.709,2953.911
2020-01-02 05:00:00,8.708,8.708,8.693,8.708,305.067
2020-01-02 05:15:00,8.708,8.722,8.698,8.698,523.595
2020-01-02 05:30:00,8.7,8.723,8.7,8.723,75.538
2020-01-02 05:45:00,8.708,8.708,8.69,8.7,278.889
2020-01-02 06:00:00,8.691,8.699,8.684,8.699,190.805
2020-01-02 06:15:00,8.688,8.7,8.684,8.689,321.739
2020-01-02 06:30:00,8.701,8.717,8.7,8.71,2174.822
2020-01-02 06:45:00,8.689,8.689,8.682,8.682,8.982
2020-01-02 07:00:00,8.695,8.696,8.68,8.681,826.537
2020-01-02 07:15:00,8.689,8.689,8.65,8.653,3657.162
2020-01-02 07:30:00,8.653,8.668,8.643,8.658,1621.364
2020-01-02 07:45:00,8.657,8.657,8.642,8.647,1665.863
2020-01-02 08:00:00,8.647,8.681,8.64,8.681,713.882
2020-01-02 08:15:00,8.688,8.696,8.676,8.677,466.711
2020-01-02 08:30:00,8.677,8.7,8.674,8.694,1472.376
2020-01-02 08:45:00,8.694,8.705,8.687,8.705,898.385
2020-01-02 09:00:00,8.707,8.707,8.694,8.694,63.906
2020-01-02 09:15:00,8.704,8.706,8.693,8.702,540.46
2020-01-02 09:30:00,8.699,8.7,8.686,8.7,511.394
2020-01-02 09:45:00,8.688,8.733,8.688,8.708,461.277
2020-01-02 10:00:00,8.704,8.719,8.704,8.719,245.737
2020-01-02 10:15:00,8.719,8.719,8.699,8.699,16.86
2020-01-02 10:30:00,8.715,8.718,8.7,8.706,264.63
2020-01-02 10:45:00,8.698,8.712,8.69,8.705,262.159
2020-01-02 11:00:00,8.705,8.735,8.704,8.709,235.134
2020-01-02 11:15:00,8.723,8.724,8.697,8.697,1352.762
2020-01-02 11:30:00,8.698,8.718,8.693,8.718,136.993
2020-01-02 11:45:00,8.715,8.715,8.69,8.69,162.918
2020-01-02 12:00:00,8.699,8.756,8.692,8.741,2061.081
2020-01-02 12:15:00,8.741,8.743,8.723,8.736,265.623
2020-01-02 12:30:00,8.724,8.731,8.7,8.7,227.224
2020-01-02 12:45:00,8.703,8.733,8.703,8.724,1081.847
2020-01-02 13:00:00,8.733,8.733,8.724,8.733,233.761
2020-01-02 13:15:00,8.733,8.733,8.725,8.73,384.617
2020-01-02 13:30:00,8.725,8.725,8.681,8.691,1247.223
2020-01-02 13:45:00,8.687,8.71,8.654,8.697,2416.086
2020-01-02 14:00:00,8.699,8.707,8.678,8.68,2157.418
2020-01-02 14:15:00,8.688,8.694,8.688,8.694,75.01
2020-01-02 14:30:00,8.694,8.714,8.692,8.714,1082.063
2020-01-02 14:45:00,8.714,8.719,8.707,8.71,201.666
