index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.1819,0.1847,0.1816,0.1834,496998.67
2019-12-31 17:00:00,0.1838,0.1843,0.1822,0.1825,366412.24
2019-12-31 18:00:00,0.1826,0.1835,0.1816,0.1827,208062.51
2019-12-31 19:00:00,0.1826,0.1831,0.1816,0.1819,141107.28
2019-12-31 20:00:00,0.1816,0.1819,0.1797,0.18,396064.1
2019-12-31 21:00:00,0.18,0.1819,0.1796,0.1818,142190.39
2019-12-31 22:00:00,0.1818,0.1818,0.1801,0.1818,186576.29
2019-12-31 23:00:00,0.181,0.1817,0.1803,0.1803,57725.97
2020-01-01 00:00:00,0.1808,0.1816,0.18,0.181,68069.23
2020-01-01 01:00:00,0.1807,0.184,0.1806,0.1834,280058.48
2020-01-01 02:00:00,0.1833,0.1846,0.1831,0.1838,161427.52
2020-01-01 03:00:00,0.1839,0.184,0.182,0.1826,206177.41
2020-01-01 04:00:00,0.1826,0.1838,0.1822,0.1834,58456.11
2020-01-01 05:00:00,0.1834,0.1841,0.1833,0.1835,28396.02
2020-01-01 06:00:00,0.184,0.1843,0.1831,0.1841,62611.66
2020-01-01 07:00:00,0.1838,0.1842,0.1831,0.1832,55912.93
2020-01-01 08:00:00,0.1832,0.1861,0.1832,0.1855,164073.92
2020-01-01 09:00:00,0.1854,0.1894,0.1854,0.1877,339975.15
2020-01-01 10:00:00,0.1881,0.1907,0.1878,0.1899,850786.03
2020-01-01 11:00:00,0.1905,0.1924,0.1892,0.1908,780662.65
2020-01-01 12:00:00,0.1908,0.1914,0.1895,0.19,159921.02
2020-01-01 13:00:00,0.1902,0.1919,0.1902,0.1909,245964.41
2020-01-01 14:00:00,0.1909,0.191,0.1894,0.1898,243252.51
2020-01-01 15:00:00,0.1898,0.1898,0.1878,0.1886,398956.73
2020-01-01 16:00:00,0.1887,0.1921,0.1887,0.1913,304467.59
2020-01-01 17:00:00,0.1914,0.1916,0.1893,0.1908,342606.6
2020-01-01 18:00:00,0.1908,0.1945,0.1908,0.1929,608819.52
2020-01-01 19:00:00,0.1931,0.1942,0.1917,0.1917,547665.98
2020-01-01 20:00:00,0.192,0.196,0.1919,0.1959,506133.79
2020-01-01 21:00:00,0.1958,0.1984,0.1938,0.1949,1130140.43
2020-01-01 22:00:00,0.1945,0.1976,0.1934,0.1948,953990.65
2020-01-01 23:00:00,0.1947,0.1966,0.1944,0.1962,729820.76
2020-01-02 00:00:00,0.196,0.1961,0.1922,0.1928,709471.95
2020-01-02 01:00:00,0.1928,0.1928,0.191,0.1912,545011.58
2020-01-02 02:00:00,0.1912,0.1912,0.189,0.1893,584109.05
2020-01-02 03:00:00,0.1895,0.1902,0.1882,0.1888,360288.97
2020-01-02 04:00:00,0.1888,0.1919,0.1888,0.1909,298248.0
2020-01-02 05:00:00,0.1913,0.1927,0.191,0.1913,184771.96
2020-01-02 06:00:00,0.1919,0.1919,0.1884,0.1889,501123.16
2020-01-02 07:00:00,0.1888,0.1909,0.188,0.189,460629.74
2020-01-02 08:00:00,0.1892,0.1925,0.189,0.192,160004.02
2020-01-02 09:00:00,0.192,0.1938,0.1915,0.1928,145241.85
2020-01-02 10:00:00,0.1929,0.1947,0.1928,0.1938,226564.99
