index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,2.146,2.155,2.146,2.151,3268.505
2019-12-31 17:00:00,2.148,2.148,2.142,2.146,1652.478
2019-12-31 18:00:00,2.146,2.146,2.146,2.146,3333.834
2019-12-31 19:00:00,2.146,2.146,2.146,2.146,739.89
2019-12-31 20:00:00,2.146,2.146,2.146,2.146,154.18
2019-12-31 21:00:00,2.146,2.146,2.146,2.146,13.548
2019-12-31 22:00:00,2.144,2.146,2.144,2.144,120.702
2019-12-31 23:00:00,2.144,2.144,2.144,2.144,0.0
2020-01-01 00:00:00,2.147,2.148,2.145,2.145,7664.903
2020-01-01 01:00:00,2.146,2.158,2.146,2.157,733.224
2020-01-01 02:00:00,2.157,2.162,2.157,2.162,386.224
2020-01-01 03:00:00,2.162,2.162,2.157,2.16,388.719
2020-01-01 04:00:00,2.158,2.159,2.158,2.159,253.426
2020-01-01 05:00:00,2.159,2.159,2.159,2.159,0.0
2020-01-01 06:00:00,2.161,2.161,2.161,2.161,167.58
2020-01-01 07:00:00,2.16,2.161,2.153,2.154,452.475
2020-01-01 08:00:00,2.151,2.151,2.148,2.149,1349.105
2020-01-01 09:00:00,2.153,2.153,2.149,2.149,128.367
2020-01-01 10:00:00,2.15,2.154,2.15,2.154,175.9
2020-01-01 11:00:00,2.155,2.161,2.15,2.152,8342.776
2020-01-01 12:00:00,2.151,2.159,2.151,2.159,5169.808
2020-01-01 13:00:00,2.159,2.159,2.159,2.159,218.132
2020-01-01 14:00:00,2.156,2.156,2.147,2.151,1466.668
2020-01-01 15:00:00,2.15,2.16,2.15,2.152,2008.603
2020-01-01 16:00:00,2.151,2.154,2.151,2.154,324.686
2020-01-01 17:00:00,2.154,2.156,2.154,2.156,1870.32
2020-01-01 18:00:00,2.156,2.156,2.15,2.154,2477.678
2020-01-01 19:00:00,2.154,2.154,2.153,2.153,157.7
2020-01-01 20:00:00,2.153,2.153,2.153,2.153,36.38
2020-01-01 21:00:00,2.153,2.153,2.153,2.153,25.9
2020-01-01 22:00:00,2.149,2.151,2.141,2.141,2754.325
2020-01-01 23:00:00,2.141,2.144,2.141,2.144,359.554
2020-01-02 00:00:00,2.144,2.145,2.144,2.145,1984.06
2020-01-02 01:00:00,2.145,2.145,2.145,2.145,14329.212
2020-01-02 02:00:00,2.145,2.146,2.145,2.146,9818.044
2020-01-02 03:00:00,2.146,2.146,2.146,2.146,0.0
2020-01-02 04:00:00,2.146,2.151,2.145,2.148,2388.019
2020-01-02 05:00:00,2.148,2.15,2.148,2.15,107.06
2020-01-02 06:00:00,2.15,2.15,2.147,2.147,237.923
2020-01-02 07:00:00,2.148,2.148,2.148,2.148,9037.36
2020-01-02 08:00:00,2.147,2.147,2.144,2.146,635.809
2020-01-02 09:00:00,2.146,2.146,2.146,2.146,59.43
2020-01-02 10:00:00,2.145,2.145,2.145,2.145,152.891
2020-01-02 11:00:00,2.143,2.145,2.143,2.145,1550.218
2020-01-02 12:00:00,2.145,2.152,2.145,2.152,1514.283
2020-01-02 13:00:00,2.152,2.152,2.148,2.15,60939.413
2020-01-02 14:00:00,2.151,2.151,2.15,2.151,1473.306
2020-01-02 15:00:00,2.15,2.151,2.148,2.151,1156.871
2020-01-02 16:00:00,2.151,2.151,2.142,2.145,9148.35
2020-01-02 17:00:00,2.145,2.146,2.143,2.146,13990.266
2020-01-02 18:00:00,2.145,2.146,2.143,2.145,1761.249
2020-01-02 19:00:00,2.142,2.144,2.142,2.142,6397.784
2020-01-02 20:00:00,2.142,2.142,2.142,2.142,0.0
2020-01-02 21:00:00,2.144,2.144,2.144,2.144,73.095
2020-01-02 22:00:00,2.144,2.144,2.144,2.144,1024.209
2020-01-02 23:00:00,2.142,2.142,2.142,2.142,6.7
2020-01-03 00:00:00,2.143,2.143,2.141,2.143,825.607
2020-01-03 01:00:00,2.143,2.143,2.141,2.143,913.593
2020-01-03 02:00:00,2.144,2.144,2.142,2.143,35904.689
2020-01-03 03:00:00,2.142,2.142,2.142,2.142,10.726
2020-01-03 04:00:00,2.144,2.194,2.14,2.187,16516.239
2020-01-03 05:00:00,2.187,2.191,2.175,2.185,8777.113
2020-01-03 06:00:00,2.186,2.187,2.182,2.184,2727.696
2020-01-03 07:00:00,2.185,2.19,2.18,2.183,5811.596
2020-01-03 08:00:00,2.183,2.207,2.182,2.2,10142.825
2020-01-03 09:00:00,2.202,2.23,2.202,2.23,6889.395
2020-01-03 10:00:00,2.228,2.233,2.212,2.217,8748.308
2020-01-03 11:00:00,2.216,2.221,2.207,2.211,3959.603
2020-01-03 12:00:00,2.215,2.217,2.206,2.207,3044.185
2020-01-03 13:00:00,2.21,2.224,2.21,2.22,726.802
2020-01-03 14:00:00,2.214,2.215,2.178,2.183,14271.682
2020-01-03 15:00:00,2.19,2.202,2.19,2.202,174.541
2020-01-03 16:00:00,2.202,2.225,2.202,2.225,6384.725
2020-01-03 17:00:00,2.222,2.225,2.21,2.211,2116.18
2020-01-03 18:00:00,2.216,2.216,2.208,2.208,722.793
2020-01-03 19:00:00,2.206,2.209,2.197,2.209,17311.471
2020-01-03 20:00:00,2.213,2.213,2.201,2.204,2873.965
2020-01-03 21:00:00,2.202,2.206,2.188,2.188,1154.095
2020-01-03 22:00:00,2.187,2.2,2.187,2.2,867.978
2020-01-03 23:00:00,2.191,2.206,2.191,2.204,2721.735
2020-01-04 00:00:00,2.201,2.202,2.198,2.201,717.671
2020-01-04 01:00:00,2.191,2.193,2.191,2.192,712.586
2020-01-04 02:00:00,2.192,2.193,2.192,2.193,1213.81
2020-01-04 03:00:00,2.197,2.203,2.19,2.203,375.006
2020-01-04 04:00:00,2.2,2.2,2.193,2.193,1165.846
2020-01-04 05:00:00,2.203,2.203,2.203,2.203,54.476
2020-01-04 06:00:00,2.203,2.206,2.194,2.203,356.139
2020-01-04 07:00:00,2.202,2.202,2.196,2.201,1154.38
2020-01-04 08:00:00,2.197,2.202,2.197,2.202,307.992
2020-01-04 09:00:00,2.198,2.202,2.197,2.202,130.8
2020-01-04 10:00:00,2.194,2.194,2.188,2.188,783.516
2020-01-04 11:00:00,2.184,2.192,2.183,2.19,3385.647
2020-01-04 12:00:00,2.192,2.192,2.185,2.185,697.322
2020-01-04 13:00:00,2.186,2.186,2.183,2.184,2656.38
2020-01-04 14:00:00,2.186,2.187,2.174,2.174,1827.135
2020-01-04 15:00:00,2.169,2.169,2.166,2.167,4457.93
2020-01-04 16:00:00,2.164,2.166,2.164,2.164,697.181
2020-01-04 17:00:00,2.169,2.174,2.169,2.174,1080.23
2020-01-04 18:00:00,2.174,2.19,2.158,2.161,4502.242
2020-01-04 19:00:00,2.16,2.175,2.158,2.165,2105.932
2020-01-04 20:00:00,2.165,2.167,2.157,2.165,3874.51
2020-01-04 21:00:00,2.164,2.171,2.164,2.17,359.687
2020-01-04 22:00:00,2.169,2.169,2.168,2.169,203.653
2020-01-04 23:00:00,2.168,2.168,2.164,2.164,4646.595
2020-01-05 00:00:00,2.174,2.179,2.173,2.176,1352.052
2020-01-05 01:00:00,2.181,2.2,2.174,2.174,7155.346
2020-01-05 02:00:00,2.18,2.18,2.166,2.168,1597.065
2020-01-05 03:00:00,2.168,2.168,2.168,2.168,100.956
2020-01-05 04:00:00,2.179,2.181,2.169,2.17,561.24
