index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.2335,0.2367,0.2335,0.2352,10424.24
2019-12-31 17:00:00,0.2352,0.2358,0.2328,0.2338,11000.47
2019-12-31 18:00:00,0.2335,0.2344,0.2327,0.2328,13751.72
2019-12-31 19:00:00,0.2341,0.2341,0.2327,0.2335,4468.08
2019-12-31 20:00:00,0.2336,0.2337,0.2313,0.2326,5315.62
2019-12-31 21:00:00,0.2325,0.2352,0.2312,0.2324,6250.36
2019-12-31 22:00:00,0.2324,0.2337,0.2201,0.2245,205108.36
2019-12-31 23:00:00,0.2243,0.2246,0.2209,0.2221,24021.72
2020-01-01 00:00:00,0.2227,0.2237,0.221,0.2237,15241.7
2020-01-01 01:00:00,0.2226,0.224,0.2216,0.2231,16110.34
2020-01-01 02:00:00,0.2227,0.2238,0.2205,0.2223,18624.78
2020-01-01 03:00:00,0.2223,0.2246,0.2216,0.2226,11862.3
2020-01-01 04:00:00,0.2226,0.2247,0.2226,0.2236,12548.78
2020-01-01 05:00:00,0.2235,0.2276,0.2228,0.2261,31336.34
2020-01-01 06:00:00,0.2257,0.2268,0.2244,0.2252,14088.91
2020-01-01 07:00:00,0.2249,0.2265,0.2241,0.2254,11459.12
2020-01-01 08:00:00,0.2258,0.2258,0.2244,0.2256,4379.9
2020-01-01 09:00:00,0.2257,0.2266,0.2246,0.2253,7171.86
2020-01-01 10:00:00,0.2263,0.2268,0.2256,0.2265,3870.8
2020-01-01 11:00:00,0.2264,0.2284,0.2254,0.2283,20002.36
2020-01-01 12:00:00,0.2282,0.2292,0.2265,0.2292,16123.93
2020-01-01 13:00:00,0.2294,0.2317,0.2282,0.2301,33635.47
2020-01-01 14:00:00,0.2298,0.231,0.228,0.231,8516.68
2020-01-01 15:00:00,0.2313,0.2335,0.2312,0.232,16312.02
2020-01-01 16:00:00,0.2304,0.2312,0.2284,0.2309,18513.4
2020-01-01 17:00:00,0.2308,0.2347,0.2297,0.2332,11032.39
2020-01-01 18:00:00,0.2324,0.2333,0.2311,0.2332,7288.24
2020-01-01 19:00:00,0.2324,0.233,0.2299,0.2314,8857.84
2020-01-01 20:00:00,0.2314,0.2331,0.2305,0.2327,18472.48
2020-01-01 21:00:00,0.2327,0.2351,0.2318,0.2323,14024.66
2020-01-01 22:00:00,0.2319,0.2323,0.229,0.2312,32354.25
2020-01-01 23:00:00,0.2308,0.2323,0.2297,0.2308,3408.03
2020-01-02 00:00:00,0.2312,0.2324,0.2299,0.2315,4405.46
