index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,1.605,1.612,1.601,1.607,10303.019
2019-12-31 17:00:00,1.606,1.615,1.592,1.596,31772.803
2019-12-31 18:00:00,1.596,1.6,1.592,1.595,5677.361
2019-12-31 19:00:00,1.595,1.6,1.593,1.596,4892.93
2019-12-31 20:00:00,1.595,1.599,1.595,1.596,3132.565
2019-12-31 21:00:00,1.596,1.607,1.594,1.607,9652.469
2019-12-31 22:00:00,1.606,1.609,1.601,1.607,8033.205
2019-12-31 23:00:00,1.608,1.614,1.604,1.612,6372.703
2020-01-01 00:00:00,1.609,1.611,1.601,1.603,10044.468
2020-01-01 01:00:00,1.603,1.618,1.603,1.613,7128.612
2020-01-01 02:00:00,1.613,1.625,1.613,1.621,12440.008
2020-01-01 03:00:00,1.621,1.621,1.613,1.614,4133.533
2020-01-01 04:00:00,1.615,1.622,1.614,1.617,4785.054
2020-01-01 05:00:00,1.618,1.618,1.612,1.614,4214.126
2020-01-01 06:00:00,1.615,1.62,1.611,1.613,5251.829
2020-01-01 07:00:00,1.615,1.616,1.605,1.605,12518.114
2020-01-01 08:00:00,1.605,1.606,1.598,1.606,4059.62
2020-01-01 09:00:00,1.606,1.607,1.601,1.602,6789.596
2020-01-01 10:00:00,1.603,1.607,1.601,1.605,5431.569
2020-01-01 11:00:00,1.607,1.618,1.604,1.604,27791.812
2020-01-01 12:00:00,1.605,1.612,1.605,1.611,10506.817
2020-01-01 13:00:00,1.611,1.615,1.609,1.611,9335.441
2020-01-01 14:00:00,1.611,1.62,1.608,1.612,13441.603
2020-01-01 15:00:00,1.613,1.624,1.61,1.619,10906.159
2020-01-01 16:00:00,1.62,1.625,1.62,1.625,8629.904
2020-01-01 17:00:00,1.625,1.628,1.621,1.624,10420.028
2020-01-01 18:00:00,1.624,1.625,1.611,1.619,18900.347
2020-01-01 19:00:00,1.618,1.619,1.607,1.609,9279.539
2020-01-01 20:00:00,1.61,1.616,1.609,1.615,2360.995
2020-01-01 21:00:00,1.613,1.618,1.609,1.611,6892.979
2020-01-01 22:00:00,1.611,1.612,1.6,1.607,22759.656
