index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.3616,0.4243,0.3616,0.4113,209494.32
2019-12-31 17:00:00,0.4102,0.4217,0.3883,0.4088,84322.68
2019-12-31 18:00:00,0.4066,0.414,0.4,0.411,53433.27
2019-12-31 19:00:00,0.411,0.4215,0.4021,0.4127,47340.99
2019-12-31 20:00:00,0.4092,0.4546,0.4,0.4481,182425.98
2019-12-31 21:00:00,0.4496,0.465,0.426,0.431,156579.21
2019-12-31 22:00:00,0.4309,0.4309,0.4067,0.41,57586.24
2019-12-31 23:00:00,0.4136,0.4157,0.4076,0.4081,21069.52
2020-01-01 00:00:00,0.4109,0.4138,0.405,0.409,10189.29
2020-01-01 01:00:00,0.4091,0.4091,0.3874,0.3916,93404.05
2020-01-01 02:00:00,0.3944,0.4016,0.3944,0.4004,12824.06
2020-01-01 03:00:00,0.4011,0.4191,0.3993,0.4115,39784.57
2020-01-01 04:00:00,0.4115,0.4115,0.4021,0.4066,14334.22
2020-01-01 05:00:00,0.4066,0.4091,0.4041,0.4041,3510.98
2020-01-01 06:00:00,0.4066,0.4137,0.3892,0.3943,38423.47
2020-01-01 07:00:00,0.3943,0.3964,0.3891,0.3937,8009.31
2020-01-01 08:00:00,0.3901,0.3947,0.3859,0.3881,27958.68
2020-01-01 09:00:00,0.3907,0.3937,0.3872,0.3911,2645.11
2020-01-01 10:00:00,0.3911,0.4263,0.386,0.4263,82430.84
2020-01-01 11:00:00,0.4268,0.4478,0.4224,0.4297,125838.43
2020-01-01 12:00:00,0.4314,0.4602,0.4299,0.4355,150251.03
2020-01-01 13:00:00,0.4354,0.4481,0.4272,0.4421,80332.9
2020-01-01 14:00:00,0.4393,0.4473,0.4347,0.4349,65463.8
2020-01-01 15:00:00,0.4373,0.4421,0.4166,0.4275,83596.94
2020-01-01 16:00:00,0.4262,0.4373,0.4191,0.4243,37505.31
2020-01-01 17:00:00,0.4243,0.4481,0.4191,0.4283,34337.76
2020-01-01 18:00:00,0.4283,0.448,0.4278,0.4373,24300.57
2020-01-01 19:00:00,0.4373,0.4453,0.4262,0.4318,31533.68
2020-01-01 20:00:00,0.4317,0.4342,0.427,0.4321,10594.3
2020-01-01 21:00:00,0.4311,0.4311,0.4196,0.42,27850.99
2020-01-01 22:00:00,0.42,0.4293,0.4143,0.4143,24132.28
2020-01-01 23:00:00,0.419,0.419,0.4109,0.4177,14488.39
2020-01-02 00:00:00,0.4177,0.4241,0.4176,0.4223,11757.64
2020-01-02 01:00:00,0.4243,0.437,0.4239,0.4357,9748.42
2020-01-02 02:00:00,0.4369,0.4401,0.4297,0.4346,8394.35
2020-01-02 03:00:00,0.4321,0.4347,0.4166,0.4166,20787.92
2020-01-02 04:00:00,0.4165,0.419,0.4142,0.419,16345.65
2020-01-02 05:00:00,0.419,0.4191,0.4148,0.4175,2108.55
2020-01-02 06:00:00,0.4143,0.4176,0.397,0.4015,71274.86
2020-01-02 07:00:00,0.4014,0.409,0.4,0.409,25495.07
2020-01-02 08:00:00,0.4088,0.4141,0.4088,0.4141,6552.35
2020-01-02 09:00:00,0.411,0.4141,0.4092,0.414,4637.25
2020-01-02 10:00:00,0.4098,0.4141,0.4047,0.4091,7515.49
2020-01-02 11:00:00,0.4064,0.4091,0.4047,0.4072,2203.87
2020-01-02 12:00:00,0.4079,0.4142,0.407,0.4091,7382.06
2020-01-02 13:00:00,0.4111,0.4135,0.4056,0.4091,1183.67
2020-01-02 14:00:00,0.4058,0.409,0.4041,0.4082,19211.53
2020-01-02 15:00:00,0.4088,0.4092,0.4041,0.408,9558.46
2020-01-02 16:00:00,0.4051,0.4051,0.3934,0.3953,54661.96
