index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,9.12e-05,9.3e-05,9.12e-05,9.25e-05,4321793584.0
2019-12-31 17:00:00,9.26e-05,9.27e-05,9.17e-05,9.19e-05,5278231138.0
2019-12-31 18:00:00,9.19e-05,9.27e-05,9.16e-05,9.24e-05,6810376987.0
2019-12-31 19:00:00,9.24e-05,9.27e-05,9.18e-05,9.21e-05,2831900868.0
2019-12-31 20:00:00,9.2e-05,9.22e-05,9.14e-05,9.18e-05,178736802.0
2019-12-31 21:00:00,9.18e-05,9.23e-05,9.17e-05,9.19e-05,153656863.0
2019-12-31 22:00:00,9.19e-05,9.23e-05,9.17e-05,9.22e-05,127785125.0
2019-12-31 23:00:00,9.21e-05,9.25e-05,9.19e-05,9.23e-05,3550423674.0
2020-01-01 00:00:00,9.23e-05,9.27e-05,9.19e-05,9.24e-05,3261717205.0
2020-01-01 01:00:00,9.25e-05,9.28e-05,9.22e-05,9.27e-05,678961811.0
2020-01-01 02:00:00,9.27e-05,9.33e-05,9.26e-05,9.32e-05,2714755243.0
2020-01-01 03:00:00,9.31e-05,9.33e-05,9.25e-05,9.29e-05,3008220651.0
2020-01-01 04:00:00,9.29e-05,9.3e-05,9.21e-05,9.21e-05,1283624722.0
2020-01-01 05:00:00,9.21e-05,9.24e-05,9.2e-05,9.22e-05,518294523.0
2020-01-01 06:00:00,9.22e-05,9.28e-05,9.22e-05,9.28e-05,1054867076.0
2020-01-01 07:00:00,9.28e-05,9.29e-05,9.19e-05,9.21e-05,634649829.0
2020-01-01 08:00:00,9.21e-05,9.22e-05,9.2e-05,9.21e-05,583109050.0
2020-01-01 09:00:00,9.21e-05,9.23e-05,9.2e-05,9.21e-05,346294694.0
2020-01-01 10:00:00,9.21e-05,9.24e-05,9.2e-05,9.21e-05,406783264.0
2020-01-01 11:00:00,9.21e-05,9.26e-05,9.21e-05,9.24e-05,3192670820.0
2020-01-01 12:00:00,9.23e-05,9.35e-05,9.22e-05,9.33e-05,6023982920.0
2020-01-01 13:00:00,9.33e-05,9.35e-05,9.28e-05,9.31e-05,4312348124.0
2020-01-01 14:00:00,9.31e-05,9.32e-05,9.24e-05,9.27e-05,3156494968.0
2020-01-01 15:00:00,9.27e-05,9.3e-05,9.26e-05,9.3e-05,2636823560.0
2020-01-01 16:00:00,9.31e-05,9.37e-05,9.29e-05,9.34e-05,3459207010.0
2020-01-01 17:00:00,9.34e-05,9.36e-05,9.31e-05,9.34e-05,5443721895.0
2020-01-01 18:00:00,9.35e-05,9.38e-05,9.3e-05,9.38e-05,7567141045.0
2020-01-01 19:00:00,9.37e-05,9.4e-05,9.34e-05,9.34e-05,2854215697.0
2020-01-01 20:00:00,9.35e-05,9.38e-05,9.31e-05,9.32e-05,1607353572.0
2020-01-01 21:00:00,9.32e-05,9.36e-05,9.3e-05,9.32e-05,151633461.0
2020-01-01 22:00:00,9.31e-05,9.33e-05,9.28e-05,9.31e-05,163588360.0
2020-01-01 23:00:00,9.3e-05,9.32e-05,9.28e-05,9.3e-05,1461924096.0
2020-01-02 00:00:00,9.31e-05,9.36e-05,9.29e-05,9.31e-05,5098513195.0
2020-01-02 01:00:00,9.31e-05,9.31e-05,9.25e-05,9.27e-05,846515126.0
2020-01-02 02:00:00,9.27e-05,9.33e-05,9.22e-05,9.27e-05,2725627025.0
2020-01-02 03:00:00,9.27e-05,9.29e-05,9.24e-05,9.25e-05,3006854634.0
