index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,41.74,42.18,41.7,41.94,1298.71485
2019-12-31 16:30:00,42.0,42.13,41.98,42.04,186.55269
2019-12-31 17:00:00,42.04,42.04,41.89,41.91,308.43293
2019-12-31 17:30:00,41.89,41.91,41.51,41.56,527.69319
2019-12-31 18:00:00,41.6,41.61,41.51,41.61,209.03621
2019-12-31 18:30:00,41.61,41.7,41.58,41.63,197.03563
2019-12-31 19:00:00,41.59,41.62,41.37,41.47,1135.93542
2019-12-31 19:30:00,41.46,41.51,41.38,41.44,245.65994
2019-12-31 20:00:00,41.42,41.42,41.2,41.24,345.21181
2019-12-31 20:30:00,41.24,41.24,41.03,41.11,556.52922
2019-12-31 21:00:00,41.06,41.16,41.05,41.13,127.49742
2019-12-31 21:30:00,41.13,41.21,41.13,41.13,318.87812
2019-12-31 22:00:00,41.13,41.26,41.1,41.15,188.17972
2019-12-31 22:30:00,41.16,41.3,41.03,41.17,681.49001
2019-12-31 23:00:00,41.16,41.19,41.12,41.13,74.15051
2019-12-31 23:30:00,41.13,41.21,41.02,41.16,393.73934
2020-01-01 00:00:00,41.17,41.17,40.96,40.98,286.59742
2020-01-01 00:30:00,40.99,40.99,40.92,40.92,261.86829
2020-01-01 01:00:00,40.92,41.23,40.92,41.21,468.79254
2020-01-01 01:30:00,41.21,41.25,41.11,41.13,113.81749
2020-01-01 02:00:00,41.12,41.28,41.09,41.23,207.88005
2020-01-01 02:30:00,41.27,41.49,41.27,41.45,701.32808
2020-01-01 03:00:00,41.45,41.5,41.28,41.42,646.9081
2020-01-01 03:30:00,41.41,41.44,41.35,41.39,48.49513
2020-01-01 04:00:00,41.43,41.53,41.35,41.48,329.27131
2020-01-01 04:30:00,41.48,41.62,41.42,41.54,985.75848
2020-01-01 05:00:00,41.57,41.66,41.55,41.56,119.52827
2020-01-01 05:30:00,41.55,41.55,41.39,41.39,111.451
2020-01-01 06:00:00,41.42,41.87,41.42,41.8,572.95139
2020-01-01 06:30:00,41.8,41.88,41.61,41.74,200.27254
2020-01-01 07:00:00,41.84,41.87,41.55,41.85,426.79409
2020-01-01 07:30:00,41.82,41.82,41.47,41.47,219.99263
2020-01-01 08:00:00,41.48,41.48,41.34,41.38,65.68952
2020-01-01 08:30:00,41.38,41.38,41.28,41.35,70.30477
2020-01-01 09:00:00,41.38,41.47,41.36,41.42,143.33928
2020-01-01 09:30:00,41.39,41.45,41.37,41.37,58.29909
2020-01-01 10:00:00,41.37,41.77,41.37,41.7,487.27798
2020-01-01 10:30:00,41.74,41.76,41.63,41.63,241.50094
2020-01-01 11:00:00,41.59,41.94,41.59,41.89,193.60382
2020-01-01 11:30:00,41.88,41.98,41.56,41.61,787.77603
2020-01-01 12:00:00,41.63,42.1,41.54,42.05,612.91787
2020-01-01 12:30:00,41.98,42.14,41.98,42.12,48.4175
2020-01-01 13:00:00,42.1,42.1,41.93,41.96,73.89652
2020-01-01 13:30:00,42.0,42.09,42.0,42.08,27.19204
2020-01-01 14:00:00,42.08,42.09,41.98,42.06,37.03679
2020-01-01 14:30:00,42.05,42.23,42.05,42.15,263.98897
2020-01-01 15:00:00,42.15,42.24,42.15,42.21,98.96887
2020-01-01 15:30:00,42.24,42.35,42.14,42.15,146.01638
2020-01-01 16:00:00,42.16,42.2,42.13,42.16,51.8785
2020-01-01 16:30:00,42.16,42.3,42.11,42.3,246.01288
2020-01-01 17:00:00,42.27,42.27,42.2,42.23,18.0914
2020-01-01 17:30:00,42.17,42.21,42.17,42.21,3.221
2020-01-01 18:00:00,42.19,42.19,42.04,42.05,309.16606
2020-01-01 18:30:00,42.05,42.05,41.83,42.0,483.45228
2020-01-01 19:00:00,41.97,41.97,41.92,41.97,76.05757
2020-01-01 19:30:00,41.98,42.11,41.93,41.95,862.0243
2020-01-01 20:00:00,41.93,42.11,41.93,42.09,58.07877
2020-01-01 20:30:00,42.11,42.12,41.97,42.0,21.66508
2020-01-01 21:00:00,41.98,42.0,41.95,41.96,81.34505
2020-01-01 21:30:00,41.96,42.71,41.96,42.57,1626.6126
2020-01-01 22:00:00,42.59,42.59,41.96,42.05,1484.08761
2020-01-01 22:30:00,42.0,42.0,41.6,41.88,485.49861
2020-01-01 23:00:00,41.86,41.89,41.67,41.78,76.42197
2020-01-01 23:30:00,41.8,41.84,41.77,41.84,74.47128
2020-01-02 00:00:00,41.82,41.82,41.66,41.68,78.58495
2020-01-02 00:30:00,41.69,41.69,41.3,41.35,2023.65398
2020-01-02 01:00:00,41.37,41.39,41.28,41.32,549.28975
2020-01-02 01:30:00,41.32,41.35,41.28,41.32,104.2698
2020-01-02 02:00:00,41.32,41.32,41.03,41.05,252.15085
2020-01-02 02:30:00,41.07,41.07,40.96,40.99,293.03995
2020-01-02 03:00:00,40.98,40.99,40.91,40.97,161.88295
