index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,129.71,130.51,129.2,130.16,10508.38846
2019-12-31 16:30:00,130.15,130.47,130.03,130.07,2499.01168
2019-12-31 17:00:00,130.07,130.13,129.7,129.75,4152.89442
2019-12-31 17:30:00,129.76,129.88,128.75,129.32,14423.46543
2019-12-31 18:00:00,129.38,130.09,129.01,130.09,4760.40301
2019-12-31 18:30:00,130.03,130.09,129.29,129.42,2469.89641
2019-12-31 19:00:00,129.38,129.38,128.51,128.62,7796.24632
2019-12-31 19:30:00,128.62,129.0,128.42,128.49,4416.81784
2019-12-31 20:00:00,128.47,128.84,128.24,128.65,2684.3005
2019-12-31 20:30:00,128.65,128.96,128.17,128.39,2680.81116
2019-12-31 21:00:00,128.41,129.0,128.27,128.76,2362.20699
2019-12-31 21:30:00,128.79,129.11,128.66,128.91,2307.49498
2019-12-31 22:00:00,128.88,129.02,128.5,128.55,3023.31292
2019-12-31 22:30:00,128.55,129.41,128.54,129.05,2913.92158
2019-12-31 23:00:00,129.05,129.35,128.84,129.03,1804.54752
2019-12-31 23:30:00,129.03,129.46,128.94,129.16,1176.56771
2020-01-01 00:00:00,129.16,129.19,128.68,128.78,5569.65282
2020-01-01 00:30:00,128.76,129.03,128.68,128.87,2199.52054
2020-01-01 01:00:00,128.87,130.58,128.78,130.26,6736.18344
2020-01-01 01:30:00,130.26,130.65,129.91,130.64,4608.47172
2020-01-01 02:00:00,130.63,130.95,130.35,130.76,4056.3696
2020-01-01 02:30:00,130.79,130.98,130.61,130.85,3546.98663
2020-01-01 03:00:00,130.85,130.89,130.06,130.48,3088.27696
2020-01-01 03:30:00,130.47,130.48,129.94,130.2,1880.27737
2020-01-01 04:00:00,130.21,130.42,130.15,130.19,1775.92651
2020-01-01 04:30:00,130.19,130.74,130.15,130.2,1621.98096
2020-01-01 05:00:00,130.2,130.44,130.11,130.33,2218.07739
2020-01-01 05:30:00,130.32,130.47,130.19,130.3,2025.52901
2020-01-01 06:00:00,130.31,130.75,130.26,130.75,2029.51946
2020-01-01 06:30:00,130.74,130.75,130.27,130.44,1639.3822
2020-01-01 07:00:00,130.47,130.71,130.33,130.58,1633.271
2020-01-01 07:30:00,130.58,130.66,130.14,130.24,2513.90313
2020-01-01 08:00:00,130.24,130.3,129.87,130.0,5158.53699
2020-01-01 08:30:00,130.0,130.41,129.88,130.36,2382.90798
2020-01-01 09:00:00,130.4,130.62,130.24,130.31,3514.51154
2020-01-01 09:30:00,130.35,130.49,130.13,130.17,1293.69342
2020-01-01 10:00:00,130.17,130.61,130.07,130.59,3560.87516
2020-01-01 10:30:00,130.59,130.82,130.49,130.7,1064.62654
2020-01-01 11:00:00,130.67,131.87,130.6,131.7,5448.50512
2020-01-01 11:30:00,131.7,131.79,130.62,130.74,5399.2852
2020-01-01 12:00:00,130.74,131.35,130.7,131.05,2066.38746
2020-01-01 12:30:00,131.02,131.61,130.96,131.61,2096.91921
2020-01-01 13:00:00,131.6,131.9,131.28,131.46,5298.42557
2020-01-01 13:30:00,131.43,131.88,131.39,131.68,1862.22745
2020-01-01 14:00:00,131.66,132.23,131.24,132.2,4441.27935
2020-01-01 14:30:00,132.2,132.37,131.82,131.96,2883.97827
2020-01-01 15:00:00,131.95,132.2,131.6,131.74,2505.26373
2020-01-01 15:30:00,131.74,132.4,131.67,132.08,2855.80553
2020-01-01 16:00:00,132.08,132.38,131.78,132.06,3288.18655
2020-01-01 16:30:00,132.05,132.95,131.96,132.85,3627.02251
2020-01-01 17:00:00,132.86,133.05,132.39,132.69,3760.96366
2020-01-01 17:30:00,132.69,132.72,132.27,132.34,1663.04366
2020-01-01 18:00:00,132.34,132.46,131.73,131.81,2366.86167
2020-01-01 18:30:00,131.82,132.13,131.57,132.04,3340.93173
2020-01-01 19:00:00,132.04,132.04,131.62,131.8,1341.33849
2020-01-01 19:30:00,131.8,132.16,131.74,131.86,769.87594
2020-01-01 20:00:00,131.86,132.25,131.7,132.17,1216.90395
2020-01-01 20:30:00,132.17,132.24,131.89,132.18,797.8889
2020-01-01 21:00:00,132.17,132.37,132.0,132.06,1039.99861
2020-01-01 21:30:00,132.06,132.2,131.68,131.78,3839.42164
2020-01-01 22:00:00,131.82,131.82,130.3,130.41,9416.64673
2020-01-01 22:30:00,130.36,130.55,129.9,130.27,5459.42076
2020-01-01 23:00:00,130.28,130.56,129.74,130.47,2311.34756
2020-01-01 23:30:00,130.47,130.87,130.17,130.77,1554.11235
2020-01-02 00:00:00,130.72,130.72,130.27,130.37,1183.638
2020-01-02 00:30:00,130.38,130.78,130.35,130.67,2589.0287
2020-01-02 01:00:00,130.66,130.67,130.37,130.45,1852.00861
2020-01-02 01:30:00,130.45,130.5,130.12,130.15,1832.51051
2020-01-02 02:00:00,130.14,130.16,128.89,129.39,11130.63399
2020-01-02 02:30:00,129.39,129.81,129.01,129.72,7947.7881
2020-01-02 03:00:00,129.71,129.71,129.1,129.3,6204.52883
2020-01-02 03:30:00,129.31,129.37,128.77,129.1,5745.65751
2020-01-02 04:00:00,129.09,129.75,128.69,129.55,5796.81783
2020-01-02 04:30:00,129.54,129.87,129.4,129.55,3134.85976
2020-01-02 05:00:00,129.57,129.75,129.32,129.4,3600.36856
2020-01-02 05:30:00,129.4,129.69,129.3,129.63,3676.374
2020-01-02 06:00:00,129.6,129.86,129.48,129.84,2044.92319
2020-01-02 06:30:00,129.86,129.99,129.15,129.42,2778.51086
2020-01-02 07:00:00,129.43,129.67,129.02,129.11,3421.07147
2020-01-02 07:30:00,129.1,129.65,128.96,129.26,3127.28899
2020-01-02 08:00:00,129.23,129.97,129.21,129.7,3463.99174
2020-01-02 08:30:00,129.69,130.27,129.62,130.21,3741.67906
2020-01-02 09:00:00,130.21,130.21,129.57,129.67,2223.10687
2020-01-02 09:30:00,129.67,130.07,129.6,129.98,3605.54482
2020-01-02 10:00:00,129.97,130.28,129.78,130.09,5320.66165
2020-01-02 10:30:00,130.09,130.17,129.66,129.72,2693.68624
2020-01-02 11:00:00,129.73,129.94,129.46,129.58,1998.24922
2020-01-02 11:30:00,129.58,129.74,129.44,129.53,2295.00063
2020-01-02 12:00:00,129.52,129.99,129.52,129.79,2058.23021
