index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.0989,0.0989,0.0989,0.0989,300.0
2019-12-31 16:30:00,0.0989,0.0991,0.0989,0.0991,13534.53
2019-12-31 17:00:00,0.0991,0.0991,0.0991,0.0991,0.0
2019-12-31 17:30:00,0.0983,0.0983,0.0977,0.0977,27676.83
2019-12-31 18:00:00,0.0976,0.0976,0.0976,0.0976,19365.2
2019-12-31 18:30:00,0.0983,0.0985,0.0983,0.0985,808.65
2019-12-31 19:00:00,0.0983,0.0983,0.0983,0.0983,102.75
2019-12-31 19:30:00,0.0983,0.0983,0.0983,0.0983,0.0
2019-12-31 20:00:00,0.0979,0.098,0.0972,0.0972,82258.25
2019-12-31 20:30:00,0.0972,0.0977,0.0963,0.097,85266.41
2019-12-31 21:00:00,0.0961,0.0966,0.0961,0.0965,4884.45
2019-12-31 21:30:00,0.0966,0.0967,0.0966,0.0967,3280.93
2019-12-31 22:00:00,0.0968,0.0968,0.0968,0.0968,36.7
2019-12-31 22:30:00,0.0963,0.0965,0.0961,0.0965,25426.03
2019-12-31 23:00:00,0.0961,0.0961,0.0944,0.0949,64607.92
2019-12-31 23:30:00,0.0948,0.0955,0.0947,0.0955,34470.95
2020-01-01 00:00:00,0.0955,0.0955,0.0955,0.0955,0.0
2020-01-01 00:30:00,0.0948,0.0948,0.0948,0.0948,344.0
2020-01-01 01:00:00,0.0947,0.0947,0.0943,0.0943,9505.25
2020-01-01 01:30:00,0.0946,0.0949,0.0931,0.0947,19373.4
2020-01-01 02:00:00,0.0947,0.0948,0.0942,0.0948,851.62
2020-01-01 02:30:00,0.0948,0.095,0.0942,0.0942,1691.53
2020-01-01 03:00:00,0.0949,0.0949,0.0949,0.0949,131.43
2020-01-01 03:30:00,0.0949,0.095,0.0943,0.0943,19351.27
2020-01-01 04:00:00,0.0953,0.0954,0.0952,0.0954,3032.72
2020-01-01 04:30:00,0.0943,0.0943,0.094,0.094,6739.56
2020-01-01 05:00:00,0.095,0.095,0.094,0.095,11162.72
2020-01-01 05:30:00,0.095,0.095,0.094,0.094,5032.26
2020-01-01 06:00:00,0.094,0.095,0.094,0.095,13414.99
2020-01-01 06:30:00,0.095,0.0952,0.0941,0.0941,54944.29
2020-01-01 07:00:00,0.0945,0.0948,0.0942,0.0948,22467.31
2020-01-01 07:30:00,0.0948,0.0948,0.0939,0.0939,25868.5
2020-01-01 08:00:00,0.0947,0.0948,0.0947,0.0947,451.14
2020-01-01 08:30:00,0.0938,0.0938,0.0938,0.0938,3611.15
2020-01-01 09:00:00,0.0938,0.0938,0.0938,0.0938,0.0
2020-01-01 09:30:00,0.0945,0.0945,0.0945,0.0945,39.3
2020-01-01 10:00:00,0.0942,0.0942,0.0942,0.0942,199.8
2020-01-01 10:30:00,0.0946,0.095,0.0936,0.0948,44003.57
2020-01-01 11:00:00,0.0948,0.0952,0.0948,0.0952,10134.0
2020-01-01 11:30:00,0.0955,0.0966,0.0955,0.0963,66985.2
2020-01-01 12:00:00,0.0967,0.0969,0.0967,0.0969,5730.82
2020-01-01 12:30:00,0.0969,0.097,0.0969,0.097,50042.62
2020-01-01 13:00:00,0.097,0.097,0.0966,0.0966,294.18
2020-01-01 13:30:00,0.0965,0.097,0.0963,0.097,3269.06
2020-01-01 14:00:00,0.0971,0.0977,0.0971,0.0977,17566.97
2020-01-01 14:30:00,0.098,0.0982,0.0972,0.0982,25618.01
2020-01-01 15:00:00,0.0983,0.0992,0.0983,0.0985,18862.37
2020-01-01 15:30:00,0.0992,0.0995,0.0991,0.0995,16278.26
2020-01-01 16:00:00,0.0995,0.0995,0.099,0.099,7260.62
2020-01-01 16:30:00,0.0992,0.0992,0.0991,0.0991,18844.0
2020-01-01 17:00:00,0.0991,0.0991,0.0982,0.0982,50071.13
2020-01-01 17:30:00,0.0982,0.0982,0.0972,0.0975,75878.35
2020-01-01 18:00:00,0.0972,0.0972,0.0972,0.0972,5000.0
2020-01-01 18:30:00,0.097,0.0976,0.0968,0.0968,4276.36
2020-01-01 19:00:00,0.0972,0.0976,0.0972,0.0976,1183.43
2020-01-01 19:30:00,0.0976,0.098,0.0976,0.098,22075.29
2020-01-01 20:00:00,0.098,0.1011,0.098,0.099,95678.43
2020-01-01 20:30:00,0.0988,0.0992,0.0988,0.0992,5241.76
2020-01-01 21:00:00,0.0992,0.0995,0.0992,0.0995,16811.06
2020-01-01 21:30:00,0.0995,0.0997,0.0995,0.0997,8214.66
2020-01-01 22:00:00,0.0997,0.0997,0.099,0.099,6379.75
2020-01-01 22:30:00,0.099,0.099,0.099,0.099,0.0
2020-01-01 23:00:00,0.099,0.099,0.0984,0.0984,9917.65
2020-01-01 23:30:00,0.0989,0.0989,0.0989,0.0989,252.0
2020-01-02 00:00:00,0.0989,0.0989,0.0989,0.0989,0.0
2020-01-02 00:30:00,0.0987,0.0993,0.0981,0.0993,21598.13
2020-01-02 01:00:00,0.0993,0.0993,0.0993,0.0993,33.63
2020-01-02 01:30:00,0.0986,0.0992,0.0974,0.0981,21513.22
2020-01-02 02:00:00,0.0981,0.0981,0.0981,0.0981,5000.0
2020-01-02 02:30:00,0.0979,0.098,0.0975,0.0975,12113.96
2020-01-02 03:00:00,0.0976,0.0982,0.0976,0.0982,15893.24
2020-01-02 03:30:00,0.0977,0.0981,0.0974,0.0981,2808.53
2020-01-02 04:00:00,0.0982,0.0986,0.0982,0.0986,7045.52
2020-01-02 04:30:00,0.0986,0.0986,0.0981,0.0981,951.96
2020-01-02 05:00:00,0.0986,0.0986,0.0974,0.0974,7281.67
2020-01-02 05:30:00,0.0978,0.0985,0.0978,0.0984,22857.98
2020-01-02 06:00:00,0.0986,0.0987,0.0982,0.0982,71857.33
2020-01-02 06:30:00,0.0978,0.0978,0.0974,0.0974,14927.45
2020-01-02 07:00:00,0.0973,0.0973,0.0967,0.0967,68307.81
2020-01-02 07:30:00,0.0966,0.0966,0.0955,0.0959,40316.08
2020-01-02 08:00:00,0.0958,0.0966,0.0958,0.0958,14789.28
2020-01-02 08:30:00,0.0965,0.0969,0.0965,0.0969,10119.09
2020-01-02 09:00:00,0.0969,0.0972,0.0969,0.0972,12294.68
2020-01-02 09:30:00,0.0973,0.0976,0.0973,0.0976,7793.95
2020-01-02 10:00:00,0.0976,0.0977,0.0976,0.0977,3577.53
2020-01-02 10:30:00,0.0977,0.1005,0.0977,0.1005,170048.01
2020-01-02 11:00:00,0.1002,0.1035,0.1,0.1004,420122.08
2020-01-02 11:30:00,0.1011,0.1035,0.0998,0.101,597372.62
2020-01-02 12:00:00,0.1008,0.1034,0.1008,0.1024,74000.55
2020-01-02 12:30:00,0.1029,0.1029,0.1001,0.1006,123912.64
2020-01-02 13:00:00,0.1006,0.1012,0.1003,0.1011,36160.05
2020-01-02 13:30:00,0.1011,0.1013,0.0986,0.0994,85707.0
2020-01-02 14:00:00,0.1,0.1,0.0994,0.0994,4489.92
2020-01-02 14:30:00,0.0997,0.1007,0.0991,0.1007,54412.38
2020-01-02 15:00:00,0.101,0.101,0.0999,0.1006,14719.25
2020-01-02 15:30:00,0.1003,0.1003,0.1003,0.1003,5632.19
2020-01-02 16:00:00,0.1003,0.1003,0.0996,0.0996,16557.82
2020-01-02 16:30:00,0.0993,0.0999,0.0972,0.0984,61621.85
2020-01-02 17:00:00,0.0978,0.0982,0.0928,0.0936,354746.47
2020-01-02 17:30:00,0.0928,0.0934,0.0917,0.0928,128117.56
2020-01-02 18:00:00,0.0927,0.0933,0.0927,0.0932,28270.54
2020-01-02 18:30:00,0.0932,0.0932,0.0928,0.0932,13536.92
2020-01-02 19:00:00,0.0932,0.0932,0.0925,0.0925,9646.45
2020-01-02 19:30:00,0.0928,0.0936,0.0926,0.0932,23019.53
2020-01-02 20:00:00,0.0927,0.0927,0.0926,0.0926,10823.74
2020-01-02 20:30:00,0.0924,0.0931,0.0923,0.0931,10249.71
2020-01-02 21:00:00,0.0922,0.0929,0.092,0.092,20625.93
2020-01-02 21:30:00,0.0918,0.0918,0.0892,0.0898,297158.7
2020-01-02 22:00:00,0.0899,0.0901,0.0893,0.0895,121565.42
2020-01-02 22:30:00,0.0895,0.0903,0.0895,0.0902,43376.6
2020-01-02 23:00:00,0.0902,0.0903,0.0898,0.0898,5985.67
2020-01-02 23:30:00,0.0903,0.0903,0.0897,0.0897,1516.85
2020-01-03 00:00:00,0.0895,0.0899,0.0895,0.0895,37213.7
2020-01-03 00:30:00,0.0902,0.0902,0.0888,0.0896,20001.44
2020-01-03 01:00:00,0.0888,0.0888,0.0869,0.0887,108940.35
2020-01-03 01:30:00,0.0888,0.0888,0.0876,0.0876,11578.34
2020-01-03 02:00:00,0.0879,0.0885,0.0879,0.0881,2850.45
2020-01-03 02:30:00,0.0886,0.089,0.0886,0.089,6288.6
2020-01-03 03:00:00,0.089,0.0903,0.0881,0.0893,223465.18
2020-01-03 03:30:00,0.0893,0.0902,0.089,0.0902,69371.24
2020-01-03 04:00:00,0.09,0.0907,0.0899,0.0899,28861.11
2020-01-03 04:30:00,0.0906,0.0927,0.09,0.0927,107563.98
2020-01-03 05:00:00,0.0926,0.0926,0.0924,0.0924,2233.35
2020-01-03 05:30:00,0.092,0.0929,0.092,0.0929,19761.92
2020-01-03 06:00:00,0.0929,0.0952,0.0929,0.0944,365535.69
2020-01-03 06:30:00,0.0942,0.0948,0.0935,0.0948,70326.3
2020-01-03 07:00:00,0.0946,0.0955,0.094,0.0955,72711.97
2020-01-03 07:30:00,0.0954,0.096,0.0948,0.096,72072.27
2020-01-03 08:00:00,0.0959,0.0963,0.095,0.095,24947.35
2020-01-03 08:30:00,0.0956,0.0956,0.0946,0.0951,25542.65
2020-01-03 09:00:00,0.0951,0.0951,0.0944,0.095,10900.74
2020-01-03 09:30:00,0.0945,0.0948,0.0944,0.0948,2128.05
