index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,27.82,27.96,27.79,27.9,570.28198
2019-12-31 16:30:00,27.9,27.96,27.84,27.93,1333.89033
2019-12-31 17:00:00,27.93,27.93,27.85,27.85,104.23715
2019-12-31 17:30:00,27.86,27.86,27.66,27.71,313.29624
2019-12-31 18:00:00,27.71,27.73,27.62,27.72,307.79816
2019-12-31 18:30:00,27.71,27.72,27.66,27.7,308.82433
2019-12-31 19:00:00,27.69,27.69,27.62,27.68,155.80424
2019-12-31 19:30:00,27.68,27.71,27.64,27.66,244.33486
2019-12-31 20:00:00,27.66,27.66,27.57,27.6,491.73323
2019-12-31 20:30:00,27.6,27.62,27.48,27.61,1161.57742
2019-12-31 21:00:00,27.6,27.65,27.57,27.62,78.79536
2019-12-31 21:30:00,27.63,27.66,27.6,27.64,299.43498
2019-12-31 22:00:00,27.62,27.64,27.57,27.61,127.30804
2019-12-31 22:30:00,27.61,27.61,27.58,27.6,121.39941
2019-12-31 23:00:00,27.6,27.6,27.51,27.53,567.52459
2019-12-31 23:30:00,27.53,27.57,27.47,27.54,810.06266
2020-01-01 00:00:00,27.52,27.52,27.39,27.4,487.88267
2020-01-01 00:30:00,27.4,27.44,27.39,27.43,176.00899
2020-01-01 01:00:00,27.41,27.53,27.37,27.52,294.88352
2020-01-01 01:30:00,27.52,27.71,27.49,27.67,2116.85566
2020-01-01 02:00:00,27.68,27.79,27.64,27.78,922.46533
2020-01-01 02:30:00,27.79,27.81,27.66,27.71,875.33849
2020-01-01 03:00:00,27.71,27.71,27.56,27.7,797.82055
2020-01-01 03:30:00,27.7,27.71,27.58,27.66,366.88382
2020-01-01 04:00:00,27.66,27.66,27.63,27.64,22.25625
2020-01-01 04:30:00,27.62,27.67,27.62,27.63,58.29052
2020-01-01 05:00:00,27.63,27.65,27.62,27.63,24.3093
2020-01-01 05:30:00,27.63,27.67,27.62,27.67,42.01219
2020-01-01 06:00:00,27.66,27.78,27.66,27.74,198.25454
2020-01-01 06:30:00,27.74,27.76,27.64,27.66,95.4038
2020-01-01 07:00:00,27.67,27.79,27.62,27.79,574.67046
2020-01-01 07:30:00,27.78,27.89,27.75,27.81,881.75366
2020-01-01 08:00:00,27.8,27.82,27.72,27.75,64.59215
2020-01-01 08:30:00,27.75,27.86,27.69,27.86,547.97866
2020-01-01 09:00:00,27.85,27.88,27.77,27.77,166.86121
2020-01-01 09:30:00,27.77,27.79,27.75,27.75,86.08824
2020-01-01 10:00:00,27.74,27.85,27.74,27.81,143.1216
2020-01-01 10:30:00,27.8,27.83,27.78,27.78,40.67739
2020-01-01 11:00:00,27.8,27.99,27.79,27.87,703.96811
2020-01-01 11:30:00,27.88,27.89,27.82,27.82,488.69831
2020-01-01 12:00:00,27.84,27.88,27.76,27.84,101.59665
2020-01-01 12:30:00,27.85,27.96,27.85,27.94,125.2656
2020-01-01 13:00:00,27.94,27.97,27.87,27.92,278.52793
2020-01-01 13:30:00,27.92,27.98,27.92,27.97,88.39459
2020-01-01 14:00:00,27.97,27.97,27.89,27.93,478.71735
2020-01-01 14:30:00,27.94,27.99,27.83,27.86,449.68986
2020-01-01 15:00:00,27.86,27.88,27.79,27.83,386.05581
2020-01-01 15:30:00,27.83,27.92,27.82,27.91,242.14573
2020-01-01 16:00:00,27.9,27.91,27.86,27.88,97.21326
2020-01-01 16:30:00,27.89,28.03,27.88,28.03,1542.1958
2020-01-01 17:00:00,28.04,28.15,28.02,28.13,189.74924
2020-01-01 17:30:00,28.12,28.2,28.11,28.14,366.65898
2020-01-01 18:00:00,28.14,28.3,28.14,28.23,1614.2947
2020-01-01 18:30:00,28.23,28.29,28.17,28.26,787.89834
2020-01-01 19:00:00,28.25,28.35,28.2,28.25,731.8458
2020-01-01 19:30:00,28.26,28.3,28.26,28.27,128.71287
2020-01-01 20:00:00,28.27,28.3,28.26,28.28,27.80929
