index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,1.0032,1.0039,1.0028,1.0032,74209.44
2019-12-31 17:00:00,1.0032,1.0042,1.0027,1.0036,92892.18
2019-12-31 18:00:00,1.0036,1.0042,1.0031,1.0039,26004.75
2019-12-31 19:00:00,1.0038,1.0044,1.0036,1.0037,38102.59
2019-12-31 20:00:00,1.0036,1.004,1.0033,1.0038,26205.84
2019-12-31 21:00:00,1.0036,1.0042,1.0036,1.0038,19120.72
2019-12-31 22:00:00,1.0041,1.0044,1.0037,1.0037,11896.06
2019-12-31 23:00:00,1.0038,1.0042,1.0032,1.0033,51300.15
2020-01-01 00:00:00,1.0032,1.0038,1.0032,1.0037,13478.12
2020-01-01 01:00:00,1.0037,1.0039,1.003,1.0033,25228.52
2020-01-01 02:00:00,1.0033,1.0036,1.0029,1.0033,13862.28
2020-01-01 03:00:00,1.003,1.0036,1.0029,1.0032,22447.69
2020-01-01 04:00:00,1.0034,1.0036,1.0031,1.0036,11186.06
2020-01-01 05:00:00,1.0036,1.0036,1.0034,1.0036,31877.19
2020-01-01 06:00:00,1.0034,1.0036,1.0034,1.0034,19892.5
2020-01-01 07:00:00,1.0035,1.0036,1.0029,1.0033,25563.29
2020-01-01 08:00:00,1.0033,1.0036,1.0031,1.0035,15456.07
2020-01-01 09:00:00,1.0033,1.0036,1.0031,1.0034,15710.67
2020-01-01 10:00:00,1.0034,1.0036,1.003,1.0036,19710.49
2020-01-01 11:00:00,1.0033,1.0036,1.0029,1.0034,35056.39
2020-01-01 12:00:00,1.0035,1.0036,1.003,1.0033,23777.49
2020-01-01 13:00:00,1.0033,1.0033,1.0026,1.0032,22389.87
2020-01-01 14:00:00,1.0032,1.0034,1.0028,1.0032,11925.87
2020-01-01 15:00:00,1.0033,1.0034,1.0023,1.003,28435.75
2020-01-01 16:00:00,1.003,1.0031,1.0021,1.0031,25724.96
2020-01-01 17:00:00,1.0031,1.0032,1.0024,1.0026,25776.1
2020-01-01 18:00:00,1.0027,1.0029,1.0025,1.0027,51415.75
2020-01-01 19:00:00,1.0027,1.003,1.0025,1.0028,24421.62
2020-01-01 20:00:00,1.0028,1.003,1.0026,1.0029,27610.02
2020-01-01 21:00:00,1.003,1.0031,1.0025,1.0026,45656.44
2020-01-01 22:00:00,1.0026,1.0035,1.0026,1.0028,41710.58
2020-01-01 23:00:00,1.003,1.0034,1.0028,1.0033,20100.35
2020-01-02 00:00:00,1.0032,1.0036,1.0029,1.0034,13757.23
2020-01-02 01:00:00,1.0032,1.0036,1.003,1.0036,15631.84
2020-01-02 02:00:00,1.0033,1.0037,1.0032,1.0035,65591.68
2020-01-02 03:00:00,1.0034,1.0038,1.003,1.0038,91074.3
2020-01-02 04:00:00,1.0038,1.004,1.0035,1.0038,95844.06
2020-01-02 05:00:00,1.0039,1.0041,1.0037,1.0041,22912.89
2020-01-02 06:00:00,1.0038,1.0041,1.0036,1.0039,10970.34
2020-01-02 07:00:00,1.0041,1.0045,1.0038,1.0038,65680.76
2020-01-02 08:00:00,1.0041,1.0044,1.0035,1.0042,51743.88
2020-01-02 09:00:00,1.0038,1.0043,1.0036,1.0039,26011.39
2020-01-02 10:00:00,1.0038,1.0042,1.0032,1.0033,76005.24
2020-01-02 11:00:00,1.0033,1.0039,1.0033,1.0037,25063.23
2020-01-02 12:00:00,1.0036,1.0039,1.0032,1.0036,24372.17
2020-01-02 13:00:00,1.0036,1.0038,1.0027,1.0031,115207.88
2020-01-02 14:00:00,1.0031,1.0036,1.003,1.003,75691.7
2020-01-02 15:00:00,1.0032,1.0033,1.003,1.0031,61779.45
2020-01-02 16:00:00,1.0031,1.0039,1.0023,1.0034,218863.48
2020-01-02 17:00:00,1.0035,1.0044,1.0028,1.0031,367402.53
2020-01-02 18:00:00,1.0031,1.0034,1.0025,1.0031,83480.82
2020-01-02 19:00:00,1.003,1.0035,1.0023,1.0024,89043.03
2020-01-02 20:00:00,1.0024,1.0034,1.0024,1.0028,99074.32
2020-01-02 21:00:00,1.0028,1.0032,1.0025,1.0027,33621.18
2020-01-02 22:00:00,1.0027,1.0029,1.0023,1.0027,13676.63
2020-01-02 23:00:00,1.0027,1.0029,1.0024,1.0028,53317.87
2020-01-03 00:00:00,1.0027,1.0028,1.0023,1.0026,58310.3
2020-01-03 01:00:00,1.0027,1.003,1.0021,1.003,76271.0
2020-01-03 02:00:00,1.0028,1.0032,1.0026,1.0028,100656.75
2020-01-03 03:00:00,1.0029,1.003,1.0027,1.0028,53300.94
2020-01-03 04:00:00,1.0028,1.0035,1.0015,1.0019,375253.7
2020-01-03 05:00:00,1.002,1.0027,1.0017,1.0026,85323.52
2020-01-03 06:00:00,1.0026,1.0026,1.0017,1.0019,106474.27
2020-01-03 07:00:00,1.002,1.0022,1.0015,1.0021,109980.69
2020-01-03 08:00:00,1.0022,1.0024,1.0015,1.0015,184984.18
2020-01-03 09:00:00,1.0017,1.002,1.001,1.0016,176397.16
2020-01-03 10:00:00,1.0017,1.0021,1.0015,1.0018,272019.37
2020-01-03 11:00:00,1.0019,1.002,1.0015,1.0016,45795.18
2020-01-03 12:00:00,1.0016,1.0018,1.0013,1.0016,102486.02
2020-01-03 13:00:00,1.0016,1.0016,1.001,1.0013,140899.37
2020-01-03 14:00:00,1.0014,1.0019,1.0011,1.0013,321174.21
2020-01-03 15:00:00,1.0013,1.0021,1.001,1.0012,196453.09
2020-01-03 16:00:00,1.0012,1.0014,1.0004,1.0012,205940.57
