index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,4.5735,4.6063,4.5655,4.5846,82407.68
2019-12-31 17:00:00,4.5845,4.5845,4.4746,4.5128,321817.9
2019-12-31 18:00:00,4.509,4.5314,4.4698,4.4871,118861.09
2019-12-31 19:00:00,4.4849,4.4969,4.4557,4.4692,77116.73
2019-12-31 20:00:00,4.4645,4.482,4.4328,4.4452,98789.84
2019-12-31 21:00:00,4.4398,4.4737,4.4385,4.4672,55318.96
2019-12-31 22:00:00,4.4672,4.5078,4.4639,4.5058,62063.55
2019-12-31 23:00:00,4.5093,4.5184,4.482,4.4945,54382.58
2020-01-01 00:00:00,4.4945,4.4961,4.4723,4.4911,12598.36
2020-01-01 01:00:00,4.4954,4.5599,4.4954,4.5329,40235.17
2020-01-01 02:00:00,4.5317,4.5742,4.5315,4.5618,29438.28
2020-01-01 03:00:00,4.5594,4.5622,4.5215,4.5249,28875.69
2020-01-01 04:00:00,4.5248,4.5406,4.5099,4.5307,29816.63
2020-01-01 05:00:00,4.5307,4.5414,4.523,4.5283,7224.96
2020-01-01 06:00:00,4.5264,4.5416,4.5188,4.5335,8811.13
2020-01-01 07:00:00,4.5336,4.5388,4.5086,4.5206,12491.24
2020-01-01 08:00:00,4.5152,4.5163,4.4891,4.5163,19296.3
2020-01-01 09:00:00,4.5104,4.5242,4.5063,4.5142,23792.71
2020-01-01 10:00:00,4.5179,4.5693,4.5154,4.5297,49595.03
2020-01-01 11:00:00,4.5286,4.5606,4.518,4.5275,53966.46
2020-01-01 12:00:00,4.5322,4.5427,4.5235,4.5397,39288.06
2020-01-01 13:00:00,4.5413,4.5444,4.5304,4.542,8292.41
2020-01-01 14:00:00,4.542,4.553,4.5336,4.5454,21738.11
2020-01-01 15:00:00,4.541,4.546,4.5224,4.5296,31218.13
2020-01-01 16:00:00,4.5298,4.5376,4.5136,4.5279,21355.53
2020-01-01 17:00:00,4.5351,4.5411,4.5233,4.5322,8158.9
2020-01-01 18:00:00,4.5351,4.5427,4.525,4.5405,15226.8
2020-01-01 19:00:00,4.536,4.536,4.5226,4.5257,5563.72
2020-01-01 20:00:00,4.5257,4.5336,4.5229,4.5289,4577.7
2020-01-01 21:00:00,4.5289,4.5356,4.524,4.5273,15086.4
2020-01-01 22:00:00,4.5269,4.5308,4.5031,4.5092,16358.67
2020-01-01 23:00:00,4.5093,4.5111,4.4893,4.5035,23595.96
2020-01-02 00:00:00,4.507,4.5123,4.4983,4.5066,6582.36
2020-01-02 01:00:00,4.5066,4.5066,4.4444,4.4552,82195.13
2020-01-02 02:00:00,4.4552,4.4675,4.3753,4.4246,275464.66
2020-01-02 03:00:00,4.4266,4.4284,4.3831,4.4004,112919.47
2020-01-02 04:00:00,4.399,4.4443,4.39,4.4223,97624.12
2020-01-02 05:00:00,4.4211,4.4286,4.4013,4.4125,25797.01
2020-01-02 06:00:00,4.4128,4.4179,4.4026,4.4145,13636.69
2020-01-02 07:00:00,4.4106,4.4163,4.4,4.4032,36117.01
2020-01-02 08:00:00,4.4051,4.4422,4.3941,4.436,37587.22
2020-01-02 09:00:00,4.4332,4.4447,4.4214,4.4336,35718.87
2020-01-02 10:00:00,4.431,4.4585,4.4225,4.4284,59980.36
2020-01-02 11:00:00,4.4307,4.4354,4.4094,4.417,30859.02
2020-01-02 12:00:00,4.414,4.431,4.409,4.4112,22654.75
2020-01-02 13:00:00,4.4106,4.4232,4.3693,4.388,56644.82
2020-01-02 14:00:00,4.3907,4.4346,4.371,4.405,62942.14
2020-01-02 15:00:00,4.4068,4.4241,4.3773,4.3872,26587.27
2020-01-02 16:00:00,4.3856,4.397,4.2654,4.2949,302816.81
2020-01-02 17:00:00,4.2916,4.2916,4.229,4.284,196249.98
2020-01-02 18:00:00,4.2801,4.282,4.2575,4.2722,15680.36
2020-01-02 19:00:00,4.2722,4.2746,4.2419,4.2488,40537.95
2020-01-02 20:00:00,4.2445,4.2458,4.168,4.2121,187330.83
2020-01-02 21:00:00,4.2121,4.2605,4.2084,4.2605,32157.42
2020-01-02 22:00:00,4.26,4.2704,4.2383,4.26,34747.74
2020-01-02 23:00:00,4.26,4.262,4.2283,4.2283,45351.27
2020-01-03 00:00:00,4.2329,4.2334,4.1828,4.2213,188603.27
2020-01-03 01:00:00,4.2223,4.2287,4.1837,4.19,46545.44
2020-01-03 02:00:00,4.1908,4.2565,4.1791,4.2479,66644.29
2020-01-03 03:00:00,4.2526,4.286,4.2378,4.2539,66177.14
2020-01-03 04:00:00,4.2555,4.379,4.2485,4.3662,295980.1
2020-01-03 05:00:00,4.3664,4.4131,4.3369,4.3679,160752.23
2020-01-03 06:00:00,4.3671,4.4049,4.3449,4.3916,74976.74
2020-01-03 07:00:00,4.3915,4.4172,4.37,4.3827,52441.33
2020-01-03 08:00:00,4.3793,4.4782,4.3545,4.4409,143555.37
2020-01-03 09:00:00,4.4409,4.4774,4.4238,4.4575,166004.56
