index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.6579,0.6619,0.656,0.658,6436.6
2019-12-31 17:00:00,0.658,0.6595,0.6498,0.653,13109.96
2019-12-31 18:00:00,0.6516,0.6547,0.6476,0.6545,12593.05
2019-12-31 19:00:00,0.65,0.6545,0.648,0.6533,3553.09
2019-12-31 20:00:00,0.6533,0.6535,0.645,0.6519,13681.02
2019-12-31 21:00:00,0.6489,0.655,0.6464,0.6543,9872.84
2019-12-31 22:00:00,0.6549,0.655,0.6511,0.6511,2870.82
2019-12-31 23:00:00,0.6569,0.6569,0.653,0.6536,1463.21
2020-01-01 00:00:00,0.6508,0.6547,0.6465,0.6528,3213.33
2020-01-01 01:00:00,0.6536,0.6604,0.6519,0.6559,5953.42
2020-01-01 02:00:00,0.66,0.6631,0.66,0.6631,1881.68
2020-01-01 03:00:00,0.659,0.6684,0.6582,0.6671,15893.6
2020-01-01 04:00:00,0.6671,0.6684,0.6632,0.6632,1115.83
2020-01-01 05:00:00,0.6591,0.6656,0.6591,0.6615,3112.46
2020-01-01 06:00:00,0.6619,0.6652,0.6607,0.6652,1046.86
2020-01-01 07:00:00,0.6587,0.6588,0.6586,0.6586,316.87
2020-01-01 08:00:00,0.663,0.663,0.6522,0.6522,9549.87
2020-01-01 09:00:00,0.6547,0.6547,0.6505,0.6534,903.43
2020-01-01 10:00:00,0.6542,0.6562,0.6507,0.6507,2113.93
2020-01-01 11:00:00,0.6558,0.6631,0.6555,0.6555,12194.25
2020-01-01 12:00:00,0.6589,0.6591,0.6538,0.6591,387.31
2020-01-01 13:00:00,0.659,0.659,0.6555,0.6556,326.5
2020-01-01 14:00:00,0.661,0.661,0.6561,0.6605,335.77
2020-01-01 15:00:00,0.6601,0.6615,0.6563,0.6564,344.31
2020-01-01 16:00:00,0.6567,0.6572,0.655,0.6572,1244.44
2020-01-01 17:00:00,0.6563,0.6573,0.6526,0.6534,3855.37
2020-01-01 18:00:00,0.6534,0.6716,0.6521,0.6521,14805.02
2020-01-01 19:00:00,0.6546,0.6556,0.6514,0.6556,312.11
2020-01-01 20:00:00,0.6553,0.6556,0.6553,0.6556,374.28
2020-01-01 21:00:00,0.6538,0.6644,0.6538,0.6641,3825.69
2020-01-01 22:00:00,0.6597,0.68,0.6578,0.6705,27162.78
2020-01-01 23:00:00,0.67,0.6747,0.6678,0.6728,1031.02
2020-01-02 00:00:00,0.6727,0.6757,0.6726,0.6726,650.83
2020-01-02 01:00:00,0.6718,0.6757,0.6694,0.67,2040.67
2020-01-02 02:00:00,0.669,0.6732,0.6664,0.6679,2600.19
2020-01-02 03:00:00,0.6666,0.6679,0.6591,0.6591,5533.46
2020-01-02 04:00:00,0.6601,0.6646,0.6569,0.6615,5444.84
2020-01-02 05:00:00,0.6606,0.6659,0.6602,0.6659,1325.8
2020-01-02 06:00:00,0.662,0.6659,0.6599,0.6634,2459.1
2020-01-02 07:00:00,0.6605,0.6625,0.6581,0.662,935.1
2020-01-02 08:00:00,0.6577,0.6651,0.6544,0.6644,1020.97
2020-01-02 09:00:00,0.6644,0.6685,0.6621,0.6681,4313.26
2020-01-02 10:00:00,0.6685,0.6685,0.6604,0.661,1451.26
2020-01-02 11:00:00,0.6622,0.6658,0.6609,0.6631,2009.55
2020-01-02 12:00:00,0.6607,0.6631,0.66,0.6631,878.45
2020-01-02 13:00:00,0.6631,0.6664,0.6582,0.6609,2994.79
2020-01-02 14:00:00,0.6609,0.6625,0.6577,0.6579,883.7
2020-01-02 15:00:00,0.6566,0.6611,0.6561,0.6611,1544.55
2020-01-02 16:00:00,0.661,0.661,0.6428,0.6428,10189.3
2020-01-02 17:00:00,0.6441,0.6441,0.6276,0.6322,54034.5
2020-01-02 18:00:00,0.6339,0.6372,0.6307,0.6372,2162.11
2020-01-02 19:00:00,0.6365,0.644,0.6365,0.6398,1977.13
2020-01-02 20:00:00,0.6369,0.6392,0.6307,0.6307,1011.27
2020-01-02 21:00:00,0.6307,0.634,0.6297,0.634,2415.0
2020-01-02 22:00:00,0.6312,0.6343,0.6261,0.6261,7060.73
2020-01-02 23:00:00,0.6292,0.6292,0.6228,0.6268,3180.59
2020-01-03 00:00:00,0.6241,0.626,0.6221,0.6225,6631.63
2020-01-03 01:00:00,0.6225,0.6262,0.6214,0.6249,2243.57
2020-01-03 02:00:00,0.6214,0.6302,0.6214,0.6259,4827.4
2020-01-03 03:00:00,0.6285,0.6302,0.6285,0.63,1099.08
2020-01-03 04:00:00,0.6307,0.6527,0.6299,0.6468,12615.59
2020-01-03 05:00:00,0.651,0.6521,0.6416,0.6436,2539.26
2020-01-03 06:00:00,0.6425,0.6477,0.6414,0.6457,6837.58
2020-01-03 07:00:00,0.6419,0.6468,0.6418,0.643,712.79
2020-01-03 08:00:00,0.6468,0.6544,0.6468,0.6487,1608.78
2020-01-03 09:00:00,0.6505,0.6554,0.6484,0.6549,1851.58
2020-01-03 10:00:00,0.6549,0.655,0.6482,0.65,2916.11
2020-01-03 11:00:00,0.6497,0.6552,0.6493,0.6493,1638.86
2020-01-03 12:00:00,0.6513,0.6556,0.6509,0.6556,2961.34
2020-01-03 13:00:00,0.6523,0.66,0.6501,0.6577,8934.97
2020-01-03 14:00:00,0.6577,0.6614,0.6482,0.6566,15046.83
2020-01-03 15:00:00,0.6557,0.6599,0.6533,0.6599,1130.58
2020-01-03 16:00:00,0.6599,0.6651,0.6566,0.6634,12955.9
2020-01-03 17:00:00,0.6597,0.6671,0.6566,0.6625,3224.6
2020-01-03 18:00:00,0.6625,0.6645,0.66,0.6604,2467.23
2020-01-03 19:00:00,0.6589,0.6608,0.6531,0.6607,3313.52
2020-01-03 20:00:00,0.6608,0.663,0.6577,0.6577,2852.61
2020-01-03 21:00:00,0.6558,0.6619,0.653,0.653,4347.96
2020-01-03 22:00:00,0.6523,0.6578,0.6523,0.6574,1046.49
2020-01-03 23:00:00,0.6582,0.6629,0.6544,0.6617,7014.29
2020-01-04 00:00:00,0.6629,0.6632,0.6584,0.6632,2211.47
2020-01-04 01:00:00,0.6632,0.6632,0.6598,0.6598,900.78
2020-01-04 02:00:00,0.6584,0.6625,0.6568,0.6625,1659.79
2020-01-04 03:00:00,0.6625,0.6625,0.6584,0.6585,968.21
2020-01-04 04:00:00,0.6564,0.6576,0.6542,0.6572,8065.37
2020-01-04 05:00:00,0.6551,0.6585,0.6551,0.6562,934.84
2020-01-04 06:00:00,0.6562,0.6562,0.6562,0.6562,0.0
2020-01-04 07:00:00,0.6585,0.659,0.6505,0.6545,4308.18
2020-01-04 08:00:00,0.6531,0.6557,0.653,0.6531,2422.14
2020-01-04 09:00:00,0.6514,0.6514,0.6514,0.6514,16.84
2020-01-04 10:00:00,0.654,0.6554,0.65,0.652,3402.53
2020-01-04 11:00:00,0.6514,0.6531,0.6514,0.6531,248.81
2020-01-04 12:00:00,0.6515,0.6539,0.6492,0.65,553.83
2020-01-04 13:00:00,0.65,0.6518,0.6458,0.647,3116.89
2020-01-04 14:00:00,0.6471,0.6533,0.6471,0.6533,1916.6
2020-01-04 15:00:00,0.6512,0.658,0.6502,0.658,2595.55
2020-01-04 16:00:00,0.6544,0.6582,0.6531,0.6553,1403.22
2020-01-04 17:00:00,0.6553,0.6553,0.6495,0.6547,981.06
2020-01-04 18:00:00,0.6517,0.6577,0.6473,0.6526,2668.15
2020-01-04 19:00:00,0.6479,0.6576,0.6472,0.6541,5045.84
2020-01-04 20:00:00,0.6559,0.6559,0.6511,0.6511,7447.73
2020-01-04 21:00:00,0.6555,0.6559,0.651,0.6513,766.71
2020-01-04 22:00:00,0.6548,0.6558,0.6515,0.6515,2204.1
2020-01-04 23:00:00,0.6536,0.656,0.6515,0.656,2152.47
2020-01-05 00:00:00,0.6577,0.6598,0.6536,0.6544,5117.67
2020-01-05 01:00:00,0.6545,0.6604,0.6545,0.6581,8290.06
2020-01-05 02:00:00,0.658,0.6614,0.6557,0.6557,5963.63
2020-01-05 03:00:00,0.6557,0.6612,0.6555,0.6603,1076.22
2020-01-05 04:00:00,0.6585,0.6625,0.657,0.6619,3852.63
2020-01-05 05:00:00,0.6619,0.6776,0.6619,0.6731,9324.04
2020-01-05 06:00:00,0.6731,0.676,0.6654,0.6716,8315.41
2020-01-05 07:00:00,0.6662,0.6743,0.6662,0.6691,4912.57
2020-01-05 08:00:00,0.6733,0.6734,0.6666,0.6689,8046.04
2020-01-05 09:00:00,0.6689,0.6728,0.6663,0.6728,9743.46
2020-01-05 10:00:00,0.6728,0.6754,0.672,0.6729,1509.37
2020-01-05 11:00:00,0.6754,0.6754,0.6673,0.6692,6374.47
2020-01-05 12:00:00,0.669,0.6719,0.6674,0.6674,5827.65
2020-01-05 13:00:00,0.6675,0.6675,0.6663,0.6675,3845.95
2020-01-05 14:00:00,0.6663,0.6692,0.6663,0.6692,744.44
