index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.5226,0.5257,0.5219,0.5248,44435.24
2019-12-31 17:00:00,0.5249,0.5254,0.5192,0.5205,74812.65
2019-12-31 18:00:00,0.5205,0.5211,0.5194,0.5202,29571.68
2019-12-31 19:00:00,0.5202,0.5204,0.519,0.5195,28844.65
2019-12-31 20:00:00,0.5195,0.5195,0.5169,0.5169,57698.73
2019-12-31 21:00:00,0.5169,0.5183,0.5169,0.5176,29184.38
2019-12-31 22:00:00,0.5175,0.5184,0.5172,0.5182,19634.0
2019-12-31 23:00:00,0.5183,0.5201,0.518,0.5185,7604.22
2020-01-01 00:00:00,0.5191,0.5191,0.517,0.517,14495.32
2020-01-01 01:00:00,0.5173,0.5243,0.517,0.5227,26425.64
2020-01-01 02:00:00,0.5232,0.5245,0.52,0.5214,181837.03
2020-01-01 03:00:00,0.5213,0.5213,0.5188,0.5194,70157.77
2020-01-01 04:00:00,0.5192,0.5208,0.5175,0.5199,41816.95
2020-01-01 05:00:00,0.52,0.5224,0.5198,0.5202,34176.84
2020-01-01 06:00:00,0.5202,0.5214,0.5201,0.5211,7168.14
2020-01-01 07:00:00,0.5214,0.522,0.5197,0.5197,11502.87
2020-01-01 08:00:00,0.52,0.52,0.517,0.5183,7784.5
2020-01-01 09:00:00,0.5185,0.5205,0.5185,0.5198,4767.58
2020-01-01 10:00:00,0.5198,0.5215,0.5195,0.5208,20956.38
2020-01-01 11:00:00,0.5204,0.5238,0.5189,0.5218,101984.03
2020-01-01 12:00:00,0.5216,0.5238,0.5208,0.5237,21549.42
2020-01-01 13:00:00,0.5227,0.5295,0.5227,0.5285,172780.09
2020-01-01 14:00:00,0.528,0.5315,0.5279,0.5305,66414.53
2020-01-01 15:00:00,0.5301,0.5305,0.5267,0.5277,69121.74
2020-01-01 16:00:00,0.5289,0.5359,0.5277,0.5359,86003.21
2020-01-01 17:00:00,0.5359,0.54,0.5325,0.5394,107055.37
2020-01-01 18:00:00,0.5393,0.5413,0.536,0.5392,104959.95
2020-01-01 19:00:00,0.5391,0.5391,0.5356,0.5377,19959.84
2020-01-01 20:00:00,0.5385,0.5388,0.5355,0.5372,36217.4
2020-01-01 21:00:00,0.5367,0.5367,0.5341,0.5353,13379.82
2020-01-01 22:00:00,0.5347,0.5347,0.528,0.5303,51977.0
2020-01-01 23:00:00,0.5303,0.5303,0.526,0.5275,105493.94
2020-01-02 00:00:00,0.5267,0.5275,0.5259,0.5271,20540.0
2020-01-02 01:00:00,0.5275,0.5276,0.523,0.5247,39140.44
2020-01-02 02:00:00,0.5241,0.5241,0.5204,0.5218,100600.58
2020-01-02 03:00:00,0.522,0.5224,0.518,0.518,121787.12
2020-01-02 04:00:00,0.5182,0.5202,0.517,0.5199,72240.56
2020-01-02 05:00:00,0.5193,0.5197,0.5185,0.5197,6403.23
2020-01-02 06:00:00,0.5196,0.5198,0.5145,0.5162,228784.43
2020-01-02 07:00:00,0.5162,0.5169,0.5152,0.5154,62645.84
2020-01-02 08:00:00,0.5154,0.5203,0.5154,0.52,48888.97
2020-01-02 09:00:00,0.52,0.5202,0.5173,0.5184,25771.96
2020-01-02 10:00:00,0.5187,0.5205,0.5179,0.5201,99391.59
2020-01-02 11:00:00,0.5201,0.5205,0.5185,0.5191,35639.98
2020-01-02 12:00:00,0.519,0.5202,0.5187,0.5195,20768.13
2020-01-02 13:00:00,0.5196,0.5203,0.5157,0.5182,73740.95
2020-01-02 14:00:00,0.5177,0.5192,0.5176,0.5184,12303.17
2020-01-02 15:00:00,0.5184,0.5184,0.5149,0.5153,17875.65
2020-01-02 16:00:00,0.5153,0.5169,0.5061,0.5074,412645.72
2020-01-02 17:00:00,0.5071,0.5071,0.4969,0.5021,357521.66
2020-01-02 18:00:00,0.502,0.5067,0.5003,0.5063,82435.62
2020-01-02 19:00:00,0.5064,0.5083,0.5047,0.5083,25861.28
2020-01-02 20:00:00,0.508,0.5082,0.5027,0.5031,49564.14
2020-01-02 21:00:00,0.5027,0.5063,0.5027,0.5059,17983.57
2020-01-02 22:00:00,0.5059,0.5078,0.5049,0.5077,22098.6
2020-01-02 23:00:00,0.5075,0.5075,0.5014,0.5037,104789.7
2020-01-03 00:00:00,0.5038,0.5039,0.4989,0.5001,48353.97
2020-01-03 01:00:00,0.4998,0.5002,0.4949,0.4951,121400.13
2020-01-03 02:00:00,0.4952,0.5065,0.4946,0.5053,100130.5
2020-01-03 03:00:00,0.505,0.5059,0.5034,0.5037,33681.83
2020-01-03 04:00:00,0.5042,0.5207,0.5042,0.513,461020.62
2020-01-03 05:00:00,0.5137,0.5157,0.5091,0.5124,148382.7
2020-01-03 06:00:00,0.5127,0.514,0.5119,0.5134,26265.42
2020-01-03 07:00:00,0.5138,0.5169,0.5133,0.515,81657.28
2020-01-03 08:00:00,0.5148,0.5253,0.5143,0.5224,274693.97
2020-01-03 09:00:00,0.5225,0.5294,0.522,0.5285,162500.31
2020-01-03 10:00:00,0.5293,0.5297,0.5204,0.5241,207557.44
2020-01-03 11:00:00,0.524,0.5263,0.5225,0.5262,54642.66
2020-01-03 12:00:00,0.5266,0.5275,0.5209,0.5219,97262.71
