index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.1835,0.1843,0.1832,0.184,15073.79
2019-12-31 17:00:00,0.1832,0.184,0.1826,0.1826,21504.14
2019-12-31 18:00:00,0.1826,0.1834,0.1826,0.1826,16539.78
2019-12-31 19:00:00,0.1834,0.1835,0.1827,0.1828,3968.93
2019-12-31 20:00:00,0.183,0.183,0.1808,0.1811,55083.26
2019-12-31 21:00:00,0.181,0.1819,0.1806,0.1818,21668.18
2019-12-31 22:00:00,0.1817,0.1817,0.1809,0.1815,71568.19
2019-12-31 23:00:00,0.1813,0.1815,0.1813,0.1815,269.58
2020-01-01 00:00:00,0.1809,0.1821,0.1809,0.1809,9085.11
2020-01-01 01:00:00,0.1815,0.1816,0.1809,0.1812,21528.58
2020-01-01 02:00:00,0.1811,0.1817,0.1809,0.1809,50281.31
2020-01-01 03:00:00,0.1809,0.1815,0.1809,0.1811,18808.36
2020-01-01 04:00:00,0.1807,0.1808,0.18,0.18,48938.21
2020-01-01 05:00:00,0.1808,0.1808,0.1802,0.1808,1304.05
2020-01-01 06:00:00,0.1808,0.1815,0.1808,0.1814,3564.15
2020-01-01 07:00:00,0.1815,0.1815,0.1807,0.1807,10631.99
2020-01-01 08:00:00,0.1808,0.1813,0.1804,0.1813,2274.61
2020-01-01 09:00:00,0.1813,0.1828,0.1813,0.1828,1075.0
2020-01-01 10:00:00,0.183,0.1831,0.1822,0.183,13505.88
2020-01-01 11:00:00,0.1825,0.1845,0.1825,0.1835,106500.41
2020-01-01 12:00:00,0.1835,0.1846,0.1834,0.184,24748.41
2020-01-01 13:00:00,0.184,0.1853,0.184,0.1849,18399.66
2020-01-01 14:00:00,0.1849,0.1861,0.1832,0.1854,70886.2
2020-01-01 15:00:00,0.1852,0.1853,0.1843,0.1843,12041.07
2020-01-01 16:00:00,0.1839,0.1843,0.1838,0.1838,4224.73
2020-01-01 17:00:00,0.1847,0.1849,0.184,0.1848,10131.79
2020-01-01 18:00:00,0.184,0.1848,0.183,0.1834,37917.91
