index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.5386,0.5386,0.5386,0.5386,233.56
2019-12-31 16:15:00,0.5427,0.5427,0.5393,0.5393,585.62
2019-12-31 16:30:00,0.5388,0.5388,0.5386,0.5386,1303.54
2019-12-31 16:45:00,0.5408,0.5427,0.5408,0.5425,2451.03
2019-12-31 17:00:00,0.5412,0.5416,0.5396,0.5396,953.36
2019-12-31 17:15:00,0.5416,0.5416,0.5388,0.5388,501.64
2019-12-31 17:30:00,0.5416,0.5416,0.5381,0.5381,334.79
2019-12-31 17:45:00,0.5373,0.5423,0.5368,0.5412,380.94
2019-12-31 18:00:00,0.5412,0.5412,0.5367,0.5368,1328.6
2019-12-31 18:15:00,0.5354,0.5359,0.5336,0.5359,3843.6
2019-12-31 18:30:00,0.5367,0.5367,0.5364,0.5366,294.69
2019-12-31 18:45:00,0.5367,0.5367,0.5367,0.5367,117.63
2019-12-31 19:00:00,0.5379,0.5396,0.5361,0.5396,59.64
2019-12-31 19:15:00,0.5396,0.5462,0.5396,0.5427,3119.99
2019-12-31 19:30:00,0.5368,0.5397,0.5354,0.5397,379.01
2019-12-31 19:45:00,0.5397,0.5397,0.5397,0.5397,0.0
2019-12-31 20:00:00,0.5396,0.5397,0.5388,0.5388,81.75
2019-12-31 20:15:00,0.536,0.536,0.5357,0.5359,250.52
2019-12-31 20:30:00,0.5359,0.5366,0.5359,0.5366,48.82
2019-12-31 20:45:00,0.5377,0.5388,0.536,0.536,2392.6
2019-12-31 21:00:00,0.536,0.5377,0.536,0.5377,783.88
2019-12-31 21:15:00,0.5377,0.5377,0.5377,0.5377,0.0
2019-12-31 21:30:00,0.5377,0.5377,0.5377,0.5377,0.0
2019-12-31 21:45:00,0.5386,0.5386,0.5386,0.5386,1275.05
2019-12-31 22:00:00,0.5386,0.5389,0.5386,0.5386,1570.03
2019-12-31 22:15:00,0.5386,0.5386,0.5386,0.5386,1170.05
2019-12-31 22:30:00,0.536,0.536,0.5359,0.5359,680.8
2019-12-31 22:45:00,0.5355,0.5377,0.5355,0.5377,56.53
2019-12-31 23:00:00,0.5377,0.5377,0.5377,0.5377,0.0
2019-12-31 23:15:00,0.5377,0.5377,0.5377,0.5377,0.0
2019-12-31 23:30:00,0.5361,0.5363,0.5355,0.5355,285.44
2019-12-31 23:45:00,0.5355,0.5355,0.5355,0.5355,0.0
2020-01-01 00:00:00,0.5355,0.5355,0.5353,0.5353,547.85
2020-01-01 00:15:00,0.5387,0.539,0.5377,0.538,3584.68
2020-01-01 00:30:00,0.538,0.538,0.538,0.538,0.0
2020-01-01 00:45:00,0.538,0.538,0.538,0.538,0.0
2020-01-01 01:00:00,0.538,0.538,0.538,0.538,0.0
2020-01-01 01:15:00,0.538,0.538,0.538,0.538,0.0
2020-01-01 01:30:00,0.5397,0.5397,0.5371,0.5371,268.7
2020-01-01 01:45:00,0.5367,0.5367,0.5354,0.5365,95.98
2020-01-01 02:00:00,0.5393,0.5416,0.5392,0.5414,542.59
2020-01-01 02:15:00,0.5376,0.5377,0.5366,0.5366,226.38
2020-01-01 02:30:00,0.5353,0.5406,0.5347,0.537,1155.58
2020-01-01 02:45:00,0.537,0.537,0.537,0.537,0.0
2020-01-01 03:00:00,0.5389,0.5389,0.5367,0.5368,493.24
2020-01-01 03:15:00,0.5368,0.5388,0.5368,0.5388,25.26
2020-01-01 03:30:00,0.5385,0.5385,0.5384,0.5384,13.54
2020-01-01 03:45:00,0.5384,0.5384,0.5383,0.5383,11.78
2020-01-01 04:00:00,0.5383,0.5383,0.5383,0.5383,0.0
2020-01-01 04:15:00,0.5383,0.5383,0.5383,0.5383,0.0
2020-01-01 04:30:00,0.5377,0.5377,0.5377,0.5377,20.45
2020-01-01 04:45:00,0.539,0.539,0.5356,0.5356,424.22
2020-01-01 05:00:00,0.5359,0.5389,0.5343,0.5353,12845.7
2020-01-01 05:15:00,0.5353,0.5353,0.5353,0.5353,222.75
2020-01-01 05:30:00,0.5353,0.5353,0.5353,0.5353,0.0
2020-01-01 05:45:00,0.5386,0.542,0.5386,0.5397,902.41
2020-01-01 06:00:00,0.5397,0.5397,0.5397,0.5397,0.0
2020-01-01 06:15:00,0.5368,0.5368,0.5367,0.5367,188.07
