index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,41.74,41.92,41.7,41.91,427.53543
2019-12-31 16:15:00,41.89,42.18,41.81,41.94,871.17942
2019-12-31 16:30:00,42.0,42.13,41.98,42.03,166.82205
2019-12-31 16:45:00,42.06,42.08,42.01,42.04,19.73064
2019-12-31 17:00:00,42.04,42.04,41.92,41.96,120.50952
2019-12-31 17:15:00,41.93,42.02,41.89,41.91,187.92341
2019-12-31 17:30:00,41.89,41.91,41.51,41.55,469.6072
2019-12-31 17:45:00,41.57,41.7,41.56,41.56,58.08599
2019-12-31 18:00:00,41.6,41.6,41.51,41.56,75.01337
2019-12-31 18:15:00,41.58,41.61,41.52,41.61,134.02284
2019-12-31 18:30:00,41.61,41.67,41.58,41.67,153.03153
2019-12-31 18:45:00,41.7,41.7,41.58,41.63,44.0041
2019-12-31 19:00:00,41.59,41.62,41.37,41.37,780.22742
2019-12-31 19:15:00,41.41,41.5,41.41,41.47,355.708
2019-12-31 19:30:00,41.46,41.46,41.39,41.43,115.60615
2019-12-31 19:45:00,41.38,41.51,41.38,41.44,130.05379
2019-12-31 20:00:00,41.42,41.42,41.2,41.23,178.92136
2019-12-31 20:15:00,41.2,41.28,41.2,41.24,166.29045
2019-12-31 20:30:00,41.24,41.24,41.07,41.13,489.49211
2019-12-31 20:45:00,41.09,41.12,41.03,41.11,67.03711
2019-12-31 21:00:00,41.06,41.14,41.05,41.14,21.41773
2019-12-31 21:15:00,41.12,41.16,41.05,41.13,106.07969
2019-12-31 21:30:00,41.13,41.21,41.13,41.18,297.2495
2019-12-31 21:45:00,41.18,41.18,41.13,41.13,21.62862
2019-12-31 22:00:00,41.13,41.15,41.1,41.15,31.41851
2019-12-31 22:15:00,41.14,41.26,41.14,41.15,156.76121
2019-12-31 22:30:00,41.16,41.16,41.03,41.08,228.77825
2019-12-31 22:45:00,41.08,41.3,41.08,41.17,452.71176
2019-12-31 23:00:00,41.16,41.19,41.12,41.12,32.74221
2019-12-31 23:15:00,41.17,41.17,41.12,41.13,41.4083
2019-12-31 23:30:00,41.13,41.13,41.02,41.11,313.94926
2019-12-31 23:45:00,41.15,41.21,41.13,41.16,79.79008
2020-01-01 00:00:00,41.17,41.17,41.06,41.09,63.33417
2020-01-01 00:15:00,41.08,41.08,40.96,40.98,223.26325
2020-01-01 00:30:00,40.99,40.99,40.92,40.93,87.43779
2020-01-01 00:45:00,40.93,40.97,40.92,40.92,174.4305
2020-01-01 01:00:00,40.92,41.1,40.92,41.1,259.29923
2020-01-01 01:15:00,41.09,41.23,41.08,41.21,209.49331
2020-01-01 01:30:00,41.21,41.25,41.16,41.17,69.86825
2020-01-01 01:45:00,41.17,41.18,41.11,41.13,43.94924
