index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,4.5735,4.6024,4.5655,4.5882,45812.86
2019-12-31 16:15:00,4.5858,4.6063,4.5837,4.5949,18615.7
2019-12-31 16:30:00,4.5903,4.6028,4.5902,4.5973,12619.59
2019-12-31 16:45:00,4.5992,4.6,4.5846,4.5846,5359.53
2019-12-31 17:00:00,4.5845,4.5845,4.5502,4.5502,39406.07
2019-12-31 17:15:00,4.5516,4.5673,4.5407,4.5407,21340.24
2019-12-31 17:30:00,4.5468,4.5468,4.4746,4.5082,216014.62
2019-12-31 17:45:00,4.5051,4.5256,4.4849,4.5128,45056.97
2019-12-31 18:00:00,4.509,4.5223,4.4889,4.5186,48747.31
2019-12-31 18:15:00,4.5203,4.5314,4.506,4.5314,15326.58
2019-12-31 18:30:00,4.5278,4.5278,4.4924,4.5102,39234.49
2019-12-31 18:45:00,4.51,4.5101,4.4698,4.4871,15552.71
2019-12-31 19:00:00,4.4849,4.4849,4.4567,4.4567,21955.36
2019-12-31 19:15:00,4.4568,4.4897,4.4557,4.4892,13594.85
2019-12-31 19:30:00,4.488,4.4969,4.4775,4.4907,25566.42
2019-12-31 19:45:00,4.4887,4.4918,4.4657,4.4692,16000.1
2019-12-31 20:00:00,4.4645,4.4739,4.4522,4.4634,16595.59
2019-12-31 20:15:00,4.462,4.482,4.462,4.4656,9849.07
2019-12-31 20:30:00,4.4638,4.4638,4.4328,4.4526,70227.81
2019-12-31 20:45:00,4.4538,4.4542,4.4429,4.4452,2117.37
2019-12-31 21:00:00,4.4398,4.4655,4.4385,4.4625,19954.79
2019-12-31 21:15:00,4.4563,4.4734,4.453,4.453,21822.4
2019-12-31 21:30:00,4.4555,4.4737,4.4531,4.47,12775.68
2019-12-31 21:45:00,4.4679,4.4719,4.4672,4.4672,766.09
2019-12-31 22:00:00,4.4672,4.4837,4.4639,4.4788,11995.73
2019-12-31 22:15:00,4.4797,4.4961,4.477,4.4896,12756.34
2019-12-31 22:30:00,4.4968,4.5042,4.4883,4.5013,12961.83
2019-12-31 22:45:00,4.5008,4.5078,4.4888,4.5058,24349.65
2019-12-31 23:00:00,4.5093,4.5184,4.4974,4.5094,25330.12
2019-12-31 23:15:00,4.5041,4.5167,4.4962,4.5005,10089.04
2019-12-31 23:30:00,4.5,4.5042,4.482,4.5016,8693.69
2019-12-31 23:45:00,4.5026,4.5069,4.4881,4.4945,10269.73
2020-01-01 00:00:00,4.4945,4.4945,4.4723,4.4873,6763.28
2020-01-01 00:15:00,4.4861,4.4895,4.4749,4.4865,4299.38
2020-01-01 00:30:00,4.483,4.4957,4.483,4.4898,1233.11
2020-01-01 00:45:00,4.4889,4.4961,4.4869,4.4911,302.59
2020-01-01 01:00:00,4.4954,4.524,4.4954,4.5198,14912.53
2020-01-01 01:15:00,4.5206,4.5493,4.5149,4.5406,13371.17
2020-01-01 01:30:00,4.5425,4.5599,4.5363,4.5372,7084.93
2020-01-01 01:45:00,4.5406,4.5406,4.5239,4.5329,4866.54
2020-01-01 02:00:00,4.5317,4.5451,4.5315,4.5375,4423.42
2020-01-01 02:15:00,4.5321,4.5545,4.5319,4.5507,3118.65
2020-01-01 02:30:00,4.547,4.5635,4.5415,4.5628,8759.35
2020-01-01 02:45:00,4.563,4.5742,4.5514,4.5618,13136.86
2020-01-01 03:00:00,4.5594,4.5622,4.5347,4.535,9024.48
2020-01-01 03:15:00,4.535,4.5533,4.535,4.5509,7188.43
2020-01-01 03:30:00,4.5509,4.5549,4.5278,4.5319,9941.21
2020-01-01 03:45:00,4.5275,4.5344,4.5215,4.5249,2721.57
2020-01-01 04:00:00,4.5248,4.5285,4.5099,4.5169,9892.8
2020-01-01 04:15:00,4.5197,4.529,4.5189,4.5254,3722.82
2020-01-01 04:30:00,4.5235,4.5406,4.5235,4.5245,15612.96
2020-01-01 04:45:00,4.5283,4.5307,4.5273,4.5307,588.05
2020-01-01 05:00:00,4.5307,4.5414,4.53,4.53,1903.91
2020-01-01 05:15:00,4.5292,4.531,4.523,4.5234,1239.84
2020-01-01 05:30:00,4.5299,4.5343,4.525,4.5341,3422.56
2020-01-01 05:45:00,4.5336,4.5364,4.528,4.5283,658.65
2020-01-01 06:00:00,4.5264,4.5316,4.5188,4.5263,6497.93
2020-01-01 06:15:00,4.533,4.534,4.5264,4.5333,78.13
2020-01-01 06:30:00,4.5358,4.5416,4.5299,4.5387,1667.77
2020-01-01 06:45:00,4.5413,4.5413,4.5331,4.5335,567.3
2020-01-01 07:00:00,4.5336,4.5388,4.5149,4.515,4734.63
2020-01-01 07:15:00,4.5197,4.5262,4.5128,4.5212,2665.49
2020-01-01 07:30:00,4.5206,4.5262,4.5102,4.5102,3017.48
2020-01-01 07:45:00,4.5101,4.5206,4.5086,4.5206,2073.64
2020-01-01 08:00:00,4.5152,4.5152,4.4978,4.5018,5029.7
2020-01-01 08:15:00,4.505,4.5085,4.4984,4.499,4604.11
2020-01-01 08:30:00,4.5019,4.5022,4.4891,4.4938,3644.05
2020-01-01 08:45:00,4.4921,4.5163,4.4893,4.5163,6018.44
2020-01-01 09:00:00,4.5104,4.5209,4.5065,4.5122,1530.66
2020-01-01 09:15:00,4.5067,4.5209,4.5063,4.5163,911.03
2020-01-01 09:30:00,4.5209,4.5215,4.5068,4.5113,2627.52
2020-01-01 09:45:00,4.5149,4.5242,4.5137,4.5142,18723.5
2020-01-01 10:00:00,4.5179,4.5338,4.5154,4.5338,4896.31
2020-01-01 10:15:00,4.5371,4.5693,4.5341,4.5392,24866.45
2020-01-01 10:30:00,4.5399,4.5516,4.5239,4.5245,19318.89
2020-01-01 10:45:00,4.5302,4.5328,4.5244,4.5297,513.38
2020-01-01 11:00:00,4.5286,4.5323,4.518,4.5253,3546.24
