index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.3616,0.3729,0.3616,0.3729,4441.34
2019-12-31 16:15:00,0.379,0.4001,0.3776,0.4001,74271.14
2019-12-31 16:30:00,0.4001,0.4072,0.3959,0.4,64948.95
2019-12-31 16:45:00,0.4,0.4243,0.4,0.4113,65832.89
2019-12-31 17:00:00,0.4102,0.42,0.3883,0.396,25292.72
2019-12-31 17:15:00,0.3956,0.4189,0.3956,0.4189,14956.27
2019-12-31 17:30:00,0.4189,0.4217,0.4091,0.4091,24647.07
2019-12-31 17:45:00,0.4066,0.4141,0.4017,0.4088,19426.62
2019-12-31 18:00:00,0.4066,0.4078,0.4,0.4039,26283.97
2019-12-31 18:15:00,0.4039,0.414,0.4039,0.4091,12060.55
2019-12-31 18:30:00,0.4113,0.4114,0.4066,0.409,10207.01
2019-12-31 18:45:00,0.409,0.411,0.409,0.411,4881.74
2019-12-31 19:00:00,0.411,0.414,0.4091,0.4091,8888.56
2019-12-31 19:15:00,0.4066,0.4137,0.4021,0.4137,3873.16
2019-12-31 19:30:00,0.4135,0.4215,0.412,0.4146,22318.67
2019-12-31 19:45:00,0.4191,0.4191,0.4115,0.4127,12260.6
2019-12-31 20:00:00,0.4092,0.4104,0.4,0.4066,46597.71
2019-12-31 20:15:00,0.4066,0.413,0.4055,0.4128,21553.25
2019-12-31 20:30:00,0.4128,0.4128,0.4075,0.4075,15432.8
2019-12-31 20:45:00,0.4115,0.4546,0.4115,0.4481,98842.22
2019-12-31 21:00:00,0.4496,0.465,0.441,0.4455,36754.23
2019-12-31 21:15:00,0.4455,0.4478,0.4349,0.44,6443.23
2019-12-31 21:30:00,0.4421,0.4479,0.4351,0.4413,52925.72
2019-12-31 21:45:00,0.4454,0.45,0.426,0.431,60456.03
2019-12-31 22:00:00,0.4309,0.4309,0.4191,0.4219,8840.02
2019-12-31 22:15:00,0.4268,0.4268,0.4067,0.4115,30006.13
2019-12-31 22:30:00,0.4115,0.4215,0.41,0.4165,12745.69
2019-12-31 22:45:00,0.4165,0.4191,0.4094,0.41,5994.4
2019-12-31 23:00:00,0.4136,0.4157,0.4115,0.4124,5143.58
2019-12-31 23:15:00,0.4127,0.4131,0.4091,0.4114,3194.16
2019-12-31 23:30:00,0.411,0.4155,0.4107,0.4116,3646.96
2019-12-31 23:45:00,0.4116,0.4135,0.4076,0.4081,9084.82
2020-01-01 00:00:00,0.4109,0.4138,0.4109,0.4116,5507.39
2020-01-01 00:15:00,0.4091,0.4115,0.4073,0.4115,1253.15
2020-01-01 00:30:00,0.4115,0.4115,0.405,0.4062,2975.24
2020-01-01 00:45:00,0.4091,0.4091,0.4053,0.409,453.51
2020-01-01 01:00:00,0.4091,0.4091,0.4011,0.4011,6898.11
2020-01-01 01:15:00,0.4041,0.4041,0.4,0.4,61065.43
2020-01-01 01:30:00,0.3992,0.4016,0.3874,0.3963,22947.91
