index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,4.246,4.311,4.246,4.298,23915.459
2019-12-31 17:00:00,4.305,4.308,4.248,4.262,25011.13
2019-12-31 18:00:00,4.262,4.262,4.219,4.229,19913.702
2019-12-31 19:00:00,4.229,4.232,4.204,4.211,16096.944
2019-12-31 20:00:00,4.209,4.211,4.179,4.189,16375.087
2019-12-31 21:00:00,4.19,4.221,4.184,4.214,3266.836
2019-12-31 22:00:00,4.21,4.218,4.197,4.207,6775.607
2019-12-31 23:00:00,4.214,4.227,4.206,4.227,3329.749
2020-01-01 00:00:00,4.217,4.231,4.208,4.218,7577.123
2020-01-01 01:00:00,4.223,4.292,4.223,4.29,19184.466
2020-01-01 02:00:00,4.294,4.347,4.259,4.33,45460.005
2020-01-01 03:00:00,4.334,4.334,4.273,4.315,27938.823
2020-01-01 04:00:00,4.317,4.317,4.295,4.305,4644.231
2020-01-01 05:00:00,4.305,4.312,4.274,4.286,10345.411
2020-01-01 06:00:00,4.286,4.307,4.275,4.292,15497.642
2020-01-01 07:00:00,4.291,4.349,4.291,4.339,20074.627
2020-01-01 08:00:00,4.331,4.345,4.296,4.319,15425.488
2020-01-01 09:00:00,4.319,4.339,4.312,4.339,10626.973
2020-01-01 10:00:00,4.33,4.35,4.33,4.345,9304.566
2020-01-01 11:00:00,4.348,4.373,4.336,4.336,48317.454
2020-01-01 12:00:00,4.343,4.363,4.337,4.358,13416.897
2020-01-01 13:00:00,4.358,4.37,4.334,4.37,13590.804
2020-01-01 14:00:00,4.369,4.398,4.35,4.392,25666.433
2020-01-01 15:00:00,4.387,4.467,4.37,4.417,65816.367
2020-01-01 16:00:00,4.421,4.43,4.411,4.415,17020.106
2020-01-01 17:00:00,4.421,4.427,4.414,4.414,7467.872
2020-01-01 18:00:00,4.42,4.49,4.41,4.463,46247.351
2020-01-01 19:00:00,4.461,4.461,4.395,4.401,26545.546
2020-01-01 20:00:00,4.402,4.438,4.396,4.428,7098.946
2020-01-01 21:00:00,4.428,4.449,4.387,4.414,21606.709
2020-01-01 22:00:00,4.414,4.42,4.382,4.39,10772.057
2020-01-01 23:00:00,4.386,4.43,4.377,4.38,11781.719
2020-01-02 00:00:00,4.382,4.397,4.321,4.385,30472.558
2020-01-02 01:00:00,4.385,4.394,4.319,4.326,20065.001
2020-01-02 02:00:00,4.331,4.335,4.3,4.304,24663.39
2020-01-02 03:00:00,4.303,4.303,4.219,4.241,62952.538
2020-01-02 04:00:00,4.241,4.323,4.219,4.296,41645.592
2020-01-02 05:00:00,4.295,4.3,4.274,4.287,9123.565
2020-01-02 06:00:00,4.293,4.293,4.27,4.282,8396.84
2020-01-02 07:00:00,4.28,4.285,4.218,4.221,41239.064
2020-01-02 08:00:00,4.224,4.294,4.219,4.283,23967.165
2020-01-02 09:00:00,4.29,4.304,4.28,4.288,32546.361
2020-01-02 10:00:00,4.287,4.289,4.26,4.271,21208.485
2020-01-02 11:00:00,4.27,4.281,4.26,4.261,13464.092
2020-01-02 12:00:00,4.261,4.267,4.236,4.247,31585.575
2020-01-02 13:00:00,4.25,4.26,4.235,4.24,20860.26
2020-01-02 14:00:00,4.237,4.245,4.2,4.206,50503.542
2020-01-02 15:00:00,4.206,4.218,4.191,4.218,13282.855
2020-01-02 16:00:00,4.217,4.228,4.158,4.169,34406.73
2020-01-02 17:00:00,4.167,4.183,4.098,4.166,120811.441
2020-01-02 18:00:00,4.156,4.175,4.151,4.167,13011.318
2020-01-02 19:00:00,4.167,4.181,4.149,4.177,11611.701
2020-01-02 20:00:00,4.177,4.182,4.134,4.134,30263.386
2020-01-02 21:00:00,4.133,4.133,4.09,4.116,56368.118
