index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.5386,0.5427,0.5386,0.5425,4573.75
2019-12-31 17:00:00,0.5412,0.5423,0.5368,0.5412,2170.73
2019-12-31 18:00:00,0.5412,0.5412,0.5336,0.5367,5584.52
2019-12-31 19:00:00,0.5379,0.5462,0.5354,0.5397,3558.64
2019-12-31 20:00:00,0.5396,0.5397,0.5357,0.536,2773.69
2019-12-31 21:00:00,0.536,0.5386,0.536,0.5386,2058.93
2019-12-31 22:00:00,0.5386,0.5389,0.5355,0.5377,3477.41
2019-12-31 23:00:00,0.5361,0.5363,0.5355,0.5355,285.44
2020-01-01 00:00:00,0.5355,0.539,0.5353,0.538,4132.53
2020-01-01 01:00:00,0.5397,0.5397,0.5354,0.5365,364.68
2020-01-01 02:00:00,0.5393,0.5416,0.5347,0.537,1924.55
2020-01-01 03:00:00,0.5389,0.5389,0.5367,0.5383,543.82
2020-01-01 04:00:00,0.5377,0.539,0.5356,0.5356,444.67
2020-01-01 05:00:00,0.5359,0.542,0.5343,0.5397,13970.86
2020-01-01 06:00:00,0.5368,0.5389,0.5367,0.5389,750.18
2020-01-01 07:00:00,0.5396,0.54,0.5357,0.5379,9139.81
2020-01-01 08:00:00,0.5376,0.5389,0.5353,0.5353,1279.17
2020-01-01 09:00:00,0.5397,0.5406,0.5353,0.5406,10675.61
2020-01-01 10:00:00,0.5411,0.546,0.5404,0.5431,11093.97
2020-01-01 11:00:00,0.5436,0.5499,0.5431,0.5493,23018.2
2020-01-01 12:00:00,0.5469,0.5469,0.5404,0.5409,27566.39
2020-01-01 13:00:00,0.5401,0.5458,0.54,0.5456,9138.48
2020-01-01 14:00:00,0.5434,0.5442,0.543,0.5442,4921.07
2020-01-01 15:00:00,0.5431,0.545,0.5404,0.5404,9206.13
2020-01-01 16:00:00,0.5406,0.5451,0.54,0.545,6024.99
2020-01-01 17:00:00,0.545,0.545,0.5404,0.5423,1502.49
2020-01-01 18:00:00,0.5436,0.5478,0.5413,0.5478,6174.9
2020-01-01 19:00:00,0.5468,0.5478,0.5451,0.5478,2088.11
2020-01-01 20:00:00,0.5476,0.5479,0.5456,0.5456,3460.6
2020-01-01 21:00:00,0.5476,0.551,0.5459,0.5503,16293.23
2020-01-01 22:00:00,0.5493,0.5493,0.5459,0.5466,857.31
2020-01-01 23:00:00,0.5447,0.5448,0.5415,0.5442,4517.89
2020-01-02 00:00:00,0.544,0.5459,0.5438,0.5459,2893.37
2020-01-02 01:00:00,0.5438,0.5459,0.5428,0.5435,9089.46
2020-01-02 02:00:00,0.5459,0.5459,0.538,0.5429,2142.75
2020-01-02 03:00:00,0.5397,0.5397,0.533,0.5353,37460.89
2020-01-02 04:00:00,0.5364,0.537,0.5333,0.5359,5286.37
2020-01-02 05:00:00,0.5341,0.5368,0.533,0.533,6938.46
2020-01-02 06:00:00,0.5335,0.5353,0.533,0.5348,2590.06
2020-01-02 07:00:00,0.5336,0.534,0.5274,0.5286,29063.57
2020-01-02 08:00:00,0.5307,0.5366,0.5255,0.5312,47862.91
2020-01-02 09:00:00,0.5331,0.5353,0.5282,0.5318,2088.65
2020-01-02 10:00:00,0.5291,0.5343,0.5291,0.532,5466.53
2020-01-02 11:00:00,0.5347,0.5351,0.5318,0.5318,9741.95
2020-01-02 12:00:00,0.5319,0.5349,0.5293,0.5342,9996.28
2020-01-02 13:00:00,0.5344,0.5357,0.5227,0.5294,47486.74
2020-01-02 14:00:00,0.5279,0.5327,0.5251,0.5301,15057.33
2020-01-02 15:00:00,0.5308,0.5327,0.5286,0.5315,7810.47
2020-01-02 16:00:00,0.5318,0.5318,0.5146,0.5221,48867.81
2020-01-02 17:00:00,0.5223,0.5223,0.5109,0.5155,49011.35
2020-01-02 18:00:00,0.5156,0.5197,0.5135,0.5179,29412.63
2020-01-02 19:00:00,0.5164,0.5202,0.5141,0.5163,4637.49
2020-01-02 20:00:00,0.5161,0.5183,0.5127,0.517,4159.58
2020-01-02 21:00:00,0.5143,0.5187,0.5143,0.5177,3300.69
2020-01-02 22:00:00,0.5163,0.5241,0.5143,0.519,10859.04
2020-01-02 23:00:00,0.5188,0.5217,0.5145,0.5199,10935.87
2020-01-03 00:00:00,0.5206,0.5206,0.515,0.5187,13240.21
2020-01-03 01:00:00,0.515,0.5151,0.503,0.5056,66185.19
2020-01-03 02:00:00,0.5034,0.5138,0.5,0.5132,80929.01
2020-01-03 03:00:00,0.5114,0.5132,0.5083,0.5096,4535.51
2020-01-03 04:00:00,0.5083,0.5254,0.5069,0.5254,60964.03
2020-01-03 05:00:00,0.5232,0.5323,0.5227,0.5321,19269.2
2020-01-03 06:00:00,0.5269,0.5305,0.5214,0.5284,7447.75
2020-01-03 07:00:00,0.5255,0.5267,0.5232,0.5236,6983.69
2020-01-03 08:00:00,0.5257,0.5363,0.5254,0.5349,23700.09
2020-01-03 09:00:00,0.5349,0.541,0.5335,0.54,14616.11
2020-01-03 10:00:00,0.5401,0.546,0.5327,0.5327,17264.5
2020-01-03 11:00:00,0.5317,0.5416,0.5303,0.5383,36737.86
2020-01-03 12:00:00,0.5396,0.5422,0.5345,0.5422,8667.03
2020-01-03 13:00:00,0.5379,0.5429,0.536,0.5399,7615.19
2020-01-03 14:00:00,0.5389,0.5423,0.5311,0.5353,13516.59
2020-01-03 15:00:00,0.5358,0.537,0.5331,0.5358,7073.9
2020-01-03 16:00:00,0.535,0.541,0.532,0.535,11374.09
2020-01-03 17:00:00,0.5327,0.5366,0.5325,0.5366,14359.08
2020-01-03 18:00:00,0.5336,0.5365,0.53,0.5365,5740.12
2020-01-03 19:00:00,0.5358,0.5366,0.533,0.5364,12558.56
2020-01-03 20:00:00,0.5365,0.55,0.5365,0.543,51791.5
2020-01-03 21:00:00,0.5421,0.5499,0.5381,0.5418,5340.06
2020-01-03 22:00:00,0.5418,0.5418,0.5366,0.5403,6453.73
2020-01-03 23:00:00,0.5403,0.5427,0.5381,0.5381,1470.49
2020-01-04 00:00:00,0.5412,0.5467,0.5367,0.5424,14959.97
2020-01-04 01:00:00,0.5406,0.543,0.5381,0.5381,3569.09
2020-01-04 02:00:00,0.5373,0.5418,0.5366,0.5388,4523.56
2020-01-04 03:00:00,0.5388,0.5414,0.5335,0.5405,15949.04
2020-01-04 04:00:00,0.5405,0.5452,0.5376,0.5436,18045.72
2020-01-04 05:00:00,0.542,0.547,0.5375,0.5375,20335.79
2020-01-04 06:00:00,0.5376,0.541,0.5364,0.5409,10218.62
2020-01-04 07:00:00,0.5409,0.5409,0.5339,0.5356,16011.91
2020-01-04 08:00:00,0.5338,0.5366,0.5271,0.5328,35275.31
2020-01-04 09:00:00,0.5332,0.5332,0.5264,0.5275,13227.97
2020-01-04 10:00:00,0.5289,0.5311,0.525,0.5268,37760.74
2020-01-04 11:00:00,0.5243,0.5288,0.524,0.5269,11419.64
2020-01-04 12:00:00,0.5244,0.5269,0.5239,0.5247,23818.15
2020-01-04 13:00:00,0.5246,0.5282,0.5239,0.526,18039.04
2020-01-04 14:00:00,0.5263,0.5299,0.526,0.529,10564.73
2020-01-04 15:00:00,0.5289,0.5319,0.5271,0.5271,8560.32
2020-01-04 16:00:00,0.5286,0.5302,0.5217,0.5236,22631.86
2020-01-04 17:00:00,0.5213,0.5255,0.5213,0.5255,21123.82
2020-01-04 18:00:00,0.5255,0.5263,0.52,0.5201,12879.21
2020-01-04 19:00:00,0.522,0.522,0.5182,0.5204,24504.76
2020-01-04 20:00:00,0.5204,0.5215,0.5177,0.5199,15296.77
2020-01-04 21:00:00,0.5199,0.5217,0.5177,0.518,10266.27
2020-01-04 22:00:00,0.518,0.5212,0.5177,0.5194,16332.23
2020-01-04 23:00:00,0.5195,0.5235,0.5184,0.5235,21792.66
2020-01-05 00:00:00,0.5213,0.5283,0.5208,0.5257,14666.48
2020-01-05 01:00:00,0.5257,0.5333,0.5257,0.5333,29398.79
2020-01-05 02:00:00,0.5333,0.539,0.5324,0.539,18875.95
2020-01-05 03:00:00,0.539,0.5432,0.5372,0.5428,19739.22
2020-01-05 04:00:00,0.5426,0.5461,0.5372,0.538,26317.26
2020-01-05 05:00:00,0.5388,0.5446,0.5381,0.5432,21498.02
2020-01-05 06:00:00,0.5432,0.5445,0.5372,0.5372,17269.29
2020-01-05 07:00:00,0.5372,0.542,0.5356,0.542,8738.48
2020-01-05 08:00:00,0.5395,0.5415,0.5371,0.5378,6457.53
2020-01-05 09:00:00,0.5376,0.5376,0.5339,0.5339,4616.15
2020-01-05 10:00:00,0.5348,0.537,0.5323,0.5368,9876.39
2020-01-05 11:00:00,0.5368,0.5398,0.5337,0.5381,10112.35
2020-01-05 12:00:00,0.5398,0.5441,0.5397,0.544,36268.82
2020-01-05 13:00:00,0.5414,0.5486,0.5363,0.5471,36123.21
2020-01-05 14:00:00,0.5471,0.6184,0.5444,0.6024,545113.85
2020-01-05 15:00:00,0.602,0.63,0.591,0.6169,436631.38
2020-01-05 16:00:00,0.6184,0.6361,0.6013,0.6023,162541.34
2020-01-05 17:00:00,0.6013,0.6072,0.5983,0.6,110028.11
2020-01-05 18:00:00,0.6002,0.6099,0.598,0.6093,72138.66
2020-01-05 19:00:00,0.609,0.6092,0.595,0.6035,56405.98
2020-01-05 20:00:00,0.6035,0.6041,0.599,0.6032,12463.8
2020-01-05 21:00:00,0.6041,0.6068,0.5952,0.5958,34816.64
