index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.0618,0.0621,0.0614,0.0621,20315.46
2019-12-31 17:00:00,0.0619,0.0622,0.0619,0.0622,1272.0
2019-12-31 18:00:00,0.0616,0.0616,0.0616,0.0616,1079.36
2019-12-31 19:00:00,0.0617,0.0618,0.0617,0.0618,1034.43
2019-12-31 20:00:00,0.0617,0.0617,0.0617,0.0617,4595.0
2019-12-31 21:00:00,0.0617,0.0617,0.0617,0.0617,0.0
2019-12-31 22:00:00,0.0617,0.0617,0.0617,0.0617,0.0
2019-12-31 23:00:00,0.0617,0.0617,0.0617,0.0617,0.0
2020-01-01 00:00:00,0.0617,0.0617,0.0617,0.0617,0.0
2020-01-01 01:00:00,0.0628,0.0628,0.0625,0.0625,58857.32
2020-01-01 02:00:00,0.0633,0.0633,0.0633,0.0633,104.77
2020-01-01 03:00:00,0.0633,0.0633,0.0633,0.0633,0.0
2020-01-01 04:00:00,0.0632,0.0635,0.0622,0.0622,444.26
2020-01-01 05:00:00,0.0631,0.0631,0.0631,0.0631,51.55
2020-01-01 06:00:00,0.0631,0.0633,0.062,0.062,1750.57
2020-01-01 07:00:00,0.0633,0.0634,0.0621,0.0622,3066.29
2020-01-01 08:00:00,0.0623,0.0623,0.0623,0.0623,1626.06
2020-01-01 09:00:00,0.0624,0.0624,0.062,0.062,5798.95
2020-01-01 10:00:00,0.0623,0.0623,0.0623,0.0623,2629.8
2020-01-01 11:00:00,0.0623,0.063,0.0623,0.063,4919.92
2020-01-01 12:00:00,0.0624,0.0624,0.0624,0.0624,666.49
2020-01-01 13:00:00,0.063,0.0635,0.063,0.063,14603.17
2020-01-01 14:00:00,0.063,0.063,0.0629,0.0629,507.45
2020-01-01 15:00:00,0.0633,0.0633,0.0632,0.0632,10733.47
2020-01-01 16:00:00,0.0627,0.0628,0.0627,0.0627,10620.12
2020-01-01 17:00:00,0.0627,0.0627,0.0627,0.0627,0.0
2020-01-01 18:00:00,0.0627,0.0627,0.0627,0.0627,1221.35
2020-01-01 19:00:00,0.0627,0.0627,0.0627,0.0627,0.0
2020-01-01 20:00:00,0.0634,0.0648,0.0631,0.0647,59512.22
2020-01-01 21:00:00,0.0647,0.0648,0.064,0.0648,8431.4
2020-01-01 22:00:00,0.0642,0.0642,0.0642,0.0642,605.7
2020-01-01 23:00:00,0.064,0.064,0.064,0.064,7812.5
2020-01-02 00:00:00,0.064,0.0648,0.0639,0.0641,11857.18
2020-01-02 01:00:00,0.0641,0.0646,0.0641,0.0645,6697.94
2020-01-02 02:00:00,0.0636,0.0642,0.0633,0.0641,18625.94
2020-01-02 03:00:00,0.0639,0.0645,0.0634,0.0634,42533.03
2020-01-02 04:00:00,0.0637,0.0642,0.0633,0.0638,13518.44
2020-01-02 05:00:00,0.0638,0.0638,0.0628,0.0633,23856.4
2020-01-02 06:00:00,0.0634,0.0637,0.0628,0.063,2471.95
2020-01-02 07:00:00,0.0629,0.0629,0.0623,0.0625,37834.37
2020-01-02 08:00:00,0.0627,0.063,0.0627,0.063,1715.99
2020-01-02 09:00:00,0.063,0.0638,0.063,0.0633,16305.15
2020-01-02 10:00:00,0.0634,0.0637,0.0634,0.0637,2943.95
2020-01-02 11:00:00,0.0632,0.0634,0.0629,0.0629,2130.03
2020-01-02 12:00:00,0.0628,0.0636,0.0628,0.0636,30340.04
2020-01-02 13:00:00,0.063,0.0632,0.0628,0.0628,32445.21
2020-01-02 14:00:00,0.063,0.063,0.0629,0.0629,2731.35
2020-01-02 15:00:00,0.0629,0.0637,0.0629,0.0637,8753.09
2020-01-02 16:00:00,0.0637,0.0638,0.0625,0.0625,35786.01
2020-01-02 17:00:00,0.0622,0.0622,0.0609,0.0609,19553.51
2020-01-02 18:00:00,0.0609,0.0619,0.0609,0.0612,2170.74
2020-01-02 19:00:00,0.0616,0.0621,0.0616,0.0618,15948.81
2020-01-02 20:00:00,0.0609,0.0614,0.0609,0.0614,1437.65
2020-01-02 21:00:00,0.0611,0.0619,0.0611,0.0616,1619.28
2020-01-02 22:00:00,0.0616,0.0616,0.0616,0.0616,47.71
2020-01-02 23:00:00,0.0614,0.0614,0.0614,0.0614,678.29
2020-01-03 00:00:00,0.0614,0.0614,0.0607,0.0607,3797.95
2020-01-03 01:00:00,0.0607,0.0609,0.0607,0.0608,1361.94
2020-01-03 02:00:00,0.0605,0.0616,0.0605,0.0616,5237.23
2020-01-03 03:00:00,0.0616,0.0618,0.0616,0.0616,43396.79
2020-01-03 04:00:00,0.0617,0.0637,0.0617,0.0637,72498.55
2020-01-03 05:00:00,0.0636,0.0636,0.0624,0.0624,3155.29
2020-01-03 06:00:00,0.0628,0.0632,0.0628,0.0629,5393.0
2020-01-03 07:00:00,0.0631,0.0631,0.0631,0.0631,2930.01
2020-01-03 08:00:00,0.0631,0.0638,0.0631,0.0638,8247.44
2020-01-03 09:00:00,0.0629,0.0638,0.0629,0.0638,15896.56
2020-01-03 10:00:00,0.0638,0.0639,0.0638,0.0638,19598.08
2020-01-03 11:00:00,0.0638,0.0639,0.0631,0.0639,11194.37
