index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,41.74,42.18,41.7,42.04,1485.26754
2019-12-31 17:00:00,42.04,42.04,41.51,41.56,836.12612
2019-12-31 18:00:00,41.6,41.7,41.51,41.63,406.07184
2019-12-31 19:00:00,41.59,41.62,41.37,41.44,1381.59536
2019-12-31 20:00:00,41.42,41.42,41.03,41.11,901.74103
2019-12-31 21:00:00,41.06,41.21,41.05,41.13,446.37554
2019-12-31 22:00:00,41.13,41.3,41.03,41.17,869.66973
2019-12-31 23:00:00,41.16,41.21,41.02,41.16,467.88985
2020-01-01 00:00:00,41.17,41.17,40.92,40.92,548.46571
2020-01-01 01:00:00,40.92,41.25,40.92,41.13,582.61003
2020-01-01 02:00:00,41.12,41.49,41.09,41.45,909.20813
2020-01-01 03:00:00,41.45,41.5,41.28,41.39,695.40323
2020-01-01 04:00:00,41.43,41.62,41.35,41.54,1315.02979
2020-01-01 05:00:00,41.57,41.66,41.39,41.39,230.97927
2020-01-01 06:00:00,41.42,41.88,41.42,41.74,773.22393
2020-01-01 07:00:00,41.84,41.87,41.47,41.47,646.78672
2020-01-01 08:00:00,41.48,41.48,41.28,41.35,135.99429
2020-01-01 09:00:00,41.38,41.47,41.36,41.37,201.63837
2020-01-01 10:00:00,41.37,41.77,41.37,41.63,728.77892
2020-01-01 11:00:00,41.59,41.98,41.56,41.61,981.37985
2020-01-01 12:00:00,41.63,42.14,41.54,42.12,661.33537
2020-01-01 13:00:00,42.1,42.1,41.93,42.08,101.08856
2020-01-01 14:00:00,42.08,42.23,41.98,42.15,301.02576
2020-01-01 15:00:00,42.15,42.35,42.14,42.15,244.98525
2020-01-01 16:00:00,42.16,42.3,42.11,42.3,297.89138
2020-01-01 17:00:00,42.27,42.27,42.17,42.21,21.3124
2020-01-01 18:00:00,42.19,42.19,41.83,42.0,792.61834
2020-01-01 19:00:00,41.97,42.11,41.92,41.95,938.08187
2020-01-01 20:00:00,41.93,42.12,41.93,42.0,79.74385
2020-01-01 21:00:00,41.98,42.71,41.95,42.57,1707.95765
2020-01-01 22:00:00,42.59,42.59,41.6,41.88,1969.58622
2020-01-01 23:00:00,41.86,41.89,41.67,41.84,150.89325
2020-01-02 00:00:00,41.82,41.82,41.3,41.35,2102.23893
2020-01-02 01:00:00,41.37,41.39,41.28,41.32,653.55955
2020-01-02 02:00:00,41.32,41.32,40.96,40.99,545.1908
2020-01-02 03:00:00,40.98,41.23,40.91,41.16,1465.02427
