index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.0981,0.099,0.0981,0.099,10196.23
2019-12-31 17:00:00,0.0983,0.0986,0.0971,0.0971,33733.67
2019-12-31 18:00:00,0.0971,0.0975,0.0966,0.0966,2965.27
2019-12-31 19:00:00,0.0972,0.0972,0.0963,0.0963,468.2
2019-12-31 20:00:00,0.0963,0.0963,0.0963,0.0963,0.0
2019-12-31 21:00:00,0.0968,0.0968,0.0965,0.0965,616.75
2019-12-31 22:00:00,0.0973,0.0974,0.0965,0.0965,2149.63
2019-12-31 23:00:00,0.0961,0.0961,0.095,0.0951,46840.78
2020-01-01 00:00:00,0.0951,0.0951,0.095,0.0951,71737.48
2020-01-01 01:00:00,0.0951,0.0951,0.0947,0.0951,50193.41
2020-01-01 02:00:00,0.0947,0.0949,0.0947,0.0949,10835.85
2020-01-01 03:00:00,0.0949,0.0951,0.0949,0.0951,27628.84
2020-01-01 04:00:00,0.0951,0.0951,0.0947,0.0951,11124.25
2020-01-01 05:00:00,0.0946,0.095,0.0945,0.0945,2973.95
2020-01-01 06:00:00,0.0946,0.0951,0.0942,0.0942,39276.28
2020-01-01 07:00:00,0.094,0.0951,0.0938,0.0945,82368.15
2020-01-01 08:00:00,0.095,0.095,0.0949,0.0949,149.42
2020-01-01 09:00:00,0.095,0.0951,0.095,0.0951,1524.82
2020-01-01 10:00:00,0.0951,0.1009,0.0951,0.0985,154352.98
2020-01-01 11:00:00,0.0985,0.0985,0.0985,0.0985,0.0
2020-01-01 12:00:00,0.0977,0.0978,0.097,0.0978,17224.99
2020-01-01 13:00:00,0.0979,0.1009,0.0977,0.098,67997.55
2020-01-01 14:00:00,0.0972,0.0981,0.0971,0.0981,3654.75
2020-01-01 15:00:00,0.098,0.0985,0.0973,0.0973,20856.91
2020-01-01 16:00:00,0.0979,0.0985,0.0952,0.0975,300899.54
2020-01-01 17:00:00,0.0975,0.0975,0.0964,0.0968,81405.37
2020-01-01 18:00:00,0.0963,0.097,0.0961,0.0967,16030.61
2020-01-01 19:00:00,0.0963,0.0969,0.0959,0.0959,36318.53
2020-01-01 20:00:00,0.0967,0.0968,0.0963,0.0963,465.41
2020-01-01 21:00:00,0.0964,0.097,0.0959,0.0963,43532.55
2020-01-01 22:00:00,0.0968,0.0968,0.096,0.096,451.69
2020-01-01 23:00:00,0.0965,0.0965,0.0953,0.0956,22375.48
2020-01-02 00:00:00,0.096,0.096,0.0952,0.0956,29969.36
2020-01-02 01:00:00,0.0959,0.0962,0.0949,0.0949,22740.41
2020-01-02 02:00:00,0.0954,0.0954,0.0943,0.0945,30400.82
2020-01-02 03:00:00,0.0943,0.0945,0.0941,0.0942,6038.61
2020-01-02 04:00:00,0.0941,0.0955,0.0941,0.0955,5868.14
2020-01-02 05:00:00,0.0949,0.0951,0.0946,0.0946,5634.04
2020-01-02 06:00:00,0.0949,0.0956,0.0946,0.0946,4126.67
2020-01-02 07:00:00,0.0946,0.0952,0.0946,0.0952,3285.56
2020-01-02 08:00:00,0.0955,0.0984,0.0951,0.0961,142433.21
2020-01-02 09:00:00,0.0961,0.097,0.0961,0.0962,43218.46
2020-01-02 10:00:00,0.0962,0.0962,0.0947,0.096,218534.28
2020-01-02 11:00:00,0.0955,0.0961,0.0955,0.0955,1228.33
2020-01-02 12:00:00,0.0955,0.096,0.0954,0.0956,8927.16
2020-01-02 13:00:00,0.0948,0.0959,0.0948,0.0949,25684.95
2020-01-02 14:00:00,0.0961,0.0965,0.095,0.0956,14128.51
2020-01-02 15:00:00,0.0959,0.0966,0.0954,0.0963,30077.41
2020-01-02 16:00:00,0.0962,0.0962,0.0941,0.095,6494.22
2020-01-02 17:00:00,0.0944,0.095,0.0929,0.0942,35791.79
2020-01-02 18:00:00,0.0934,0.0934,0.0929,0.0934,1643.08
2020-01-02 19:00:00,0.0934,0.094,0.0932,0.0935,2052.96
2020-01-02 20:00:00,0.0942,0.0942,0.0942,0.0942,799.36
2020-01-02 21:00:00,0.0942,0.0959,0.094,0.0944,7342.41
2020-01-02 22:00:00,0.0945,0.0945,0.0934,0.0944,5354.88
2020-01-02 23:00:00,0.0942,0.0954,0.0942,0.095,4500.43
2020-01-03 00:00:00,0.0948,0.0948,0.0935,0.0936,1382.18
2020-01-03 01:00:00,0.0944,0.0944,0.0936,0.0942,1317.02
2020-01-03 02:00:00,0.0935,0.094,0.0926,0.0935,14655.87
2020-01-03 03:00:00,0.0945,0.0945,0.0928,0.0928,921.39
2020-01-03 04:00:00,0.0932,0.0987,0.0932,0.0962,23692.2
2020-01-03 05:00:00,0.0966,0.0971,0.0966,0.0966,15255.98
2020-01-03 06:00:00,0.0966,0.0968,0.0966,0.0967,22660.1
2020-01-03 07:00:00,0.0966,0.0966,0.0966,0.0966,1220.53
2020-01-03 08:00:00,0.0966,0.0981,0.0966,0.097,7720.72
2020-01-03 09:00:00,0.0975,0.0984,0.0975,0.0984,1257.63
2020-01-03 10:00:00,0.0984,0.0984,0.0978,0.0981,6932.62
2020-01-03 11:00:00,0.098,0.098,0.0976,0.0979,19758.88
2020-01-03 12:00:00,0.0981,0.0983,0.0976,0.0976,14428.53
2020-01-03 13:00:00,0.0977,0.0981,0.0976,0.0981,5658.26
2020-01-03 14:00:00,0.0976,0.098,0.0974,0.098,10723.5
2020-01-03 15:00:00,0.0976,0.0982,0.0973,0.0982,23341.5
2020-01-03 16:00:00,0.0982,0.0988,0.0977,0.0988,8262.25
2020-01-03 17:00:00,0.0986,0.0994,0.0978,0.0978,57559.58
2020-01-03 18:00:00,0.0987,0.0992,0.0978,0.0992,1852.89
