index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,1.0033,1.0037,1.0031,1.0031,30087.64
2019-12-31 17:00:00,1.0032,1.0039,1.0029,1.0039,83161.2
2019-12-31 18:00:00,1.0035,1.004,1.0035,1.0036,62238.93
2019-12-31 19:00:00,1.0036,1.0042,1.0022,1.0033,287018.93
2019-12-31 20:00:00,1.0036,1.0038,1.0026,1.0033,191865.33
2019-12-31 21:00:00,1.0033,1.0037,1.0031,1.0035,28035.46
2019-12-31 22:00:00,1.0034,1.0042,1.0033,1.0036,63239.39
2019-12-31 23:00:00,1.0036,1.0038,1.0031,1.0035,29282.8
2020-01-01 00:00:00,1.0034,1.0038,1.0031,1.0034,20249.42
2020-01-01 01:00:00,1.0035,1.0038,1.0027,1.003,73421.57
2020-01-01 02:00:00,1.003,1.0032,1.0028,1.003,35551.19
2020-01-01 03:00:00,1.0029,1.0035,1.0027,1.0031,40245.4
2020-01-01 04:00:00,1.0031,1.0036,1.0031,1.0035,10622.39
2020-01-01 05:00:00,1.0037,1.0037,1.0033,1.0037,11942.15
2020-01-01 06:00:00,1.0035,1.0041,1.0033,1.0034,76113.63
2020-01-01 07:00:00,1.0038,1.0038,1.0032,1.0034,18691.78
2020-01-01 08:00:00,1.0033,1.0034,1.0027,1.0031,62556.07
2020-01-01 09:00:00,1.0031,1.0031,1.0027,1.0027,16230.01
2020-01-01 10:00:00,1.0027,1.0031,1.0027,1.0029,6530.8
2020-01-01 11:00:00,1.0031,1.0034,1.0029,1.0032,33660.0
2020-01-01 12:00:00,1.0032,1.0035,1.0029,1.0034,34475.03
2020-01-01 13:00:00,1.0031,1.0034,1.003,1.003,18123.34
2020-01-01 14:00:00,1.003,1.0034,1.0024,1.0032,19607.13
2020-01-01 15:00:00,1.0034,1.0037,1.003,1.0034,51004.6
2020-01-01 16:00:00,1.003,1.0037,1.0021,1.0036,71396.0
2020-01-01 17:00:00,1.0034,1.0038,1.0026,1.0031,73454.54
2020-01-01 18:00:00,1.003,1.0031,1.0023,1.0027,13541.81
2020-01-01 19:00:00,1.0026,1.0028,1.0023,1.0026,19861.48
2020-01-01 20:00:00,1.0026,1.0029,1.0022,1.0029,28514.67
2020-01-01 21:00:00,1.0026,1.0033,1.0026,1.0033,14876.25
2020-01-01 22:00:00,1.003,1.0038,1.003,1.0035,37869.76
2020-01-01 23:00:00,1.0035,1.0037,1.0031,1.0031,24413.42
2020-01-02 00:00:00,1.0031,1.0033,1.0027,1.0029,22950.68
2020-01-02 01:00:00,1.0033,1.0039,1.0029,1.0038,50510.16
2020-01-02 02:00:00,1.0035,1.0038,1.0031,1.0033,63492.98
2020-01-02 03:00:00,1.0033,1.0038,1.003,1.0037,235435.66
2020-01-02 04:00:00,1.0037,1.0043,1.0034,1.0037,175544.04
2020-01-02 05:00:00,1.0037,1.004,1.0033,1.0037,85902.32
2020-01-02 06:00:00,1.0037,1.004,1.0034,1.0039,64209.16
2020-01-02 07:00:00,1.004,1.0043,1.003,1.003,400738.48
2020-01-02 08:00:00,1.003,1.0039,1.003,1.0034,178384.01
2020-01-02 09:00:00,1.0036,1.0036,1.003,1.0035,77513.38
2020-01-02 10:00:00,1.0034,1.0036,1.0031,1.0032,82718.33
2020-01-02 11:00:00,1.0035,1.0041,1.0032,1.0037,27535.12
2020-01-02 12:00:00,1.0037,1.0039,1.0033,1.0035,27161.48
2020-01-02 13:00:00,1.0035,1.0038,1.0029,1.003,44895.54
2020-01-02 14:00:00,1.0034,1.0035,1.0027,1.0028,93433.74
2020-01-02 15:00:00,1.0028,1.0038,1.0027,1.0031,277445.12
2020-01-02 16:00:00,1.0031,1.0043,1.0029,1.0034,263458.07
2020-01-02 17:00:00,1.0034,1.0044,1.0028,1.0032,157179.31
2020-01-02 18:00:00,1.0028,1.0032,1.0024,1.0028,27009.55
2020-01-02 19:00:00,1.0027,1.0033,1.0026,1.0029,26820.49
2020-01-02 20:00:00,1.0029,1.0033,1.0027,1.0027,37616.08
2020-01-02 21:00:00,1.0028,1.0039,1.0027,1.0033,86942.85
2020-01-02 22:00:00,1.0032,1.0034,1.0027,1.0031,26654.69
2020-01-02 23:00:00,1.0032,1.0032,1.0026,1.0031,63382.44
2020-01-03 00:00:00,1.0027,1.0034,1.0027,1.0031,56191.07
2020-01-03 01:00:00,1.0029,1.004,1.0026,1.0033,122546.93
