index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,27.82,27.96,27.79,27.93,1904.17231
2019-12-31 17:00:00,27.93,27.93,27.66,27.71,417.53339
2019-12-31 18:00:00,27.71,27.73,27.62,27.7,616.62249
2019-12-31 19:00:00,27.69,27.71,27.62,27.66,400.1391
2019-12-31 20:00:00,27.66,27.66,27.48,27.61,1653.31065
2019-12-31 21:00:00,27.6,27.66,27.57,27.64,378.23034
2019-12-31 22:00:00,27.62,27.64,27.57,27.6,248.70745
2019-12-31 23:00:00,27.6,27.6,27.47,27.54,1377.58725
2020-01-01 00:00:00,27.52,27.52,27.39,27.43,663.89166
2020-01-01 01:00:00,27.41,27.71,27.37,27.67,2411.73918
2020-01-01 02:00:00,27.68,27.81,27.64,27.71,1797.80382
2020-01-01 03:00:00,27.71,27.71,27.56,27.66,1164.70437
2020-01-01 04:00:00,27.66,27.67,27.62,27.63,80.54677
2020-01-01 05:00:00,27.63,27.67,27.62,27.67,66.32149
2020-01-01 06:00:00,27.66,27.78,27.64,27.66,293.65834
2020-01-01 07:00:00,27.67,27.89,27.62,27.81,1456.42412
2020-01-01 08:00:00,27.8,27.86,27.69,27.86,612.57081
2020-01-01 09:00:00,27.85,27.88,27.75,27.75,252.94945
2020-01-01 10:00:00,27.74,27.85,27.74,27.78,183.79899
2020-01-01 11:00:00,27.8,27.99,27.79,27.82,1192.66642
2020-01-01 12:00:00,27.84,27.96,27.76,27.94,226.86225
2020-01-01 13:00:00,27.94,27.98,27.87,27.97,366.92252
2020-01-01 14:00:00,27.97,27.99,27.83,27.86,928.40721
2020-01-01 15:00:00,27.86,27.92,27.79,27.91,628.20154
2020-01-01 16:00:00,27.9,28.03,27.86,28.03,1639.40906
2020-01-01 17:00:00,28.04,28.2,28.02,28.14,556.40822
2020-01-01 18:00:00,28.14,28.3,28.14,28.26,2402.19304
2020-01-01 19:00:00,28.25,28.35,28.2,28.27,860.55867
2020-01-01 20:00:00,28.27,28.32,28.25,28.28,415.63041
2020-01-01 21:00:00,28.25,28.31,28.15,28.24,1102.93503
2020-01-01 22:00:00,28.22,28.22,28.0,28.07,691.54674
2020-01-01 23:00:00,28.06,28.1,27.98,28.07,1933.48058
2020-01-02 00:00:00,28.06,28.1,27.98,28.01,594.48352
2020-01-02 01:00:00,28.01,28.01,27.87,27.95,975.53534
2020-01-02 02:00:00,27.95,27.95,27.73,27.83,1589.33259
2020-01-02 03:00:00,27.83,27.83,27.63,27.64,713.91483
2020-01-02 04:00:00,27.64,27.73,27.59,27.68,681.0592
2020-01-02 05:00:00,27.68,27.72,27.66,27.67,192.85597
2020-01-02 06:00:00,27.66,27.72,27.64,27.7,72.23818
2020-01-02 07:00:00,27.7,27.7,27.53,27.55,883.90934
2020-01-02 08:00:00,27.57,27.71,27.56,27.71,560.66447
2020-01-02 09:00:00,27.71,27.75,27.6,27.64,794.15217
2020-01-02 10:00:00,27.64,27.72,27.59,27.66,528.43755
2020-01-02 11:00:00,27.66,27.7,27.57,27.59,740.90456
2020-01-02 12:00:00,27.58,27.69,27.54,27.56,814.7036
2020-01-02 13:00:00,27.55,27.59,27.4,27.56,1074.64693
2020-01-02 14:00:00,27.55,27.63,27.51,27.53,1001.79845
2020-01-02 15:00:00,27.54,27.56,27.36,27.44,432.30812
2020-01-02 16:00:00,27.44,27.48,27.01,27.04,3043.85192
2020-01-02 17:00:00,27.03,27.03,26.64,26.72,3588.61696
2020-01-02 18:00:00,26.72,26.89,26.66,26.86,1090.32156
2020-01-02 19:00:00,26.88,26.92,26.83,26.87,241.0963
2020-01-02 20:00:00,26.87,27.06,26.83,26.92,3241.10862
2020-01-02 21:00:00,26.92,27.08,26.9,27.04,527.60028
2020-01-02 22:00:00,27.04,27.19,26.97,27.15,936.75606
2020-01-02 23:00:00,27.15,27.15,26.96,27.02,1843.29747
2020-01-03 00:00:00,27.02,27.02,26.87,26.91,911.41756
2020-01-03 01:00:00,26.92,26.95,26.75,26.8,1610.6842
2020-01-03 02:00:00,26.82,27.04,26.8,27.04,666.13147
2020-01-03 03:00:00,27.02,27.06,26.84,26.9,580.83722
2020-01-03 04:00:00,26.9,27.82,26.9,27.23,6125.82401
2020-01-03 05:00:00,27.23,27.44,27.17,27.39,2810.39339
2020-01-03 06:00:00,27.41,27.41,27.28,27.37,906.28107
2020-01-03 07:00:00,27.37,27.47,27.28,27.32,593.00764
2020-01-03 08:00:00,27.33,27.78,27.32,27.67,2819.38387
2020-01-03 09:00:00,27.68,27.95,27.68,27.89,4635.66441
2020-01-03 10:00:00,27.9,27.93,27.72,27.83,974.28308
2020-01-03 11:00:00,27.83,27.91,27.79,27.85,948.82422
2020-01-03 12:00:00,27.85,28.66,27.82,28.38,9909.6516
2020-01-03 13:00:00,28.38,28.5,28.24,28.44,1774.4825
2020-01-03 14:00:00,28.41,28.41,28.03,28.09,1384.4156
2020-01-03 15:00:00,28.09,28.24,28.07,28.23,529.51595
2020-01-03 16:00:00,28.23,28.55,28.16,28.46,4175.30052
2020-01-03 17:00:00,28.45,28.53,28.27,28.45,2618.72342
2020-01-03 18:00:00,28.44,28.52,28.35,28.44,871.1886
2020-01-03 19:00:00,28.44,28.61,28.28,28.58,1330.35165
2020-01-03 20:00:00,28.58,28.69,28.4,28.53,1266.37807
2020-01-03 21:00:00,28.53,28.59,28.27,28.29,1049.54185
2020-01-03 22:00:00,28.29,28.51,28.26,28.48,1133.26456
2020-01-03 23:00:00,28.48,28.57,28.39,28.41,1097.47274
2020-01-04 00:00:00,28.47,28.5,28.22,28.24,1574.9516
2020-01-04 01:00:00,28.24,28.24,28.13,28.2,328.41193
2020-01-04 02:00:00,28.2,28.31,28.19,28.3,360.19971
2020-01-04 03:00:00,28.3,28.36,28.23,28.29,352.27836
2020-01-04 04:00:00,28.3,28.33,28.25,28.3,370.50945
2020-01-04 05:00:00,28.3,28.41,28.27,28.33,957.50891
2020-01-04 06:00:00,28.33,28.47,28.31,28.41,845.90155
2020-01-04 07:00:00,28.4,28.47,28.29,28.38,1292.21367
2020-01-04 08:00:00,28.38,28.41,28.31,28.33,970.95401
2020-01-04 09:00:00,28.32,28.37,28.3,28.33,312.96492
2020-01-04 10:00:00,28.34,28.37,28.21,28.21,3027.12433
2020-01-04 11:00:00,28.23,28.32,28.17,28.3,970.67342
2020-01-04 12:00:00,28.29,28.3,28.15,28.18,468.715
2020-01-04 13:00:00,28.18,28.26,28.15,28.16,929.28589
2020-01-04 14:00:00,28.16,28.21,28.03,28.17,2103.91257
2020-01-04 15:00:00,28.16,28.27,28.1,28.21,359.21309
2020-01-04 16:00:00,28.2,28.23,28.09,28.19,806.09379
2020-01-04 17:00:00,28.18,28.42,28.18,28.39,1063.65569
2020-01-04 18:00:00,28.4,28.63,28.2,28.34,2341.59052
2020-01-04 19:00:00,28.32,29.28,28.27,29.24,6093.67842
2020-01-04 20:00:00,29.26,29.86,29.17,29.62,6325.62329
2020-01-04 21:00:00,29.63,30.4,29.53,30.25,10790.97553
2020-01-04 22:00:00,30.25,30.28,30.09,30.13,1923.64419
2020-01-04 23:00:00,30.13,30.13,29.9,29.91,916.90271
2020-01-05 00:00:00,29.91,30.04,29.81,29.92,2535.03657
2020-01-05 01:00:00,29.93,30.17,29.84,29.98,5190.42022
2020-01-05 02:00:00,29.99,30.08,29.84,29.84,2474.10738
2020-01-05 03:00:00,29.84,30.17,29.83,30.17,3395.28987
2020-01-05 04:00:00,30.17,30.68,30.05,30.44,6514.85237
2020-01-05 05:00:00,30.44,31.08,30.09,30.85,13261.77275
2020-01-05 06:00:00,30.85,30.86,30.32,30.42,2262.77736
2020-01-05 07:00:00,30.41,30.89,30.32,30.84,2609.94828
2020-01-05 08:00:00,30.83,30.85,30.19,30.28,4313.65518
2020-01-05 09:00:00,30.28,30.34,30.15,30.3,2238.80799
2020-01-05 10:00:00,30.3,30.55,30.24,30.3,2649.74377
2020-01-05 11:00:00,30.28,30.72,30.28,30.62,2013.11894
2020-01-05 12:00:00,30.62,30.74,30.43,30.66,3455.88982
2020-01-05 13:00:00,30.65,30.78,30.54,30.58,2369.96977
2020-01-05 14:00:00,30.58,30.66,30.51,30.59,1427.4945
2020-01-05 15:00:00,30.58,31.05,30.56,31.0,2860.82369
2020-01-05 16:00:00,30.99,31.9,30.95,31.54,7578.90408
2020-01-05 17:00:00,31.54,31.89,31.23,31.85,4693.59206
2020-01-05 18:00:00,31.85,32.01,31.2,31.4,8653.67187
2020-01-05 19:00:00,31.41,31.47,31.35,31.42,793.61268
2020-01-05 20:00:00,31.42,31.42,31.25,31.37,1721.5742
2020-01-05 21:00:00,31.36,31.36,30.73,30.79,3269.61361
2020-01-05 22:00:00,30.78,31.01,30.66,30.74,2277.71618
2020-01-05 23:00:00,30.75,30.81,30.51,30.81,1872.38175
2020-01-06 00:00:00,30.81,30.83,30.5,30.59,2076.77516
2020-01-06 01:00:00,30.59,30.88,30.59,30.86,2230.96594
2020-01-06 02:00:00,30.86,31.59,30.86,31.57,5194.37355
2020-01-06 03:00:00,31.58,31.66,31.34,31.63,4098.36396
2020-01-06 04:00:00,31.66,31.75,31.5,31.58,1367.66005
2020-01-06 05:00:00,31.59,31.65,31.45,31.6,1872.49304
2020-01-06 06:00:00,31.6,32.31,31.56,32.07,7262.67789
2020-01-06 07:00:00,32.06,32.22,32.03,32.08,1595.94528
2020-01-06 08:00:00,32.08,32.69,32.06,32.69,1678.0969
2020-01-06 09:00:00,32.69,32.77,32.29,32.77,3414.16606
2020-01-06 10:00:00,32.77,33.25,32.77,33.06,4656.04097
2020-01-06 11:00:00,33.06,33.07,32.26,32.34,3750.29281
2020-01-06 12:00:00,32.35,32.74,32.3,32.72,2108.6987
2020-01-06 13:00:00,32.72,32.93,31.73,31.8,13077.15655
2020-01-06 14:00:00,31.81,32.1,31.68,31.97,8038.07919
2020-01-06 15:00:00,31.97,32.0,31.59,31.6,4193.35453
2020-01-06 16:00:00,31.6,31.95,31.59,31.93,3080.0076
2020-01-06 17:00:00,31.93,32.4,31.91,32.13,3114.78917
2020-01-06 18:00:00,32.12,32.12,31.89,32.0,1322.00844
2020-01-06 19:00:00,32.02,32.07,31.98,32.07,479.48821
2020-01-06 20:00:00,32.07,32.48,32.07,32.44,1490.34438
2020-01-06 21:00:00,32.43,32.56,32.27,32.29,1734.00975
2020-01-06 22:00:00,32.3,32.87,32.28,32.44,3505.81336
2020-01-06 23:00:00,32.45,32.97,32.42,32.86,4683.49195
2020-01-07 00:00:00,32.86,33.21,32.51,32.58,8368.1645
2020-01-07 01:00:00,32.58,32.77,32.4,32.51,2187.41968
2020-01-07 02:00:00,32.51,32.55,32.36,32.36,1717.33024
2020-01-07 03:00:00,32.36,32.4,32.02,32.03,3195.79982
2020-01-07 04:00:00,32.01,32.08,31.47,31.56,3601.12964
2020-01-07 05:00:00,31.55,31.87,31.31,31.86,2323.21196
2020-01-07 06:00:00,31.84,31.92,31.71,31.86,2790.43904
2020-01-07 07:00:00,31.85,32.09,31.63,31.79,7146.30573
2020-01-07 08:00:00,31.78,32.07,31.75,32.02,1726.38071
2020-01-07 09:00:00,32.01,32.05,31.69,31.78,2597.77497
2020-01-07 10:00:00,31.8,32.05,31.79,32.04,881.38974
2020-01-07 11:00:00,32.03,32.25,31.94,31.94,2416.0416
2020-01-07 12:00:00,31.94,32.1,31.64,31.87,3541.00933
2020-01-07 13:00:00,31.87,31.87,31.35,31.56,5718.55299
2020-01-07 14:00:00,31.5,31.67,31.25,31.45,4613.98712
2020-01-07 15:00:00,31.44,31.48,30.8,30.88,8232.38528
2020-01-07 16:00:00,30.86,31.72,30.72,31.6,7273.8603
2020-01-07 17:00:00,31.59,31.69,31.42,31.66,2370.02629
2020-01-07 18:00:00,31.66,31.79,31.49,31.5,3511.79041
2020-01-07 19:00:00,31.5,32.02,31.5,31.85,9280.58072
2020-01-07 20:00:00,31.85,32.22,31.76,32.21,1716.26992
2020-01-07 21:00:00,32.2,32.51,31.74,32.1,9799.27838
2020-01-07 22:00:00,32.08,32.12,31.84,31.97,851.53071
2020-01-07 23:00:00,31.99,32.55,31.96,32.24,1436.70099
2020-01-08 00:00:00,32.24,33.14,32.19,33.07,4694.1233
