index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,206.47,207.8,206.09,207.57,1297.34276
2019-12-31 16:30:00,207.56,207.88,206.67,206.67,940.09227
2019-12-31 17:00:00,206.71,207.13,206.01,206.24,1053.28062
2019-12-31 17:30:00,206.27,206.33,203.79,204.07,6802.56627
2019-12-31 18:00:00,204.05,204.83,202.48,204.69,3171.58047
2019-12-31 18:30:00,204.62,204.63,202.75,203.06,1731.21134
2019-12-31 19:00:00,203.12,203.57,202.39,203.21,776.63344
2019-12-31 19:30:00,203.15,203.7,202.99,203.29,479.5899
2019-12-31 20:00:00,203.33,203.62,201.73,202.32,961.58368
2019-12-31 20:30:00,202.29,203.11,201.95,203.0,772.36836
2019-12-31 21:00:00,202.85,204.09,202.69,203.86,402.60315
2019-12-31 21:30:00,203.89,204.17,203.65,204.0,171.9629
2019-12-31 22:00:00,204.0,204.29,203.85,204.24,912.40344
2019-12-31 22:30:00,204.26,205.2,204.16,204.72,1004.71185
2019-12-31 23:00:00,204.54,204.96,204.13,204.35,337.51359
2019-12-31 23:30:00,204.17,205.21,203.85,204.52,828.82365
2020-01-01 00:00:00,204.57,204.59,203.5,203.95,567.51941
2020-01-01 00:30:00,203.9,204.67,203.9,204.43,305.82843
2020-01-01 01:00:00,204.46,207.17,204.29,206.6,1973.49797
2020-01-01 01:30:00,206.68,207.15,205.98,206.19,1011.66714
2020-01-01 02:00:00,206.25,207.43,206.16,206.89,452.98128
2020-01-01 02:30:00,207.02,207.88,206.78,207.38,616.90026
2020-01-01 03:00:00,207.33,207.33,206.06,207.15,1297.25297
2020-01-01 03:30:00,207.16,207.16,205.45,205.71,628.06049
2020-01-01 04:00:00,205.71,205.94,205.21,205.44,673.01936
2020-01-01 04:30:00,205.41,207.06,205.38,206.2,862.29743
2020-01-01 05:00:00,206.2,206.85,206.1,206.37,266.05151
2020-01-01 05:30:00,206.36,206.73,206.21,206.54,229.58155
2020-01-01 06:00:00,206.58,207.48,206.5,207.48,606.3133
2020-01-01 06:30:00,207.36,207.37,206.69,207.01,259.13904
2020-01-01 07:00:00,207.06,207.5,206.81,207.31,1065.85711
2020-01-01 07:30:00,207.34,207.34,206.22,206.59,818.54432
2020-01-01 08:00:00,206.56,206.56,204.94,205.55,1510.95997
2020-01-01 08:30:00,205.58,206.21,205.33,206.21,528.23709
2020-01-01 09:00:00,206.13,206.74,205.64,205.82,583.27199
2020-01-01 09:30:00,205.98,206.02,205.1,205.27,508.33413
2020-01-01 10:00:00,205.26,206.7,205.01,206.61,658.32785
2020-01-01 10:30:00,206.6,206.72,206.29,206.42,260.78225
2020-01-01 11:00:00,206.41,209.0,206.32,208.36,3576.53023
2020-01-01 11:30:00,208.31,208.51,205.5,205.96,2095.75175
2020-01-01 12:00:00,205.96,207.56,205.95,206.93,668.92554
2020-01-01 12:30:00,207.02,207.43,206.77,207.23,191.3447
2020-01-01 13:00:00,207.27,207.36,206.74,207.06,492.65378
2020-01-01 13:30:00,207.07,207.7,206.92,207.05,603.36339
2020-01-01 14:00:00,207.08,207.31,205.7,207.2,1613.88756
2020-01-01 14:30:00,207.12,207.45,205.87,206.26,913.88425
2020-01-01 15:00:00,206.25,207.0,205.53,205.87,1278.84899
2020-01-01 15:30:00,205.86,207.39,205.3,206.06,1496.46366
2020-01-01 16:00:00,206.07,206.8,205.56,205.96,952.26667
2020-01-01 16:30:00,205.98,207.1,205.75,207.08,672.15301
2020-01-01 17:00:00,207.1,207.1,206.02,206.84,1006.20917
2020-01-01 17:30:00,206.79,206.79,206.14,206.44,270.0949
2020-01-01 18:00:00,206.44,206.84,206.0,206.0,297.1002
2020-01-01 18:30:00,205.93,206.47,205.56,206.22,391.28595
2020-01-01 19:00:00,206.17,206.17,205.25,205.29,499.49292
2020-01-01 19:30:00,205.34,205.74,205.17,205.27,543.56829
2020-01-01 20:00:00,205.32,206.77,205.22,206.74,781.94001
2020-01-01 20:30:00,206.7,207.0,205.9,206.48,1164.11569
2020-01-01 21:00:00,206.47,206.47,205.61,205.81,1345.35394
2020-01-01 21:30:00,205.87,205.96,205.25,205.71,1962.30777
2020-01-01 22:00:00,205.66,205.66,205.09,205.19,1181.11985
2020-01-01 22:30:00,205.19,205.28,204.22,204.86,956.0595
2020-01-01 23:00:00,204.83,204.87,203.1,204.31,1970.13408
2020-01-01 23:30:00,204.22,204.59,203.81,204.44,625.67785
2020-01-02 00:00:00,204.43,204.48,203.7,204.24,626.9697
2020-01-02 00:30:00,204.25,205.53,204.25,204.94,657.52162
2020-01-02 01:00:00,204.94,204.98,204.6,204.72,248.90027
2020-01-02 01:30:00,204.75,204.95,204.3,204.4,483.59271
2020-01-02 02:00:00,204.38,204.38,202.92,203.21,5088.71715
2020-01-02 02:30:00,203.18,203.68,202.89,203.52,1228.62952
2020-01-02 03:00:00,203.47,203.47,202.2,202.36,2143.59085
2020-01-02 03:30:00,202.35,202.69,200.55,201.08,3396.39292
2020-01-02 04:00:00,201.06,202.45,200.63,201.79,2238.77399
2020-01-02 04:30:00,201.77,202.33,201.22,201.88,717.31305
2020-01-02 05:00:00,201.9,202.52,201.37,202.48,605.59592
2020-01-02 05:30:00,202.38,202.62,201.7,202.27,365.00662
2020-01-02 06:00:00,202.25,202.74,201.98,202.51,281.55191
2020-01-02 06:30:00,202.54,202.54,201.3,201.92,1072.02007
2020-01-02 07:00:00,201.94,202.09,201.0,201.11,920.72312
2020-01-02 07:30:00,201.15,202.24,200.84,201.56,1446.69212
2020-01-02 08:00:00,201.54,203.38,201.54,202.74,1772.84949
2020-01-02 08:30:00,202.68,203.33,202.23,203.28,733.07909
2020-01-02 09:00:00,203.29,203.43,202.7,203.01,840.24865
2020-01-02 09:30:00,202.89,203.5,202.57,203.36,537.19799
2020-01-02 10:00:00,203.37,204.01,203.37,203.92,881.00237
2020-01-02 10:30:00,203.9,204.01,203.02,203.5,1074.58071
2020-01-02 11:00:00,203.48,203.7,202.92,203.07,678.35348
2020-01-02 11:30:00,203.09,203.09,202.29,202.34,605.28144
2020-01-02 12:00:00,202.2,203.46,202.2,203.0,377.96456
2020-01-02 12:30:00,203.01,203.32,202.41,203.32,500.89137
2020-01-02 13:00:00,203.28,203.95,202.85,203.01,734.15741
2020-01-02 13:30:00,203.01,203.08,201.38,202.44,1210.57516
2020-01-02 14:00:00,202.45,202.78,202.02,202.75,764.02
2020-01-02 14:30:00,202.78,204.25,202.63,202.93,2019.62898
2020-01-02 15:00:00,202.93,203.94,202.87,202.9,891.30897
2020-01-02 15:30:00,202.82,202.96,202.08,202.58,522.16859
2020-01-02 16:00:00,202.55,203.3,201.43,201.69,1297.26567
2020-01-02 16:30:00,201.77,202.1,198.32,199.18,4679.09323
2020-01-02 17:00:00,199.12,199.12,195.64,196.69,9535.73359
2020-01-02 17:30:00,196.65,197.36,195.75,197.12,4061.81531
2020-01-02 18:00:00,197.16,197.25,196.44,196.74,941.42426
2020-01-02 18:30:00,196.72,197.21,196.5,196.75,855.36421
2020-01-02 19:00:00,196.79,197.03,195.86,196.17,1695.7593
2020-01-02 19:30:00,196.16,196.59,196.02,196.13,574.95382
2020-01-02 20:00:00,196.14,196.22,192.8,193.6,4541.95329
2020-01-02 20:30:00,193.59,196.81,193.59,194.85,4916.70502
2020-01-02 21:00:00,194.85,194.86,193.57,194.54,2683.77441
2020-01-02 21:30:00,194.52,195.12,194.5,194.85,703.44029
2020-01-02 22:00:00,194.82,195.01,194.5,194.84,409.0889
2020-01-02 22:30:00,194.81,195.57,194.7,195.48,672.35247
2020-01-02 23:00:00,195.39,195.57,194.74,195.25,1902.7234
2020-01-02 23:30:00,195.37,196.08,195.26,195.49,1344.39353
2020-01-03 00:00:00,195.49,195.97,194.55,194.76,1991.4387
2020-01-03 00:30:00,194.72,195.02,193.6,194.31,667.65836
2020-01-03 01:00:00,194.31,194.45,193.4,194.15,1343.4638
2020-01-03 01:30:00,194.17,194.22,191.9,192.28,2097.39362
2020-01-03 02:00:00,192.34,194.85,191.9,194.48,2797.55104
2020-01-03 02:30:00,194.48,195.97,194.44,195.58,1937.31157
2020-01-03 03:00:00,195.58,195.84,194.94,195.27,1202.77112
2020-01-03 03:30:00,195.26,195.59,194.8,195.56,569.95326
2020-01-03 04:00:00,195.57,197.22,195.51,196.6,2403.68107
2020-01-03 04:30:00,196.59,205.32,196.58,203.04,24126.10115
2020-01-03 05:00:00,203.14,204.71,202.25,202.62,5075.12886
2020-01-03 05:30:00,202.72,204.44,202.45,204.2,2768.66381
2020-01-03 06:00:00,204.16,204.34,203.05,204.19,5881.54805
2020-01-03 06:30:00,204.27,208.0,204.07,205.69,8257.20249
2020-01-03 07:00:00,205.82,208.0,205.36,207.54,4898.52641
2020-01-03 07:30:00,207.56,207.56,205.28,206.06,5012.8803
2020-01-03 08:00:00,206.01,207.06,205.46,206.13,2927.57743
2020-01-03 08:30:00,206.16,211.31,206.12,210.61,10409.57021
2020-01-03 09:00:00,210.61,214.26,210.46,212.15,7479.99111
2020-01-03 09:30:00,212.11,215.35,211.67,214.0,7557.1978
2020-01-03 10:00:00,213.96,214.6,212.15,212.36,5712.58254
2020-01-03 10:30:00,212.52,213.0,211.5,212.42,5639.13326
2020-01-03 11:00:00,212.41,214.75,212.08,212.66,4109.98114
2020-01-03 11:30:00,212.68,214.0,212.33,213.73,2157.92307
2020-01-03 12:00:00,213.74,214.79,213.16,214.16,2825.60122
2020-01-03 12:30:00,214.01,214.07,212.88,213.37,2800.77514
2020-01-03 13:00:00,213.46,214.49,213.19,214.37,1830.31429
2020-01-03 13:30:00,214.29,219.0,214.0,216.87,11298.70799
2020-01-03 14:00:00,216.9,217.47,212.58,212.96,11869.37274
2020-01-03 14:30:00,212.91,213.75,212.36,212.39,2525.81349
2020-01-03 15:00:00,212.37,214.5,212.37,214.11,1967.69392
2020-01-03 15:30:00,214.09,216.8,214.0,216.44,7360.14895
2020-01-03 16:00:00,216.51,223.84,215.55,222.45,23681.99311
2020-01-03 16:30:00,222.48,224.0,221.53,223.57,8342.80145
2020-01-03 17:00:00,223.62,226.0,220.12,221.41,10871.81525
2020-01-03 17:30:00,221.27,222.83,220.86,221.32,3880.97769
2020-01-03 18:00:00,221.45,222.0,220.0,221.09,3545.12601
2020-01-03 18:30:00,221.09,221.72,220.36,220.61,2196.79817
2020-01-03 19:00:00,220.53,220.7,217.18,219.62,5905.0421
2020-01-03 19:30:00,219.79,221.46,219.31,221.45,1795.30869
2020-01-03 20:00:00,221.45,221.81,219.06,219.96,2354.2388
