index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,1.7854,1.7984,1.7842,1.795,42078.46
2019-12-31 16:30:00,1.795,1.798,1.7869,1.79,23914.42
2019-12-31 17:00:00,1.7904,1.791,1.7811,1.7828,77651.1
2019-12-31 17:30:00,1.7857,1.7862,1.7548,1.7619,203180.47
2019-12-31 18:00:00,1.7619,1.7697,1.754,1.7697,69144.49
2019-12-31 18:30:00,1.7656,1.7661,1.7554,1.7584,33811.0
2019-12-31 19:00:00,1.7578,1.763,1.7542,1.7594,30140.44
2019-12-31 19:30:00,1.7585,1.7723,1.7583,1.7676,19617.54
2019-12-31 20:00:00,1.7675,1.7675,1.7611,1.7647,11542.84
2019-12-31 20:30:00,1.7648,1.7716,1.7598,1.7629,21403.47
2019-12-31 21:00:00,1.7625,1.7655,1.7597,1.7641,15561.13
2019-12-31 21:30:00,1.7642,1.7689,1.763,1.7689,10253.45
2019-12-31 22:00:00,1.7668,1.774,1.7639,1.7722,52234.04
2019-12-31 22:30:00,1.7705,1.7708,1.7673,1.7693,11935.04
2019-12-31 23:00:00,1.7693,1.7729,1.7653,1.7656,25873.01
2019-12-31 23:30:00,1.7657,1.7704,1.7641,1.7673,10226.5
2020-01-01 00:00:00,1.7678,1.772,1.7606,1.7651,12972.87
2020-01-01 00:30:00,1.7677,1.7677,1.7638,1.7638,772.12
2020-01-01 01:00:00,1.7639,1.7796,1.7639,1.7789,12481.99
2020-01-01 01:30:00,1.7809,1.7856,1.7789,1.7831,16269.67
2020-01-01 02:00:00,1.7853,1.7939,1.7839,1.7908,7519.72
2020-01-01 02:30:00,1.7907,1.8019,1.7887,1.8004,8499.11
2020-01-01 03:00:00,1.8007,1.8033,1.7931,1.8014,14174.95
2020-01-01 03:30:00,1.799,1.8005,1.7927,1.7932,2297.15
2020-01-01 04:00:00,1.794,1.7942,1.7865,1.7934,10697.39
2020-01-01 04:30:00,1.7933,1.8044,1.7933,1.7968,19649.89
2020-01-01 05:00:00,1.8004,1.8051,1.7953,1.8003,16366.89
2020-01-01 05:30:00,1.8003,1.8037,1.7989,1.8031,11767.06
2020-01-01 06:00:00,1.8011,1.8026,1.7981,1.7981,3003.01
2020-01-01 06:30:00,1.7976,1.7976,1.7895,1.792,14364.64
2020-01-01 07:00:00,1.7894,1.7941,1.786,1.7941,7943.38
2020-01-01 07:30:00,1.7939,1.794,1.7843,1.7857,9617.66
2020-01-01 08:00:00,1.7865,1.7866,1.7817,1.7858,15186.0
2020-01-01 08:30:00,1.7824,1.7866,1.7823,1.7866,2153.04
2020-01-01 09:00:00,1.7881,1.7969,1.7822,1.7969,68672.32
2020-01-01 09:30:00,1.7973,1.8161,1.7909,1.8054,66688.47
2020-01-01 10:00:00,1.8053,1.8099,1.7984,1.7993,24923.47
2020-01-01 10:30:00,1.8012,1.8022,1.7939,1.798,24242.52
2020-01-01 11:00:00,1.7967,1.8112,1.7903,1.8112,16681.8
2020-01-01 11:30:00,1.812,1.8224,1.8115,1.8153,56024.33
2020-01-01 12:00:00,1.8153,1.8233,1.8116,1.8204,16900.21
2020-01-01 12:30:00,1.8204,1.8248,1.8137,1.8226,33608.54
2020-01-01 13:00:00,1.8225,1.8248,1.8142,1.8187,16861.37
2020-01-01 13:30:00,1.8181,1.8213,1.8142,1.8184,13613.13
2020-01-01 14:00:00,1.8189,1.8253,1.815,1.8251,20083.11
2020-01-01 14:30:00,1.8252,1.8418,1.8247,1.8404,57543.49
2020-01-01 15:00:00,1.8404,1.85,1.8373,1.8478,115987.9
2020-01-01 15:30:00,1.8489,1.8548,1.8355,1.8392,68019.17
2020-01-01 16:00:00,1.841,1.8446,1.8267,1.8334,53117.06
2020-01-01 16:30:00,1.8322,1.8446,1.8303,1.8446,20834.01
2020-01-01 17:00:00,1.845,1.8525,1.836,1.8468,24432.07
2020-01-01 17:30:00,1.846,1.8469,1.831,1.8387,36283.96
2020-01-01 18:00:00,1.8367,1.838,1.8255,1.8255,27487.4
2020-01-01 18:30:00,1.8267,1.8327,1.8222,1.8272,28029.3
2020-01-01 19:00:00,1.828,1.8299,1.8211,1.825,16031.85
2020-01-01 19:30:00,1.8224,1.8229,1.815,1.8201,38108.39
2020-01-01 20:00:00,1.8201,1.825,1.817,1.818,27441.46
2020-01-01 20:30:00,1.8207,1.821,1.8163,1.821,5100.39
2020-01-01 21:00:00,1.8185,1.8185,1.8134,1.8169,12467.89
2020-01-01 21:30:00,1.8154,1.8221,1.8143,1.8203,17480.18
2020-01-01 22:00:00,1.8203,1.8203,1.8093,1.8093,10558.11
2020-01-01 22:30:00,1.8092,1.8102,1.8034,1.8079,24216.84
2020-01-01 23:00:00,1.8056,1.8068,1.8006,1.8025,15908.19
2020-01-01 23:30:00,1.8021,1.8122,1.8013,1.8111,15664.85
2020-01-02 00:00:00,1.8109,1.8121,1.8029,1.8047,7618.74
2020-01-02 00:30:00,1.8025,1.8139,1.8024,1.8126,9323.68
2020-01-02 01:00:00,1.8095,1.8164,1.8049,1.8133,13052.55
2020-01-02 01:30:00,1.8106,1.8123,1.801,1.8045,9489.99
2020-01-02 02:00:00,1.803,1.804,1.792,1.792,22036.56
2020-01-02 02:30:00,1.7921,1.7956,1.792,1.7928,1793.72
2020-01-02 03:00:00,1.7928,1.7932,1.7869,1.793,11010.64
2020-01-02 03:30:00,1.7929,1.7932,1.7747,1.7832,48698.88
2020-01-02 04:00:00,1.7807,1.7907,1.779,1.7888,18132.36
2020-01-02 04:30:00,1.7889,1.7909,1.7847,1.787,17470.06
2020-01-02 05:00:00,1.7863,1.7906,1.7845,1.7868,11916.49
2020-01-02 05:30:00,1.7859,1.7905,1.7849,1.7905,12038.4
2020-01-02 06:00:00,1.7875,1.7892,1.7834,1.7834,16950.43
2020-01-02 06:30:00,1.7875,1.7876,1.784,1.785,4055.42
2020-01-02 07:00:00,1.7875,1.7902,1.784,1.7841,22718.0
2020-01-02 07:30:00,1.7848,1.7904,1.7848,1.7888,10009.17
2020-01-02 08:00:00,1.7888,1.8027,1.787,1.7998,31657.78
2020-01-02 08:30:00,1.8,1.804,1.7992,1.8033,8003.1
2020-01-02 09:00:00,1.8044,1.8052,1.8003,1.8028,4023.36
2020-01-02 09:30:00,1.8027,1.8042,1.8005,1.8037,11257.8
2020-01-02 10:00:00,1.8039,1.8081,1.8016,1.8078,6897.44
2020-01-02 10:30:00,1.8063,1.8074,1.8,1.8062,28390.39
2020-01-02 11:00:00,1.8063,1.8091,1.7993,1.7993,14038.32
2020-01-02 11:30:00,1.7993,1.8029,1.7976,1.7979,7889.25
2020-01-02 12:00:00,1.7976,1.7995,1.7926,1.7942,20681.94
2020-01-02 12:30:00,1.7963,1.797,1.7946,1.7954,1543.57
2020-01-02 13:00:00,1.7955,1.7956,1.7936,1.7938,10088.87
2020-01-02 13:30:00,1.7938,1.7938,1.785,1.792,41206.59
2020-01-02 14:00:00,1.792,1.7933,1.7874,1.793,4582.43
2020-01-02 14:30:00,1.793,1.8037,1.7911,1.8,19712.67
2020-01-02 15:00:00,1.7993,1.805,1.7971,1.8016,24925.03
2020-01-02 15:30:00,1.8006,1.8011,1.7982,1.7985,5527.04
2020-01-02 16:00:00,1.7983,1.8041,1.7977,1.8037,19211.84
2020-01-02 16:30:00,1.8051,1.8057,1.7701,1.7732,103894.64
2020-01-02 17:00:00,1.7729,1.7739,1.7314,1.7358,262273.38
2020-01-02 17:30:00,1.7375,1.7459,1.7321,1.7426,64906.35
2020-01-02 18:00:00,1.7402,1.7452,1.7314,1.7435,57780.29
2020-01-02 18:30:00,1.744,1.7459,1.7334,1.7351,46131.93
2020-01-02 19:00:00,1.7347,1.7353,1.7259,1.7289,102385.42
2020-01-02 19:30:00,1.7307,1.7374,1.7307,1.7322,23986.88
2020-01-02 20:00:00,1.7322,1.7332,1.7065,1.7113,82257.54
2020-01-02 20:30:00,1.7121,1.725,1.7121,1.717,37679.05
2020-01-02 21:00:00,1.717,1.7381,1.7165,1.7323,69397.84
2020-01-02 21:30:00,1.7323,1.7391,1.7235,1.7322,19335.59
2020-01-02 22:00:00,1.7323,1.7329,1.7264,1.7319,11248.79
2020-01-02 22:30:00,1.7316,1.7339,1.728,1.7329,4918.28
2020-01-02 23:00:00,1.7329,1.7344,1.7277,1.7311,13391.49
2020-01-02 23:30:00,1.728,1.7421,1.7246,1.7366,27452.31
2020-01-03 00:00:00,1.7366,1.7373,1.7327,1.7327,6112.11
2020-01-03 00:30:00,1.7335,1.7339,1.7162,1.7176,31991.75
2020-01-03 01:00:00,1.719,1.7191,1.7042,1.7104,94782.88
2020-01-03 01:30:00,1.7108,1.7108,1.7013,1.7047,31662.78
2020-01-03 02:00:00,1.7017,1.7207,1.7016,1.7207,75161.45
2020-01-03 02:30:00,1.719,1.74,1.7189,1.7285,118172.72
2020-01-03 03:00:00,1.7289,1.7359,1.7246,1.7359,12513.34
2020-01-03 03:30:00,1.733,1.7354,1.7266,1.7295,20672.63
2020-01-03 04:00:00,1.7295,1.754,1.7293,1.7472,37260.12
2020-01-03 04:30:00,1.7484,1.7946,1.7465,1.7801,126718.41
2020-01-03 05:00:00,1.7801,1.7866,1.7654,1.7742,52811.34
2020-01-03 05:30:00,1.7739,1.7849,1.771,1.7836,25874.3
2020-01-03 06:00:00,1.7838,1.7839,1.77,1.7749,16526.79
2020-01-03 06:30:00,1.7762,1.7778,1.7717,1.7742,8347.58
2020-01-03 07:00:00,1.7744,1.7845,1.7709,1.7832,14328.2
2020-01-03 07:30:00,1.7843,1.7871,1.779,1.7791,17460.02
2020-01-03 08:00:00,1.7815,1.7841,1.7797,1.7841,10751.89
2020-01-03 08:30:00,1.7851,1.8172,1.7834,1.8081,111831.47
2020-01-03 09:00:00,1.8081,1.8154,1.8038,1.8137,44052.77
2020-01-03 09:30:00,1.8117,1.8265,1.8066,1.8257,44312.61
2020-01-03 10:00:00,1.8263,1.8267,1.8111,1.812,43290.02
2020-01-03 10:30:00,1.8109,1.8137,1.7928,1.807,48957.34
2020-01-03 11:00:00,1.807,1.8108,1.8059,1.8089,15796.44
2020-01-03 11:30:00,1.8068,1.8111,1.8061,1.8093,8782.81
2020-01-03 12:00:00,1.8105,1.8144,1.8062,1.8135,27197.89
2020-01-03 12:30:00,1.8105,1.8115,1.7992,1.8066,23185.61
2020-01-03 13:00:00,1.8066,1.8069,1.7989,1.8029,24149.11
2020-01-03 13:30:00,1.8056,1.8173,1.799,1.815,31068.31
2020-01-03 14:00:00,1.8166,1.8178,1.7798,1.788,115906.99
2020-01-03 14:30:00,1.7896,1.7919,1.7845,1.7899,14019.63
2020-01-03 15:00:00,1.7901,1.7939,1.789,1.7908,8699.56
2020-01-03 15:30:00,1.7901,1.8,1.7885,1.7965,26380.4
2020-01-03 16:00:00,1.7965,1.8154,1.7918,1.805,87717.29
2020-01-03 16:30:00,1.8061,1.8101,1.7993,1.8084,36302.12
2020-01-03 17:00:00,1.8083,1.8122,1.8,1.8097,21751.89
2020-01-03 17:30:00,1.8073,1.8133,1.8044,1.8044,16112.39
2020-01-03 18:00:00,1.804,1.8054,1.7958,1.8022,20059.92
2020-01-03 18:30:00,1.8044,1.807,1.8022,1.807,12827.83
2020-01-03 19:00:00,1.8052,1.8199,1.791,1.8143,51993.74
2020-01-03 19:30:00,1.8127,1.8292,1.809,1.8244,67878.88
2020-01-03 20:00:00,1.8234,1.8238,1.8042,1.8085,32264.73
2020-01-03 20:30:00,1.8041,1.8183,1.8028,1.8162,18599.83
2020-01-03 21:00:00,1.8164,1.8166,1.8055,1.8142,20034.12
2020-01-03 21:30:00,1.8113,1.8119,1.7903,1.796,15571.3
2020-01-03 22:00:00,1.7945,1.799,1.7869,1.7899,67224.85
2020-01-03 22:30:00,1.7923,1.8044,1.7878,1.8044,12516.44
2020-01-03 23:00:00,1.8012,1.8112,1.8002,1.809,16578.03
2020-01-03 23:30:00,1.8093,1.8094,1.8,1.804,3401.36
2020-01-04 00:00:00,1.803,1.8069,1.7886,1.7949,93754.17
2020-01-04 00:30:00,1.7935,1.7935,1.784,1.7878,29940.51
2020-01-04 01:00:00,1.7868,1.7932,1.7848,1.7879,28550.74
2020-01-04 01:30:00,1.7879,1.795,1.7849,1.7864,15514.84
2020-01-04 02:00:00,1.7865,1.7975,1.7861,1.7935,7487.16
2020-01-04 02:30:00,1.7898,1.803,1.7893,1.803,19084.4
2020-01-04 03:00:00,1.8032,1.8032,1.7947,1.8004,31488.97
2020-01-04 03:30:00,1.8003,1.8003,1.7973,1.7988,5791.02
2020-01-04 04:00:00,1.7959,1.7978,1.7891,1.7924,7683.08
2020-01-04 04:30:00,1.7924,1.7963,1.7918,1.7962,15806.82
2020-01-04 05:00:00,1.7962,1.8029,1.7926,1.8025,14361.3
2020-01-04 05:30:00,1.8029,1.8064,1.7994,1.7994,8159.29
2020-01-04 06:00:00,1.7985,1.8078,1.7985,1.8033,11393.29
2020-01-04 06:30:00,1.8044,1.8059,1.7964,1.7986,26373.8
2020-01-04 07:00:00,1.7986,1.807,1.7955,1.7962,23603.73
2020-01-04 07:30:00,1.7962,1.8005,1.795,1.8003,6594.69
2020-01-04 08:00:00,1.8001,1.8005,1.7959,1.7961,4184.4
2020-01-04 08:30:00,1.7961,1.8044,1.7961,1.7982,28993.27
2020-01-04 09:00:00,1.7971,1.8,1.7939,1.8,31843.43
2020-01-04 09:30:00,1.8012,1.8114,1.7992,1.8093,22414.44
2020-01-04 10:00:00,1.8095,1.8154,1.8041,1.8083,17805.31
2020-01-04 10:30:00,1.8074,1.811,1.7994,1.7994,24261.48
2020-01-04 11:00:00,1.7994,1.8029,1.7965,1.7965,3732.63
2020-01-04 11:30:00,1.7963,1.8019,1.7935,1.8019,5743.56
2020-01-04 12:00:00,1.8018,1.805,1.797,1.805,6359.2
2020-01-04 12:30:00,1.8021,1.805,1.7897,1.79,9720.83
2020-01-04 13:00:00,1.7934,1.801,1.7882,1.7956,26441.98
2020-01-04 13:30:00,1.7997,1.8066,1.7944,1.8027,27437.5
