index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,0.2335,0.2358,0.2335,0.2354,3296.77
2019-12-31 16:30:00,0.2354,0.2367,0.2344,0.2352,7127.47
2019-12-31 17:00:00,0.2352,0.2358,0.234,0.2352,3807.25
2019-12-31 17:30:00,0.2349,0.2349,0.2328,0.2338,7193.22
2019-12-31 18:00:00,0.2335,0.2339,0.2327,0.2329,8503.17
2019-12-31 18:30:00,0.2335,0.2344,0.2327,0.2328,5248.55
2019-12-31 19:00:00,0.2341,0.2341,0.2327,0.2335,1915.02
2019-12-31 19:30:00,0.2336,0.2338,0.2327,0.2335,2553.06
2019-12-31 20:00:00,0.2336,0.2337,0.2317,0.2328,3247.45
2019-12-31 20:30:00,0.233,0.2333,0.2313,0.2326,2068.17
2019-12-31 21:00:00,0.2325,0.2352,0.2312,0.2325,4842.39
2019-12-31 21:30:00,0.2326,0.2326,0.232,0.2324,1407.97
2019-12-31 22:00:00,0.2324,0.2337,0.2201,0.2222,169112.58
2019-12-31 22:30:00,0.2231,0.2251,0.2205,0.2245,35995.78
2019-12-31 23:00:00,0.2243,0.2246,0.2209,0.222,9790.84
2019-12-31 23:30:00,0.222,0.2232,0.221,0.2221,14230.88
2020-01-01 00:00:00,0.2227,0.223,0.221,0.2215,7877.73
2020-01-01 00:30:00,0.2223,0.2237,0.2222,0.2237,7363.97
2020-01-01 01:00:00,0.2226,0.224,0.2216,0.2234,5331.15
2020-01-01 01:30:00,0.2229,0.2231,0.2223,0.2231,10779.19
2020-01-01 02:00:00,0.2227,0.2238,0.2205,0.2222,9924.14
2020-01-01 02:30:00,0.2221,0.2224,0.2213,0.2223,8700.64
2020-01-01 03:00:00,0.2223,0.2235,0.2223,0.223,3039.86
2020-01-01 03:30:00,0.223,0.2246,0.2216,0.2226,8822.44
2020-01-01 04:00:00,0.2226,0.2244,0.2226,0.2235,6093.96
2020-01-01 04:30:00,0.2238,0.2247,0.2233,0.2236,6454.82
2020-01-01 05:00:00,0.2235,0.2276,0.2228,0.224,26893.3
2020-01-01 05:30:00,0.2241,0.2262,0.2234,0.2261,4443.04
2020-01-01 06:00:00,0.2257,0.226,0.2244,0.2245,3001.58
2020-01-01 06:30:00,0.2247,0.2268,0.2245,0.2252,11087.33
2020-01-01 07:00:00,0.2249,0.2258,0.2244,0.2253,5260.13
2020-01-01 07:30:00,0.2251,0.2265,0.2241,0.2254,6198.99
2020-01-01 08:00:00,0.2258,0.2258,0.2244,0.225,1927.58
2020-01-01 08:30:00,0.2256,0.2257,0.2245,0.2256,2452.32
2020-01-01 09:00:00,0.2257,0.2264,0.2246,0.2254,3154.12
2020-01-01 09:30:00,0.2254,0.2266,0.2247,0.2253,4017.74
2020-01-01 10:00:00,0.2263,0.2267,0.2256,0.2265,1786.72
2020-01-01 10:30:00,0.2265,0.2268,0.2256,0.2265,2084.08
2020-01-01 11:00:00,0.2264,0.2279,0.2254,0.2276,8148.49
2020-01-01 11:30:00,0.2272,0.2284,0.2272,0.2283,11853.87
2020-01-01 12:00:00,0.2282,0.2285,0.2265,0.2274,7332.56
2020-01-01 12:30:00,0.2273,0.2292,0.2273,0.2292,8791.37
2020-01-01 13:00:00,0.2294,0.2297,0.2286,0.2287,6632.99
2020-01-01 13:30:00,0.2287,0.2317,0.2282,0.2301,27002.48
2020-01-01 14:00:00,0.2298,0.2298,0.228,0.2287,3916.35
2020-01-01 14:30:00,0.2287,0.231,0.2287,0.231,4600.33
2020-01-01 15:00:00,0.2313,0.2327,0.2312,0.2325,4424.13
2020-01-01 15:30:00,0.2324,0.2335,0.2316,0.232,11887.89
