index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,45.02,45.25,45.0,45.15,456.37218
2019-12-31 16:30:00,45.2,45.2,45.09,45.12,78.01907
2019-12-31 17:00:00,45.09,45.09,45.05,45.08,91.72697
2019-12-31 17:30:00,45.04,45.06,44.64,44.77,1598.63412
2019-12-31 18:00:00,44.77,44.82,44.65,44.8,412.85983
2019-12-31 18:30:00,44.82,44.82,44.73,44.75,240.81972
2019-12-31 19:00:00,44.73,44.8,44.64,44.7,410.44591
2019-12-31 19:30:00,44.71,45.05,44.69,44.96,1057.37017
2019-12-31 20:00:00,44.94,45.01,44.86,44.99,258.1519
2019-12-31 20:30:00,45.02,45.05,44.59,44.61,419.9095
2019-12-31 21:00:00,44.6,44.75,44.57,44.75,254.45658
2019-12-31 21:30:00,44.71,44.94,44.71,44.83,673.60055
2019-12-31 22:00:00,44.84,44.96,44.75,44.77,515.77025
2019-12-31 22:30:00,44.78,44.79,44.69,44.69,133.96769
2019-12-31 23:00:00,44.72,44.73,44.6,44.66,452.46269
2019-12-31 23:30:00,44.63,44.7,44.61,44.69,559.29837
2020-01-01 00:00:00,44.67,44.69,44.54,44.55,787.88479
2020-01-01 00:30:00,44.56,44.63,44.56,44.57,229.55641
2020-01-01 01:00:00,44.58,44.81,44.56,44.79,165.39515
2020-01-01 01:30:00,44.81,44.89,44.74,44.88,582.00516
2020-01-01 02:00:00,44.91,44.99,44.86,44.95,209.1587
2020-01-01 02:30:00,44.91,45.03,44.89,45.02,141.02915
2020-01-01 03:00:00,44.91,45.01,44.86,45.01,114.76866
2020-01-01 03:30:00,45.0,45.14,44.97,45.04,457.06237
2020-01-01 04:00:00,44.97,45.34,44.95,45.34,874.56333
2020-01-01 04:30:00,45.32,45.43,45.21,45.21,518.29704
2020-01-01 05:00:00,45.21,45.32,45.21,45.26,218.46477
2020-01-01 05:30:00,45.24,45.26,45.2,45.21,39.89169
2020-01-01 06:00:00,45.21,45.56,45.21,45.56,238.40408
2020-01-01 06:30:00,45.54,45.59,45.46,45.57,1649.32821
2020-01-01 07:00:00,45.6,45.77,45.6,45.76,846.2425
2020-01-01 07:30:00,45.77,45.77,45.61,45.67,555.63873
2020-01-01 08:00:00,45.68,45.71,45.59,45.6,263.8979
2020-01-01 08:30:00,45.57,45.6,45.3,45.39,1862.74011
2020-01-01 09:00:00,45.38,45.44,45.25,45.29,600.51182
2020-01-01 09:30:00,45.26,45.29,45.21,45.22,92.72247
2020-01-01 10:00:00,45.22,45.29,45.2,45.26,211.06397
2020-01-01 10:30:00,45.24,45.26,45.22,45.24,138.93587
2020-01-01 11:00:00,45.24,45.35,45.15,45.34,517.39976
2020-01-01 11:30:00,45.33,45.36,45.0,45.1,1351.4425
2020-01-01 12:00:00,45.1,45.25,45.1,45.23,118.0689
2020-01-01 12:30:00,45.16,45.32,45.13,45.31,182.61631
2020-01-01 13:00:00,45.29,45.36,45.26,45.36,46.11687
2020-01-01 13:30:00,45.36,45.41,45.29,45.33,247.65144
2020-01-01 14:00:00,45.35,45.46,45.27,45.45,143.02002
2020-01-01 14:30:00,45.46,45.5,45.45,45.5,122.4873
2020-01-01 15:00:00,45.5,45.54,45.46,45.52,177.24181
2020-01-01 15:30:00,45.52,45.67,45.5,45.57,230.37698
2020-01-01 16:00:00,45.57,45.65,45.5,45.63,200.28385
2020-01-01 16:30:00,45.66,45.88,45.63,45.88,679.63515
2020-01-01 17:00:00,45.86,45.89,45.76,45.86,566.17586
2020-01-01 17:30:00,45.8,45.8,45.57,45.6,152.89203
2020-01-01 18:00:00,45.61,45.74,45.55,45.64,151.86296
2020-01-01 18:30:00,45.62,45.64,45.54,45.6,267.53199
2020-01-01 19:00:00,45.63,45.64,45.54,45.63,170.23708
2020-01-01 19:30:00,45.62,45.71,45.61,45.61,57.21454
2020-01-01 20:00:00,45.67,45.86,45.66,45.86,798.04293
2020-01-01 20:30:00,45.87,45.87,45.76,45.79,209.77482
2020-01-01 21:00:00,45.79,45.82,45.76,45.81,32.01903
2020-01-01 21:30:00,45.78,45.88,45.77,45.8,104.45588
2020-01-01 22:00:00,45.8,45.85,45.73,45.8,188.84246
2020-01-01 22:30:00,45.79,45.85,45.74,45.84,599.34189
2020-01-01 23:00:00,45.85,45.87,45.76,45.86,498.91367
2020-01-01 23:30:00,45.84,45.88,45.78,45.82,132.42963
2020-01-02 00:00:00,45.82,45.85,45.72,45.83,306.79951
2020-01-02 00:30:00,45.86,45.9,45.82,45.84,214.44038
2020-01-02 01:00:00,45.85,45.87,45.68,45.69,727.08275
2020-01-02 01:30:00,45.69,45.79,45.64,45.77,455.7873
2020-01-02 02:00:00,45.77,45.78,45.54,45.6,354.52099
2020-01-02 02:30:00,45.57,45.63,45.54,45.54,60.94173
