index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,2.5995,2.6115,2.5949,2.6055,73295.53
2019-12-31 17:00:00,2.603,2.6053,2.5653,2.5753,244149.96
2019-12-31 18:00:00,2.5744,2.5817,2.5654,2.577,148902.35
2019-12-31 19:00:00,2.576,2.5794,2.57,2.5748,50755.57
2019-12-31 20:00:00,2.5748,2.5776,2.5705,2.5739,34166.86
2019-12-31 21:00:00,2.5727,2.5862,2.5727,2.5841,45093.48
2019-12-31 22:00:00,2.5806,2.5931,2.5792,2.5919,26358.19
2019-12-31 23:00:00,2.5921,2.5921,2.5833,2.5833,17665.35
2020-01-01 00:00:00,2.5837,2.5888,2.5763,2.5882,36700.95
2020-01-01 01:00:00,2.59,2.6197,2.5873,2.6161,227570.4
2020-01-01 02:00:00,2.6171,2.6288,2.6129,2.6223,101743.99
2020-01-01 03:00:00,2.6244,2.6245,2.6081,2.6085,47669.89
2020-01-01 04:00:00,2.6093,2.6308,2.6068,2.6165,161055.78
2020-01-01 05:00:00,2.6165,2.6224,2.6125,2.6177,76590.41
2020-01-01 06:00:00,2.6174,2.6274,2.6158,2.6218,28331.67
2020-01-01 07:00:00,2.6203,2.6237,2.6109,2.6137,46040.88
2020-01-01 08:00:00,2.6137,2.6143,2.5989,2.6084,72349.34
2020-01-01 09:00:00,2.6093,2.6142,2.6038,2.6038,24301.65
2020-01-01 10:00:00,2.603,2.6152,2.6013,2.6127,19629.89
2020-01-01 11:00:00,2.6113,2.6387,2.6096,2.6183,179111.72
2020-01-01 12:00:00,2.6167,2.6277,2.616,2.6271,54676.61
2020-01-01 13:00:00,2.6271,2.6275,2.6177,2.6226,31452.56
2020-01-01 14:00:00,2.6215,2.6352,2.6186,2.6262,80334.05
2020-01-01 15:00:00,2.6273,2.634,2.6234,2.6264,33781.46
2020-01-01 16:00:00,2.6265,2.6339,2.6176,2.6339,50887.44
2020-01-01 17:00:00,2.6341,2.6355,2.6251,2.6285,53532.49
2020-01-01 18:00:00,2.6299,2.6317,2.6156,2.6272,124588.49
2020-01-01 19:00:00,2.6266,2.6272,2.6187,2.6202,39328.69
2020-01-01 20:00:00,2.6205,2.6317,2.6173,2.6278,40950.01
2020-01-01 21:00:00,2.6256,2.6305,2.619,2.6245,67985.46
2020-01-01 22:00:00,2.6229,2.6229,2.59,2.6019,146403.19
2020-01-01 23:00:00,2.6021,2.6048,2.5858,2.6039,91530.84
2020-01-02 00:00:00,2.6038,2.6098,2.5981,2.6076,50602.23
2020-01-02 01:00:00,2.6064,2.6083,2.5973,2.6003,25103.21
2020-01-02 02:00:00,2.5993,2.5993,2.5743,2.583,197807.64
2020-01-02 03:00:00,2.583,2.5844,2.5672,2.573,161820.67
2020-01-02 04:00:00,2.572,2.587,2.5684,2.582,83982.0
2020-01-02 05:00:00,2.5803,2.584,2.5755,2.5799,72524.23
2020-01-02 06:00:00,2.5792,2.5864,2.5758,2.5781,57375.91
2020-01-02 07:00:00,2.5776,2.5802,2.5702,2.576,160805.65
2020-01-02 08:00:00,2.5757,2.5914,2.5757,2.5877,77553.22
2020-01-02 09:00:00,2.5878,2.5912,2.5815,2.5907,35600.67
2020-01-02 10:00:00,2.5901,2.5994,2.5873,2.5902,71812.35
2020-01-02 11:00:00,2.5916,2.5941,2.5801,2.5828,31708.33
2020-01-02 12:00:00,2.5818,2.5881,2.5808,2.586,25442.26
2020-01-02 13:00:00,2.5863,2.5867,2.554,2.5666,279884.03
2020-01-02 14:00:00,2.5665,2.5798,2.5555,2.5608,160589.81
2020-01-02 15:00:00,2.5604,2.5659,2.55,2.558,104697.5
2020-01-02 16:00:00,2.5584,2.562,2.4784,2.4895,1002149.9
2020-01-02 17:00:00,2.489,2.4906,2.4193,2.4529,1191125.94
2020-01-02 18:00:00,2.4538,2.4608,2.4476,2.4568,105579.12
2020-01-02 19:00:00,2.4564,2.463,2.4486,2.4575,117170.56
2020-01-02 20:00:00,2.4579,2.4579,2.4325,2.4476,159871.26
2020-01-02 21:00:00,2.4474,2.4656,2.4423,2.4639,121892.3
2020-01-02 22:00:00,2.4627,2.4627,2.4535,2.4596,89673.29
2020-01-02 23:00:00,2.4595,2.465,2.4545,2.4593,250366.88
2020-01-03 00:00:00,2.4594,2.4628,2.4407,2.4531,284345.73
2020-01-03 01:00:00,2.4536,2.4544,2.4303,2.4362,152295.14
2020-01-03 02:00:00,2.4362,2.4609,2.4333,2.4595,162032.72
2020-01-03 03:00:00,2.4596,2.461,2.4501,2.4533,59686.89
2020-01-03 04:00:00,2.4533,2.5466,2.4533,2.527,1327709.98
2020-01-03 05:00:00,2.5264,2.5427,2.5176,2.5324,219302.02
2020-01-03 06:00:00,2.5339,2.5455,2.5238,2.5348,170378.44
2020-01-03 07:00:00,2.5349,2.5556,2.531,2.5392,304953.4
2020-01-03 08:00:00,2.5397,2.6164,2.5372,2.5942,968431.9
2020-01-03 09:00:00,2.595,2.618,2.5917,2.6162,836233.6
2020-01-03 10:00:00,2.6162,2.6267,2.5895,2.6009,400631.25
2020-01-03 11:00:00,2.6005,2.6135,2.5979,2.6073,108848.79
2020-01-03 12:00:00,2.6085,2.6234,2.5964,2.6056,164243.54
2020-01-03 13:00:00,2.6058,2.6472,2.6058,2.6246,299459.4
2020-01-03 14:00:00,2.6242,2.6314,2.5878,2.5936,459520.95
2020-01-03 15:00:00,2.5931,2.6362,2.5931,2.6287,270111.2
2020-01-03 16:00:00,2.6295,2.6649,2.6196,2.65,735092.64
2020-01-03 17:00:00,2.6487,2.66,2.6293,2.6464,281281.51
2020-01-03 18:00:00,2.6464,2.6522,2.634,2.6345,137634.3
2020-01-03 19:00:00,2.6353,2.6468,2.6051,2.6463,283139.37
2020-01-03 20:00:00,2.6459,2.6471,2.6291,2.6399,133635.47
2020-01-03 21:00:00,2.6416,2.6527,2.6214,2.6256,167818.3
2020-01-03 22:00:00,2.6274,2.6424,2.6202,2.6356,81294.04
2020-01-03 23:00:00,2.6369,2.6549,2.6304,2.6396,341256.07
2020-01-04 00:00:00,2.6425,2.6491,2.6241,2.6361,140039.57
2020-01-04 01:00:00,2.6363,2.6377,2.6168,2.6293,104143.44
2020-01-04 02:00:00,2.63,2.6406,2.6227,2.6402,121062.3
2020-01-04 03:00:00,2.64,2.6438,2.6305,2.6357,70738.23
2020-01-04 04:00:00,2.6336,2.643,2.6273,2.637,136057.08
2020-01-04 05:00:00,2.6375,2.6494,2.6321,2.6438,174889.82
2020-01-04 06:00:00,2.6434,2.6549,2.6408,2.6485,161939.9
2020-01-04 07:00:00,2.6485,2.6621,2.642,2.6504,227046.37
2020-01-04 08:00:00,2.6504,2.6513,2.6402,2.6407,100559.69
2020-01-04 09:00:00,2.6415,2.6579,2.6315,2.6563,152829.05
2020-01-04 10:00:00,2.6569,2.6573,2.6324,2.635,100513.83
2020-01-04 11:00:00,2.6347,2.6481,2.6256,2.645,245076.11
2020-01-04 12:00:00,2.6439,2.6458,2.6234,2.6274,138831.09
2020-01-04 13:00:00,2.6279,2.6347,2.6232,2.63,82657.8
2020-01-04 14:00:00,2.6295,2.639,2.6281,2.6328,59103.49
2020-01-04 15:00:00,2.6326,2.6467,2.6301,2.6398,93762.65
2020-01-04 16:00:00,2.6393,2.6406,2.6284,2.6316,245352.88
2020-01-04 17:00:00,2.6321,2.6446,2.628,2.6438,353443.81
2020-01-04 18:00:00,2.644,2.664,2.6239,2.6316,441167.21
2020-01-04 19:00:00,2.6303,2.6446,2.6259,2.6399,103430.68
2020-01-04 20:00:00,2.639,2.647,2.6327,2.6405,87540.83
2020-01-04 21:00:00,2.6399,2.65,2.6378,2.6483,66755.2
2020-01-04 22:00:00,2.6463,2.6515,2.6409,2.6505,53138.34
2020-01-04 23:00:00,2.65,2.6519,2.6398,2.6481,115706.65
2020-01-05 00:00:00,2.648,2.6934,2.6461,2.6868,423998.94
2020-01-05 01:00:00,2.6902,2.7046,2.6804,2.6938,426230.14
2020-01-05 02:00:00,2.6945,2.7024,2.6832,2.6868,114823.49
