index,Open,High,Low,Close,Volume
2019-12-31 16:00:00,1.0036,1.0038,1.0033,1.0035,97273.49
2019-12-31 17:00:00,1.0035,1.004,1.0031,1.0037,187817.65
2019-12-31 18:00:00,1.0036,1.0043,1.0035,1.004,144466.48
2019-12-31 19:00:00,1.0039,1.0042,1.0036,1.004,133676.63
2019-12-31 20:00:00,1.004,1.0043,1.0034,1.004,230033.74
2019-12-31 21:00:00,1.0038,1.0042,1.0036,1.004,31207.81
2019-12-31 22:00:00,1.004,1.0044,1.0038,1.0039,78849.06
2019-12-31 23:00:00,1.0042,1.0043,1.003,1.0036,133330.71
2020-01-01 00:00:00,1.0036,1.004,1.0033,1.0038,31854.38
2020-01-01 01:00:00,1.0038,1.0042,1.0033,1.0036,49974.7
2020-01-01 02:00:00,1.0036,1.0039,1.0033,1.0033,46833.74
2020-01-01 03:00:00,1.0037,1.0037,1.0029,1.0036,75869.98
2020-01-01 04:00:00,1.0034,1.0039,1.0033,1.0038,30710.82
2020-01-01 05:00:00,1.0038,1.0039,1.0035,1.0039,107538.2
2020-01-01 06:00:00,1.0039,1.0039,1.0032,1.0038,80573.48
2020-01-01 07:00:00,1.0038,1.004,1.0034,1.0035,144799.0
2020-01-01 08:00:00,1.0035,1.004,1.0034,1.0036,181749.1
2020-01-01 09:00:00,1.0037,1.0041,1.0035,1.0035,118180.17
2020-01-01 10:00:00,1.0035,1.0038,1.0033,1.0035,166848.33
2020-01-01 11:00:00,1.0035,1.0038,1.0033,1.0035,154620.29
2020-01-01 12:00:00,1.0036,1.0037,1.0032,1.0032,56090.76
2020-01-01 13:00:00,1.0034,1.0036,1.0032,1.0035,121765.5
2020-01-01 14:00:00,1.0033,1.0035,1.0031,1.0031,86535.44
2020-01-01 15:00:00,1.0032,1.0033,1.0026,1.0032,246998.38
2020-01-01 16:00:00,1.0029,1.0033,1.0028,1.003,245522.7
2020-01-01 17:00:00,1.003,1.0031,1.0026,1.0026,120002.01
2020-01-01 18:00:00,1.0029,1.0031,1.0025,1.003,85886.31
2020-01-01 19:00:00,1.0028,1.0033,1.0027,1.0028,50384.29
2020-01-01 20:00:00,1.0028,1.0035,1.0026,1.0031,126804.59
2020-01-01 21:00:00,1.0032,1.0034,1.0029,1.0032,29220.45
2020-01-01 22:00:00,1.003,1.0038,1.0029,1.0037,99872.02
2020-01-01 23:00:00,1.0034,1.0037,1.0031,1.0035,76185.04
2020-01-02 00:00:00,1.0032,1.0038,1.003,1.0037,30097.08
2020-01-02 01:00:00,1.0033,1.0038,1.0033,1.0035,34205.09
2020-01-02 02:00:00,1.0035,1.0041,1.0033,1.0037,154729.33
2020-01-02 03:00:00,1.0035,1.0041,1.0033,1.004,182374.72
2020-01-02 04:00:00,1.0039,1.0043,1.0037,1.0039,347402.91
2020-01-02 05:00:00,1.0042,1.0044,1.0038,1.0042,84240.43
2020-01-02 06:00:00,1.0041,1.0043,1.0037,1.004,65930.73
2020-01-02 07:00:00,1.0043,1.0047,1.0039,1.004,149630.22
2020-01-02 08:00:00,1.0044,1.0044,1.0035,1.0039,65425.39
2020-01-02 09:00:00,1.0039,1.0045,1.0035,1.0042,63427.79
2020-01-02 10:00:00,1.004,1.0044,1.0031,1.0031,91221.38
2020-01-02 11:00:00,1.0036,1.0042,1.0032,1.0037,79048.57
2020-01-02 12:00:00,1.0037,1.0039,1.0033,1.0035,157558.88
2020-01-02 13:00:00,1.0034,1.0039,1.0033,1.0034,181457.8
2020-01-02 14:00:00,1.0033,1.0038,1.0033,1.0033,47832.31
2020-01-02 15:00:00,1.0035,1.0038,1.0032,1.0034,170427.08
2020-01-02 16:00:00,1.0033,1.0043,1.0031,1.0032,1024214.49
2020-01-02 17:00:00,1.0036,1.0044,1.0028,1.0029,2505832.42
2020-01-02 18:00:00,1.0029,1.004,1.0027,1.0032,128006.2
2020-01-02 19:00:00,1.0032,1.0035,1.0027,1.0031,70805.74
2020-01-02 20:00:00,1.003,1.0034,1.0025,1.0026,125328.11
2020-01-02 21:00:00,1.0026,1.0032,1.0026,1.0029,133618.93
2020-01-02 22:00:00,1.0026,1.003,1.0025,1.0026,112529.66
2020-01-02 23:00:00,1.0026,1.0031,1.0024,1.0027,133068.32
2020-01-03 00:00:00,1.0026,1.003,1.0024,1.0029,156460.61
2020-01-03 01:00:00,1.0029,1.0039,1.0023,1.0029,340595.01
2020-01-03 02:00:00,1.0029,1.0032,1.0026,1.003,192394.96
2020-01-03 03:00:00,1.003,1.0031,1.0026,1.0028,75047.03
2020-01-03 04:00:00,1.0028,1.0034,1.0016,1.0019,849972.71
2020-01-03 05:00:00,1.0019,1.0025,1.0017,1.0024,200085.77
2020-01-03 06:00:00,1.0024,1.0025,1.0017,1.0018,346616.04
2020-01-03 07:00:00,1.0018,1.0025,1.0017,1.002,344160.49
2020-01-03 08:00:00,1.0024,1.0026,1.0015,1.0017,489730.48
2020-01-03 09:00:00,1.0017,1.002,1.0013,1.0016,304872.1
2020-01-03 10:00:00,1.0017,1.002,1.0014,1.0018,215186.32
2020-01-03 11:00:00,1.0016,1.002,1.0012,1.0013,127135.4
2020-01-03 12:00:00,1.0017,1.0018,1.0013,1.0013,237694.92
2020-01-03 13:00:00,1.0013,1.0018,1.0012,1.0014,352132.88
2020-01-03 14:00:00,1.0014,1.002,1.0012,1.0014,672144.52
2020-01-03 15:00:00,1.0013,1.002,1.0008,1.001,704767.4
2020-01-03 16:00:00,1.0008,1.0015,1.0006,1.0008,636264.01
2020-01-03 17:00:00,1.0008,1.0012,1.0007,1.0007,450732.45
2020-01-03 18:00:00,1.0007,1.001,1.0005,1.0007,121958.18
2020-01-03 19:00:00,1.0007,1.0014,1.0005,1.0011,164322.92
2020-01-03 20:00:00,1.001,1.0014,1.0006,1.0009,51400.77
2020-01-03 21:00:00,1.0013,1.0014,1.0008,1.0008,70147.49
2020-01-03 22:00:00,1.0012,1.0015,1.0009,1.001,76715.95
2020-01-03 23:00:00,1.0012,1.0017,1.0009,1.0011,236510.79
2020-01-04 00:00:00,1.0012,1.0013,1.0005,1.0008,130981.18
2020-01-04 01:00:00,1.0008,1.0014,1.0006,1.0008,93857.11
2020-01-04 02:00:00,1.0011,1.0016,1.0008,1.0015,91972.25
2020-01-04 03:00:00,1.0013,1.0015,1.0009,1.0011,22511.33
2020-01-04 04:00:00,1.0011,1.0017,1.0011,1.0012,43322.2
2020-01-04 05:00:00,1.0012,1.0015,1.001,1.0013,110878.93
2020-01-04 06:00:00,1.0015,1.0015,1.0011,1.0012,85150.36
2020-01-04 07:00:00,1.0011,1.0013,1.0008,1.0012,138808.98
2020-01-04 08:00:00,1.001,1.0013,1.0009,1.0012,270624.95
2020-01-04 09:00:00,1.0009,1.0016,1.0009,1.0015,106805.4
2020-01-04 10:00:00,1.0011,1.0015,1.0011,1.0013,273092.16
2020-01-04 11:00:00,1.0015,1.0016,1.0012,1.0016,90205.71
2020-01-04 12:00:00,1.0013,1.0015,1.001,1.001,54000.43
2020-01-04 13:00:00,1.0011,1.0016,1.001,1.0014,67869.75
2020-01-04 14:00:00,1.0016,1.002,1.001,1.0014,157282.64
2020-01-04 15:00:00,1.0013,1.0019,1.0012,1.0018,13990.27
2020-01-04 16:00:00,1.0017,1.0019,1.0016,1.0016,76454.64
2020-01-04 17:00:00,1.0016,1.0019,1.0015,1.0016,108183.03
2020-01-04 18:00:00,1.0016,1.0018,1.0012,1.0014,240756.62
2020-01-04 19:00:00,1.0014,1.0019,1.0013,1.0017,124615.56
2020-01-04 20:00:00,1.0018,1.0018,1.001,1.0013,235672.63
2020-01-04 21:00:00,1.0013,1.0015,1.0009,1.0009,74389.72
2020-01-04 22:00:00,1.0009,1.0018,1.0008,1.0015,96957.37
2020-01-04 23:00:00,1.0011,1.0015,1.0008,1.0008,82298.39
2020-01-05 00:00:00,1.001,1.0013,1.0007,1.0013,115282.04
2020-01-05 01:00:00,1.0013,1.0015,1.0009,1.001,583417.37
2020-01-05 02:00:00,1.0011,1.0014,1.0007,1.001,206738.67
2020-01-05 03:00:00,1.0013,1.0013,1.0005,1.0008,146701.02
2020-01-05 04:00:00,1.0008,1.0012,1.0005,1.0005,218929.28
2020-01-05 05:00:00,1.0005,1.0009,1.0003,1.0007,131320.85
2020-01-05 06:00:00,1.0008,1.001,1.0003,1.0004,164088.15
2020-01-05 07:00:00,1.0004,1.0008,1.0003,1.0003,127720.5
2020-01-05 08:00:00,1.0003,1.0008,1.0002,1.0004,158222.31
2020-01-05 09:00:00,1.0004,1.0006,1.0,1.0002,253571.51
2020-01-05 10:00:00,1.0002,1.0006,1.0001,1.0001,30915.39
2020-01-05 11:00:00,1.0002,1.0006,1.0001,1.0001,42445.27
2020-01-05 12:00:00,1.0001,1.0007,1.0001,1.0005,88716.06
2020-01-05 13:00:00,1.0005,1.0006,1.0,1.0002,131157.63
2020-01-05 14:00:00,1.0002,1.0005,1.0,1.0,74724.1
2020-01-05 15:00:00,1.0,1.0009,1.0,1.0005,153704.91
2020-01-05 16:00:00,1.0005,1.0008,1.0,1.0008,193797.11
2020-01-05 17:00:00,1.0005,1.0009,1.0002,1.0006,66111.64
2020-01-05 18:00:00,1.0006,1.0011,1.0001,1.0011,123523.86
2020-01-05 19:00:00,1.0009,1.0012,1.0006,1.0009,33873.09
2020-01-05 20:00:00,1.0007,1.0011,1.0007,1.0007,28735.48
2020-01-05 21:00:00,1.0007,1.0011,1.0004,1.0007,92834.64
2020-01-05 22:00:00,1.0009,1.0017,1.0005,1.0016,320071.61
2020-01-05 23:00:00,1.0013,1.0016,1.0009,1.001,75013.75
2020-01-06 00:00:00,1.001,1.0013,1.0007,1.0007,54021.23
2020-01-06 01:00:00,1.0007,1.0013,1.0007,1.0012,65304.63
2020-01-06 02:00:00,1.0011,1.0013,1.0001,1.0006,332727.19
2020-01-06 03:00:00,1.0004,1.0011,1.0002,1.0009,303343.78
2020-01-06 04:00:00,1.0009,1.0011,1.0002,1.0003,438934.09
2020-01-06 05:00:00,1.0003,1.0011,1.0003,1.0009,161308.72
2020-01-06 06:00:00,1.0008,1.001,1.0006,1.0007,73666.45
2020-01-06 07:00:00,1.0009,1.0011,1.0007,1.0011,86895.23
2020-01-06 08:00:00,1.0011,1.0013,1.0007,1.0009,351305.48
2020-01-06 09:00:00,1.0009,1.0014,1.0007,1.0009,443397.11
2020-01-06 10:00:00,1.0011,1.0011,1.0005,1.0005,163397.16
2020-01-06 11:00:00,1.0005,1.0012,1.0005,1.001,82089.54
2020-01-06 12:00:00,1.0011,1.0014,1.0006,1.0007,263232.87
2020-01-06 13:00:00,1.0008,1.0015,1.0006,1.0009,489877.01
2020-01-06 14:00:00,1.0008,1.0012,1.0005,1.001,290831.51
2020-01-06 15:00:00,1.0008,1.0011,1.0006,1.0006,69881.32
2020-01-06 16:00:00,1.0008,1.0012,1.0006,1.0009,94226.96
2020-01-06 17:00:00,1.0008,1.0012,1.0005,1.0008,83147.03
2020-01-06 18:00:00,1.0008,1.0012,1.0005,1.0005,222995.19
2020-01-06 19:00:00,1.0007,1.0011,1.0004,1.0004,89332.31
2020-01-06 20:00:00,1.0005,1.001,1.0003,1.0008,116155.93
2020-01-06 21:00:00,1.0008,1.001,1.0002,1.0003,381429.3
2020-01-06 22:00:00,1.0003,1.0009,1.0001,1.0004,589823.34
2020-01-06 23:00:00,1.0006,1.0008,0.9998,0.9999,939060.62
2020-01-07 00:00:00,0.9999,1.0005,0.9997,0.9998,883396.95
2020-01-07 01:00:00,0.9998,1.0005,0.9998,1.0001,383771.35
2020-01-07 02:00:00,1.0004,1.0005,0.9998,0.9998,294387.63
2020-01-07 03:00:00,0.9998,1.0012,0.9997,0.9999,553399.66
2020-01-07 04:00:00,1.0001,1.0001,0.9995,1.0,732767.09
2020-01-07 05:00:00,1.0,1.0001,0.9996,0.9998,336438.96
2020-01-07 06:00:00,0.9999,1.0005,0.9998,1.0001,363567.34
2020-01-07 07:00:00,1.0001,1.0004,1.0,1.0,178327.82
2020-01-07 08:00:00,1.0,1.0006,1.0,1.0005,295169.48
2020-01-07 09:00:00,1.0006,1.0007,1.0005,1.0005,309089.61
2020-01-07 10:00:00,1.0005,1.0007,1.0001,1.0006,356706.92
2020-01-07 11:00:00,1.0005,1.0006,1.0,1.0001,248701.2
2020-01-07 12:00:00,1.0001,1.0005,1.0,1.0,265947.22
2020-01-07 13:00:00,1.0004,1.0007,1.0,1.0003,451996.4
2020-01-07 14:00:00,1.0003,1.0008,0.9997,0.9998,663487.04
2020-01-07 15:00:00,0.9998,1.0008,0.9998,1.0005,618688.9
2020-01-07 16:00:00,1.0001,1.0006,0.9999,0.9999,433288.27
2020-01-07 17:00:00,0.9999,1.0007,0.9998,0.9999,338551.31
2020-01-07 18:00:00,0.9999,1.0001,0.9994,0.9994,901030.31
2020-01-07 19:00:00,0.9994,1.0,0.9993,0.9993,312198.23
2020-01-07 20:00:00,0.9993,0.9998,0.9992,0.9994,204295.92
2020-01-07 21:00:00,0.9994,0.9998,0.9991,0.9997,291161.26
2020-01-07 22:00:00,0.9997,1.0,0.9992,0.9999,266476.76
2020-01-07 23:00:00,0.9999,1.0002,0.9991,0.9991,326511.51
2020-01-08 00:00:00,0.9992,0.9996,0.9983,0.999,1889064.25
2020-01-08 01:00:00,0.999,0.9995,0.9986,0.9994,632503.24
2020-01-08 02:00:00,0.9991,1.0001,0.9989,0.9999,671326.7
2020-01-08 03:00:00,0.9997,1.0006,0.9995,1.0002,531986.5
2020-01-08 04:00:00,1.0,1.0006,0.9999,1.0,682961.8
2020-01-08 05:00:00,1.0,1.0003,0.9998,0.9999,228806.6
2020-01-08 06:00:00,0.9999,1.0004,0.9999,1.0001,313537.28
2020-01-08 07:00:00,1.0,1.0005,1.0,1.0,458531.14
2020-01-08 08:00:00,1.0,1.0006,0.9999,1.0002,606741.13
2020-01-08 09:00:00,1.0002,1.0005,1.0001,1.0002,487198.75
2020-01-08 10:00:00,1.0002,1.0005,0.9997,0.9997,450016.72
2020-01-08 11:00:00,0.9997,1.0,0.9996,0.9997,138920.22
2020-01-08 12:00:00,0.9999,1.0004,0.9998,1.0002,180233.47
